n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.100e+03	1.878e-01	1.201e-01	2.068e-01	6.807e-01	1.638e-01	9.191e-01	5.616e-01	4.500e-01	6.000e-01
4.200e+03	1.878e-01	1.174e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.616e-01	4.500e-01	6.000e-01
4.300e+03	1.878e-01	1.174e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.616e-01	4.500e-01	6.000e-01
4.400e+03	1.878e-01	1.174e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.283e-01	6.000e-01
4.500e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.283e-01	6.000e-01
4.600e+03	1.904e-01	1.174e-01	2.586e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.283e-01	6.000e-01
4.700e+03	1.904e-01	1.174e-01	2.586e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.283e-01	6.000e-01
4.800e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.283e-01	6.000e-01
4.900e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.008e-01	6.000e-01
5.000e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.008e-01	6.000e-01
5.100e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.008e-01	6.000e-01
5.200e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.008e-01	6.000e-01
5.300e+03	1.878e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.500e-01	4.008e-01	6.000e-01
5.400e+03	1.872e-01	1.083e-01	2.061e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
5.500e+03	1.872e-01	1.083e-01	2.061e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
5.600e+03	1.872e-01	1.083e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
5.700e+03	1.872e-01	1.083e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
5.800e+03	1.872e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
5.900e+03	1.872e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.000e+03	1.872e-01	1.148e-01	2.068e-01	6.006e-01	1.638e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.100e+03	1.872e-01	1.148e-01	2.068e-01	6.006e-01	2.984e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.200e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	2.984e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.300e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	2.984e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.400e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	3.404e-01	8.787e-01	5.491e-01	4.000e-01	6.000e-01
6.500e+03	1.904e-01	1.083e-01	2.068e-01	6.006e-01	3.404e-01	8.787e-01	5.175e-01	3.865e-01	6.000e-01
