n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	4.563e-01	4.305e-01	4.880e-01
4.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.233e-01	7.605e-01	4.563e-01	4.305e-01	4.880e-01
4.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.566e-01	7.605e-01	4.563e-01	4.305e-01	4.880e-01
4.300e+03	3.691e-01	-6.779e-02	4.000e-01	6.141e-01	4.877e-01	7.839e-01	4.611e-01	4.305e-01	4.880e-01
4.400e+03	3.691e-01	-6.779e-02	4.000e-01	6.141e-01	4.877e-01	7.839e-01	4.684e-01	4.305e-01	4.901e-01
4.500e+03	3.691e-01	-6.779e-02	4.000e-01	5.849e-01	4.566e-01	7.839e-01	4.684e-01	4.305e-01	4.901e-01
4.600e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.233e-01	7.605e-01	4.750e-01	4.394e-01	4.901e-01
4.700e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	4.750e-01	4.394e-01	4.901e-01
4.800e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	4.750e-01	4.452e-01	4.880e-01
4.900e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	4.750e-01	4.452e-01	4.880e-01
5.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	4.089e-01	7.605e-01	4.750e-01	4.394e-01	4.880e-01
5.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	4.750e-01	4.394e-01	4.880e-01
5.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	4.709e-01	4.394e-01	4.876e-01
5.300e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	4.709e-01	4.394e-01	4.876e-01
5.400e+03	3.691e-01	-6.779e-02	4.000e-01	5.608e-01	4.089e-01	7.605e-01	4.709e-01	4.394e-01	4.876e-01
5.500e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	3.925e-01	7.113e-01	4.709e-01	4.394e-01	4.876e-01
5.600e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	3.925e-01	7.113e-01	4.709e-01	4.394e-01	4.876e-01
5.700e+03	3.691e-01	-6.779e-02	4.000e-01	5.479e-01	3.925e-01	7.113e-01	4.709e-01	4.394e-01	4.876e-01
5.800e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.750e-01	4.452e-01	4.880e-01
5.900e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	3.336e-01	7.090e-01	4.750e-01	4.510e-01	4.880e-01
6.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	3.336e-01	7.090e-01	4.750e-01	4.510e-01	4.880e-01
6.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	3.336e-01	7.090e-01	4.709e-01	4.510e-01	4.859e-01
6.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	3.336e-01	7.090e-01	4.723e-01	4.523e-01	4.859e-01
6.300e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	3.336e-01	7.090e-01	4.723e-01	4.510e-01	4.859e-01
6.400e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	2.863e-01	7.090e-01	4.723e-01	4.510e-01	4.815e-01
6.500e+03	3.691e-01	-6.779e-02	4.000e-01	5.270e-01	2.863e-01	7.090e-01	4.723e-01	4.510e-01	4.815e-01
6.600e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.723e-01	4.510e-01	4.815e-01
6.700e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.723e-01	4.510e-01	4.815e-01
6.800e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.723e-01	4.510e-01	4.815e-01
6.900e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.709e-01	4.510e-01	4.815e-01
7.000e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.684e-01	4.510e-01	4.802e-01
7.100e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.709e-01	4.510e-01	4.815e-01
7.200e+03	3.691e-01	-6.779e-02	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.709e-01	4.510e-01	4.815e-01
7.300e+03	3.748e-01	-5.674e-03	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.709e-01	4.510e-01	4.815e-01
7.400e+03	3.748e-01	-5.674e-03	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.709e-01	4.510e-01	4.859e-01
7.500e+03	3.748e-01	-5.674e-03	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.674e-01	4.452e-01	4.859e-01
7.600e+03	3.748e-01	-5.674e-03	4.000e-01	5.280e-01	3.648e-01	7.113e-01	4.674e-01	4.449e-01	4.859e-01
7.700e+03	3.748e-01	-5.674e-03	4.000e-01	5.479e-01	3.648e-01	7.113e-01	4.709e-01	4.449e-01	4.880e-01
7.800e+03	3.748e-01	-5.674e-03	4.000e-01	5.608e-01	3.648e-01	7.605e-01	4.709e-01	4.449e-01	4.880e-01
7.900e+03	3.748e-01	-5.674e-03	4.000e-01	5.608e-01	3.648e-01	7.605e-01	4.709e-01	4.452e-01	4.901e-01
8.000e+03	3.748e-01	-5.674e-03	4.000e-01	5.608e-01	2.482e-01	7.605e-01	4.709e-01	4.452e-01	4.901e-01
8.100e+03	3.748e-01	-5.674e-03	4.000e-01	5.608e-01	2.482e-01	7.605e-01	4.709e-01	4.452e-01	4.901e-01
