n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.800e+03	4.560e-01	-2.772e-02	5.000e-01	5.804e-01	3.794e-01	7.213e-01	9.441e-02	3.637e-02	1.940e-01
3.900e+03	4.191e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.213e-01	7.924e-02	3.538e-02	1.425e-01
4.000e+03	4.548e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.213e-01	7.924e-02	3.538e-02	1.425e-01
4.100e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.342e-01	7.010e-01	7.924e-02	3.538e-02	1.351e-01
4.200e+03	4.548e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.213e-01	7.924e-02	3.538e-02	1.351e-01
4.300e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.616e-01	7.213e-01	7.924e-02	3.538e-02	1.351e-01
4.400e+03	4.548e-01	-2.772e-02	5.000e-01	5.972e-01	4.985e-01	7.629e-01	7.781e-02	3.538e-02	1.321e-01
4.500e+03	4.548e-01	-2.772e-02	5.000e-01	5.972e-01	4.616e-01	7.629e-01	7.699e-02	3.538e-02	1.301e-01
4.600e+03	4.191e-01	-2.772e-02	5.000e-01	5.919e-01	4.529e-01	7.475e-01	7.781e-02	3.637e-02	1.351e-01
4.700e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.432e-01	7.475e-01	7.699e-02	3.538e-02	1.301e-01
4.800e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.432e-01	7.475e-01	7.699e-02	3.538e-02	1.301e-01
4.900e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.432e-01	7.475e-01	7.699e-02	3.538e-02	1.270e-01
5.000e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.432e-01	7.475e-01	7.699e-02	3.538e-02	1.301e-01
5.100e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	4.432e-01	7.475e-01	5.915e-02	3.538e-02	1.270e-01
5.200e+03	4.548e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.475e-01	7.699e-02	3.538e-02	1.301e-01
5.300e+03	4.548e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.475e-01	7.699e-02	3.490e-02	1.301e-01
5.400e+03	4.548e-01	-2.772e-02	5.000e-01	5.919e-01	4.432e-01	7.475e-01	7.699e-02	3.490e-02	1.301e-01
5.500e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.794e-01	7.213e-01	7.699e-02	3.490e-02	1.301e-01
5.600e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	3.794e-01	7.213e-01	7.699e-02	3.490e-02	1.301e-01
5.700e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	3.794e-01	7.213e-01	7.699e-02	3.490e-02	1.301e-01
5.800e+03	4.548e-01	-2.772e-02	5.000e-01	5.804e-01	3.529e-01	7.213e-01	7.699e-02	3.490e-02	1.301e-01
5.900e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.324e-01	7.010e-01	7.699e-02	3.490e-02	1.301e-01
6.000e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.324e-01	7.010e-01	7.699e-02	3.490e-02	1.301e-01
6.100e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.324e-01	7.010e-01	8.294e-02	3.637e-02	3.098e-01
6.200e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.324e-01	7.010e-01	8.294e-02	2.997e-02	3.098e-01
6.300e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	3.324e-01	7.010e-01	8.294e-02	2.997e-02	2.377e-01
6.400e+03	4.548e-01	-2.772e-02	5.000e-01	5.527e-01	2.642e-01	7.010e-01	9.533e-02	4.242e-02	3.670e-01
