n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.consistency	2d.nav._.hebbian.network.best.quality.consistency.min	2d.nav._.hebbian.network.best.quality.consistency.max	2d.nav._.hebbian.synapse.best.quality.consistency	2d.nav._.hebbian.synapse.best.quality.consistency.min	2d.nav._.hebbian.synapse.best.quality.consistency.max	2d.nav._.freeForm.best.quality.consistency	2d.nav._.freeForm.best.quality.consistency.min	2d.nav._.freeForm.best.quality.consistency.max
1.000e+02	0.000e+00	0.000e+00	2.933e-10	3.497e-01	8.670e-02	1.970e+00	0.000e+00	0.000e+00	0.000e+00
2.000e+02	0.000e+00	0.000e+00	5.760e-02	3.778e+00	2.791e+00	6.528e+00	0.000e+00	0.000e+00	9.739e-10
3.000e+02	8.608e-03	0.000e+00	1.730e-01	3.778e+00	2.791e+00	4.391e+01	0.000e+00	0.000e+00	9.739e-10
4.000e+02	5.760e-02	0.000e+00	1.730e-01	8.194e+01	8.993e+00	1.573e+02	0.000e+00	0.000e+00	9.739e-10
5.000e+02	1.303e-01	8.260e-06	5.796e-01	1.398e+02	3.212e+01	1.737e+02	0.000e+00	0.000e+00	1.742e-05
6.000e+02	1.730e-01	2.523e-03	3.757e+00	1.573e+02	4.391e+01	1.754e+02	0.000e+00	0.000e+00	9.739e-10
7.000e+02	5.796e-01	2.523e-03	4.645e+00	1.754e+02	7.632e+01	2.107e+02	0.000e+00	0.000e+00	2.446e-04
8.000e+02	3.757e+00	5.760e-02	6.253e+00	1.786e+02	1.573e+02	2.107e+02	0.000e+00	0.000e+00	2.446e-04
9.000e+02	3.757e+00	5.760e-02	6.253e+00	2.067e+02	1.573e+02	2.140e+02	0.000e+00	0.000e+00	9.739e-10
1.000e+03	3.757e+00	5.760e-02	6.253e+00	2.107e+02	1.786e+02	2.213e+02	0.000e+00	0.000e+00	9.739e-10
1.100e+03	3.757e+00	5.760e-02	6.253e+00	2.107e+02	1.786e+02	2.213e+02	0.000e+00	0.000e+00	9.739e-10
1.200e+03	3.757e+00	5.760e-02	6.253e+00	1.906e+02	3.016e+00	2.213e+02	0.000e+00	0.000e+00	4.270e-06
1.300e+03	3.757e+00	5.760e-02	6.253e+00	1.970e+02	3.016e+00	2.213e+02	0.000e+00	0.000e+00	4.270e-06
1.400e+03	3.757e+00	2.614e-02	6.253e+00	1.970e+02	3.016e+00	2.213e+02	0.000e+00	0.000e+00	4.270e-06
1.500e+03	3.757e+00	2.614e-02	6.253e+00	1.906e+02	3.016e+00	2.078e+02	0.000e+00	0.000e+00	4.270e-06
1.600e+03	3.757e+00	2.614e-02	6.253e+00	1.906e+02	3.742e+00	2.078e+02	0.000e+00	0.000e+00	0.000e+00
1.700e+03	3.757e+00	4.121e-02	6.253e+00	1.786e+02	3.742e+00	2.078e+02	0.000e+00	0.000e+00	2.072e-13
1.800e+03	3.757e+00	4.121e-02	6.253e+00	1.786e+02	3.742e+00	2.078e+02	0.000e+00	0.000e+00	1.431e-12
1.900e+03	3.757e+00	4.121e-02	6.253e+00	4.295e+00	1.308e+00	1.970e+02	0.000e+00	0.000e+00	2.297e-03
2.000e+03	3.757e+00	4.121e-02	6.253e+00	4.295e+00	1.308e+00	1.970e+02	0.000e+00	0.000e+00	0.000e+00
2.100e+03	3.757e+00	4.121e-02	6.253e+00	4.295e+00	1.308e+00	1.484e+02	0.000e+00	0.000e+00	0.000e+00
2.200e+03	3.757e+00	4.121e-02	6.253e+00	2.529e+00	1.308e+00	1.288e+01	0.000e+00	0.000e+00	2.297e-03
2.300e+03	3.757e+00	4.121e-02	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	2.297e-03
2.400e+03	3.757e+00	4.121e-02	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	2.297e-03
2.500e+03	3.757e+00	4.121e-02	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	2.297e-03
2.600e+03	3.757e+00	4.121e-02	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	0.000e+00
2.700e+03	3.757e+00	3.078e-01	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	0.000e+00
2.800e+03	3.757e+00	3.078e-01	6.253e+00	3.742e+00	1.874e+00	1.288e+01	0.000e+00	0.000e+00	0.000e+00
