n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
4.300e+03	6.050e+00	3.638e+00	4.088e+01	4.736e+02	4.640e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.400e+03	6.050e+00	3.638e+00	4.088e+01	4.736e+02	4.640e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.500e+03	6.050e+00	3.638e+00	4.088e+01	4.736e+02	4.640e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.600e+03	6.050e+00	3.638e+00	4.088e+01	4.736e+02	4.640e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.700e+03	6.050e+00	2.271e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.800e+03	6.050e+00	2.394e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
4.900e+03	7.899e+00	4.847e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.000e+03	7.899e+00	5.010e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.100e+03	7.899e+00	5.010e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.200e+03	1.039e+01	5.799e+00	4.088e+01	4.731e+02	4.541e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.300e+03	1.039e+01	5.799e+00	4.088e+01	4.687e+02	4.334e+02	4.736e+02	5.979e+00	0.000e+00	3.074e+01
5.400e+03	1.039e+01	5.799e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.500e+03	1.039e+01	5.010e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.600e+03	1.039e+01	5.010e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.700e+03	1.039e+01	6.037e+00	4.088e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.800e+03	4.070e+01	7.544e+00	5.457e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
5.900e+03	4.070e+01	7.544e+00	5.457e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
6.000e+03	4.070e+01	7.544e+00	5.457e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
6.100e+03	4.070e+01	7.544e+00	5.457e+01	4.736e+02	4.634e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
6.200e+03	4.088e+01	7.544e+00	6.530e+01	4.736e+02	4.687e+02	4.800e+02	5.979e+00	0.000e+00	3.074e+01
6.300e+03	4.088e+01	7.544e+00	6.530e+01	4.736e+02	4.687e+02	4.800e+02	5.979e+00	0.000e+00	3.984e+01
6.400e+03	4.088e+01	7.544e+00	6.530e+01	4.736e+02	4.687e+02	4.800e+02	5.979e+00	0.000e+00	3.984e+01
6.500e+03	4.088e+01	9.283e+00	6.530e+01	4.736e+02	4.687e+02	4.823e+02	5.979e+00	0.000e+00	7.881e+01
6.600e+03	4.088e+01	9.283e+00	6.530e+01	4.800e+02	4.707e+02	4.852e+02	5.979e+00	0.000e+00	4.052e+01
6.700e+03	4.088e+01	1.229e+01	7.579e+01	4.800e+02	4.707e+02	4.852e+02	5.979e+00	0.000e+00	3.984e+01
6.800e+03	4.088e+01	1.229e+01	7.579e+01	4.800e+02	4.707e+02	4.852e+02	5.979e+00	0.000e+00	4.005e+01
6.900e+03	6.009e+01	2.257e+01	7.579e+01	4.814e+02	4.731e+02	4.852e+02	5.979e+00	0.000e+00	8.691e+01
7.000e+03	6.530e+01	2.257e+01	7.579e+01	4.814e+02	4.731e+02	4.852e+02	5.979e+00	0.000e+00	4.233e+01
7.100e+03	6.530e+01	2.257e+01	7.579e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	7.402e+01
7.200e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	3.074e+01
7.300e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	3.985e+01
7.400e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	3.074e+01
7.500e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	7.522e-01	0.000e+00	3.074e+01
7.600e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	8.030e+01
7.700e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.852e+02	5.979e+00	0.000e+00	3.979e+01
7.800e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
7.900e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
8.000e+03	6.530e+01	2.257e+01	8.587e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
8.100e+03	7.579e+01	2.257e+01	8.904e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
8.200e+03	7.579e+01	2.257e+01	8.904e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
8.300e+03	8.065e+01	2.257e+01	8.904e+01	4.814e+02	4.736e+02	4.876e+02	5.979e+00	0.000e+00	3.074e+01
8.400e+03	8.065e+01	2.257e+01	8.904e+01	4.814e+02	4.736e+02	4.876e+02	7.836e+00	0.000e+00	3.074e+01
8.500e+03	8.065e+01	2.257e+01	8.904e+01	4.814e+02	4.731e+02	4.876e+02	8.084e+00	0.000e+00	3.074e+01
8.600e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	8.550e+01
8.700e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	8.316e+01
8.800e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	8.396e+01
8.900e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	3.980e+01
9.000e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	7.960e+01
9.100e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	8.007e+01
9.200e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.731e+02	4.876e+02	9.483e+00	4.739e-11	4.233e+01
9.300e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.736e+02	4.876e+02	9.483e+00	4.739e-11	3.984e+01
9.400e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.736e+02	4.876e+02	9.483e+00	4.739e-11	3.981e+01
9.500e+03	8.587e+01	2.257e+01	9.293e+01	4.814e+02	4.736e+02	4.876e+02	9.483e+00	4.739e-11	7.685e+01
9.600e+03	8.904e+01	2.257e+01	1.083e+02	4.814e+02	4.736e+02	4.876e+02	8.349e+00	4.739e-11	7.931e+01
9.700e+03	8.904e+01	2.257e+01	1.083e+02	4.814e+02	4.736e+02	4.876e+02	8.084e+00	4.739e-11	4.005e+01
9.800e+03	8.904e+01	2.257e+01	1.083e+02	4.814e+02	4.736e+02	4.876e+02	8.084e+00	4.739e-11	3.982e+01
9.900e+03	8.904e+01	2.257e+01	1.083e+02	4.814e+02	4.736e+02	4.876e+02	8.084e+00	4.739e-11	4.008e+01
1.000e+04	8.904e+01	2.257e+01	1.083e+02	4.814e+02	4.736e+02	4.876e+02	8.084e+00	4.739e-11	7.911e+01
