n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.800e+03	1.830e-01	4.887e-02	2.495e-01	5.010e-01	3.308e-01	9.007e-01	5.000e-01	1.031e-09	1.000e+00
3.900e+03	1.525e-01	7.243e-02	2.636e-01	5.010e-01	3.066e-01	8.019e-01	5.000e-01	1.031e-09	9.999e-01
4.000e+03	1.459e-01	7.680e-02	2.591e-01	5.000e-01	3.338e-01	6.517e-01	5.000e-01	1.050e-09	6.224e-01
4.100e+03	1.543e-01	7.680e-02	2.731e-01	4.950e-01	2.731e-01	6.105e-01	5.000e-01	5.782e-07	1.000e+00
4.200e+03	1.542e-01	5.215e-02	2.693e-01	5.017e-01	3.318e-01	8.080e-01	5.000e-01	5.782e-07	1.000e+00
4.300e+03	1.733e-01	7.240e-02	2.680e-01	4.289e-01	2.736e-01	6.289e-01	5.000e-01	5.782e-07	1.000e+00
4.400e+03	1.542e-01	7.255e-02	2.914e-01	4.808e-01	3.149e-01	6.070e-01	5.000e-01	5.782e-07	1.000e+00
4.500e+03	1.618e-01	7.413e-02	2.917e-01	4.771e-01	2.771e-01	6.186e-01	4.910e-01	1.031e-09	6.859e-01
4.600e+03	1.740e-01	7.284e-02	2.863e-01	4.261e-01	3.025e-01	5.615e-01	5.000e-01	1.031e-09	1.000e+00
4.700e+03	1.561e-01	5.498e-02	2.529e-01	3.744e-01	2.999e-01	5.562e-01	5.000e-01	4.436e-11	1.000e+00
4.800e+03	1.601e-01	4.740e-02	2.767e-01	4.117e-01	2.669e-01	5.857e-01	4.328e-01	0.000e+00	5.000e-01
4.900e+03	1.579e-01	7.186e-02	2.841e-01	4.206e-01	2.764e-01	5.454e-01	4.910e-01	1.031e-09	9.243e-01
5.000e+03	1.422e-01	5.071e-02	2.590e-01	4.337e-01	2.756e-01	5.629e-01	4.988e-01	1.588e-11	9.111e-01
5.100e+03	1.563e-01	4.976e-02	2.811e-01	3.648e-01	2.378e-01	5.647e-01	4.910e-01	1.031e-09	9.860e-01
5.200e+03	1.676e-01	5.060e-02	2.497e-01	4.326e-01	2.663e-01	5.691e-01	5.000e-01	3.410e-03	1.000e+00
5.300e+03	1.456e-01	7.050e-02	2.662e-01	3.585e-01	2.697e-01	5.155e-01	4.910e-01	3.497e-15	8.785e-01
5.400e+03	1.503e-01	4.372e-02	2.937e-01	3.648e-01	2.669e-01	5.820e-01	5.000e-01	5.782e-07	8.268e-01
5.500e+03	1.475e-01	6.435e-02	2.368e-01	3.646e-01	2.480e-01	7.516e-01	4.993e-01	3.497e-15	8.279e-01
5.600e+03	1.578e-01	5.388e-02	2.585e-01	3.644e-01	2.420e-01	5.140e-01	4.024e-01	3.497e-15	9.444e-01
5.700e+03	1.725e-01	5.318e-02	2.892e-01	2.920e-01	1.215e-01	5.153e-01	4.993e-01	1.031e-09	1.000e+00
