n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
4.300e+03	6.917e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	4.224e-03	5.551e-17	3.817e-01
4.400e+03	6.917e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	3.987e-10	3.817e-01
4.500e+03	6.917e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	4.224e-03	3.987e-10	2.435e-01
4.600e+03	6.917e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	4.224e-03	3.987e-10	2.435e-01
4.700e+03	6.362e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	4.224e-03	3.987e-10	2.435e-01
4.800e+03	6.362e-02	3.835e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.817e-01
4.900e+03	6.899e-02	3.835e-02	1.002e-01	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.000e+03	6.899e-02	3.835e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.100e+03	6.899e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.200e+03	6.899e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.300e+03	6.899e-02	3.811e-02	9.523e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.400e+03	6.899e-02	3.811e-02	1.002e-01	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.500e+03	6.899e-02	3.811e-02	1.002e-01	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	3.819e-01
5.600e+03	6.899e-02	3.811e-02	9.523e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	3.817e-01
5.700e+03	6.899e-02	3.811e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	3.817e-01
5.800e+03	6.899e-02	3.811e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	3.817e-01
5.900e+03	6.362e-02	3.496e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	4.048e-02	7.894e-10	2.657e-01
6.000e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	4.048e-02	7.894e-10	2.657e-01
6.100e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	4.048e-02	7.894e-10	2.657e-01
6.200e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	2.675e-01
6.300e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	2.675e-01
6.400e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	2.675e-01
6.500e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	2.675e-01
6.600e+03	5.738e-02	3.270e-02	9.104e-02	1.826e-02	1.250e-02	2.702e-02	1.143e-01	7.894e-10	2.675e-01
6.700e+03	5.738e-02	3.270e-02	9.104e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	2.435e-01
6.800e+03	5.738e-02	3.270e-02	9.104e-02	1.850e-02	1.250e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
6.900e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.000e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.100e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.200e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.300e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.400e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.500e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.675e-01
7.600e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.143e-01	7.894e-10	2.912e-01
7.700e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.421e-02	7.894e-10	2.675e-01
7.800e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.421e-02	7.894e-10	2.675e-01
7.900e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.421e-02	7.894e-10	2.675e-01
8.000e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.421e-02	1.665e-16	2.675e-01
8.100e+03	5.738e-02	3.270e-02	9.104e-02	1.873e-02	1.273e-02	2.776e-02	1.421e-02	1.665e-16	2.675e-01
8.200e+03	5.738e-02	3.255e-02	9.104e-02	1.826e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.675e-01
8.300e+03	5.738e-02	3.255e-02	9.104e-02	1.826e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.435e-01
8.400e+03	5.738e-02	3.255e-02	9.104e-02	1.826e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
8.500e+03	5.356e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
8.600e+03	5.356e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
8.700e+03	5.356e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
8.800e+03	5.651e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
8.900e+03	5.506e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.000e+03	5.506e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.100e+03	5.506e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.200e+03	5.506e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.300e+03	5.506e-02	3.255e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.400e+03	5.651e-02	3.270e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.500e+03	5.651e-02	3.270e-02	9.104e-02	1.850e-02	1.273e-02	2.702e-02	1.421e-02	1.665e-16	2.421e-01
9.600e+03	5.424e-02	3.255e-02	9.020e-02	1.850e-02	1.273e-02	2.702e-02	4.224e-03	1.665e-16	2.421e-01
9.700e+03	5.424e-02	3.255e-02	9.020e-02	1.850e-02	1.273e-02	2.702e-02	4.224e-03	1.665e-16	2.421e-01
9.800e+03	5.424e-02	3.255e-02	9.020e-02	1.850e-02	1.273e-02	2.702e-02	4.224e-03	1.665e-16	2.421e-01
9.900e+03	5.424e-02	3.255e-02	9.020e-02	1.850e-02	1.273e-02	2.702e-02	2.593e-03	6.939e-17	2.421e-01
1.000e+04	5.194e-02	2.955e-02	7.433e-02	1.850e-02	1.273e-02	2.702e-02	2.593e-03	6.939e-17	2.421e-01
1.010e+04	5.194e-02	2.955e-02	7.433e-02	1.850e-02	1.273e-02	2.702e-02	2.593e-03	6.939e-17	2.421e-01
1.020e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.421e-01
1.030e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.421e-01
1.040e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.421e-01
1.050e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.421e-01
1.060e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.070e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.080e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.090e+04	5.268e-02	2.955e-02	7.443e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.100e+04	5.424e-02	2.955e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.110e+04	5.424e-02	2.955e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.120e+04	5.424e-02	2.955e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.130e+04	5.424e-02	2.955e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.140e+04	5.424e-02	2.955e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.150e+04	5.424e-02	3.255e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	2.593e-03	1.665e-16	2.435e-01
1.160e+04	5.424e-02	3.255e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.435e-01
1.170e+04	5.424e-02	3.255e-02	9.069e-02	1.749e-02	1.273e-02	2.689e-02	7.244e-03	1.665e-16	2.435e-01
1.180e+04	5.424e-02	3.255e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.190e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.200e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.210e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.220e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.230e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.240e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.250e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.260e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.270e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	1.014e-02	7.894e-10	2.500e-01
1.280e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.290e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.300e+04	5.424e-02	3.270e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.310e+04	5.424e-02	3.255e-02	7.433e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.320e+04	5.194e-02	3.255e-02	7.433e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.330e+04	5.194e-02	3.255e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.340e+04	5.194e-02	2.955e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.350e+04	5.194e-02	2.828e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.360e+04	5.194e-02	2.828e-02	9.069e-02	1.850e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.370e+04	4.566e-02	2.828e-02	9.069e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.380e+04	4.566e-02	2.828e-02	9.069e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.390e+04	5.194e-02	2.828e-02	9.069e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.400e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.410e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.420e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.430e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.440e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.450e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.460e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.470e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.480e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.490e+04	5.194e-02	2.828e-02	7.433e-02	1.899e-02	1.273e-02	2.702e-02	7.244e-03	7.894e-10	2.500e-01
1.500e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.510e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.520e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.530e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.540e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.550e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.560e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.570e+04	5.194e-02	2.828e-02	7.433e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.580e+04	4.566e-02	2.414e-02	6.780e-02	1.850e-02	1.273e-02	2.689e-02	7.244e-03	7.894e-10	2.500e-01
1.590e+04	4.566e-02	2.414e-02	6.780e-02	1.850e-02	1.273e-02	2.689e-02	3.935e-03	7.894e-10	2.500e-01
1.600e+04	4.566e-02	2.414e-02	6.780e-02	1.850e-02	1.273e-02	2.689e-02	3.935e-03	7.894e-10	2.500e-01
1.610e+04	4.566e-02	2.414e-02	6.780e-02	1.850e-02	1.273e-02	2.689e-02	3.935e-03	7.894e-10	2.500e-01
1.620e+04	4.566e-02	2.414e-02	6.512e-02	1.831e-02	1.273e-02	2.507e-02	3.935e-03	7.894e-10	2.500e-01
1.630e+04	4.566e-02	2.414e-02	6.512e-02	1.831e-02	1.273e-02	2.507e-02	3.935e-03	7.894e-10	2.500e-01
1.640e+04	4.566e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	3.039e-03	7.894e-10	2.500e-01
1.650e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	3.039e-03	7.894e-10	2.500e-01
1.660e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	3.039e-03	7.894e-10	2.500e-01
1.670e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.680e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.690e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.700e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.710e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.720e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	2.593e-03	6.245e-17	2.435e-01
1.730e+04	4.279e-02	2.414e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.740e+04	4.279e-02	2.042e-02	6.456e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.750e+04	4.279e-02	2.042e-02	6.314e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.760e+04	4.279e-02	2.042e-02	6.314e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.770e+04	4.279e-02	2.042e-02	6.314e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.780e+04	4.279e-02	2.042e-02	6.314e-02	1.831e-02	1.273e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.790e+04	4.279e-02	2.042e-02	5.895e-02	1.749e-02	1.235e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.800e+04	4.279e-02	2.042e-02	5.895e-02	1.749e-02	1.235e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.810e+04	4.279e-02	2.042e-02	5.895e-02	1.749e-02	1.235e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.820e+04	4.279e-02	2.042e-02	5.895e-02	1.749e-02	1.235e-02	2.507e-02	3.552e-04	6.245e-17	2.435e-01
1.830e+04	4.279e-02	2.042e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.840e+04	4.279e-02	2.042e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.850e+04	4.279e-02	2.042e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.860e+04	4.279e-02	2.042e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.870e+04	4.279e-02	2.042e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.880e+04	4.062e-02	1.619e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	3.552e-04	6.245e-17	2.435e-01
1.890e+04	4.062e-02	1.619e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	2.147e-03	6.245e-17	2.435e-01
1.900e+04	4.062e-02	1.619e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	2.147e-03	6.245e-17	2.435e-01
1.910e+04	3.935e-02	1.619e-02	5.895e-02	1.831e-02	1.273e-02	2.689e-02	2.147e-03	6.245e-17	2.435e-01
1.920e+04	3.935e-02	1.619e-02	5.632e-02	1.831e-02	1.273e-02	2.689e-02	2.147e-03	6.245e-17	2.435e-01
1.930e+04	3.935e-02	1.619e-02	5.632e-02	1.831e-02	1.273e-02	2.689e-02	2.147e-03	6.245e-17	2.435e-01
