n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.900e+03	2.442e-01	2.132e-01	2.632e-01	4.220e-01	2.684e-01	7.375e-01	5.000e-01	3.957e-07	5.000e-01
4.000e+03	2.423e-01	2.167e-01	2.568e-01	5.000e-01	2.749e-01	8.030e-01	5.000e-01	1.466e-03	5.000e-01
4.100e+03	2.423e-01	2.211e-01	2.568e-01	4.922e-01	3.354e-01	9.608e-01	5.000e-01	0.000e+00	5.000e-01
4.200e+03	2.465e-01	2.289e-01	2.777e-01	6.043e-01	3.043e-01	9.573e-01	5.000e-01	1.466e-03	5.000e-01
4.300e+03	2.379e-01	2.132e-01	2.651e-01	4.127e-01	2.122e-01	8.314e-01	5.000e-01	3.957e-07	5.000e-01
4.400e+03	2.397e-01	2.212e-01	2.542e-01	5.012e-01	2.553e-01	9.541e-01	5.000e-01	3.304e-06	5.000e-01
4.500e+03	2.408e-01	2.316e-01	2.547e-01	5.557e-01	2.569e-01	9.529e-01	5.000e-01	5.797e-05	5.000e-01
4.600e+03	2.397e-01	2.169e-01	2.669e-01	5.698e-01	3.065e-01	9.767e-01	5.000e-01	2.132e-05	5.000e-01
4.700e+03	2.389e-01	2.286e-01	2.572e-01	4.870e-01	2.980e-01	9.705e-01	5.000e-01	1.466e-03	5.000e-01
4.800e+03	2.478e-01	2.319e-01	2.763e-01	4.923e-01	2.321e-01	9.538e-01	5.000e-01	1.789e-03	5.000e-01
4.900e+03	2.442e-01	2.286e-01	2.603e-01	5.356e-01	3.025e-01	9.397e-01	5.000e-01	2.893e-05	5.000e-01
5.000e+03	2.426e-01	2.199e-01	2.577e-01	5.264e-01	3.410e-01	9.546e-01	5.000e-01	1.789e-03	5.000e-01
5.100e+03	2.411e-01	2.215e-01	2.579e-01	5.000e-01	2.862e-01	9.299e-01	5.000e-01	1.466e-03	5.000e-01
5.200e+03	2.442e-01	2.199e-01	2.700e-01	5.839e-01	2.768e-01	9.643e-01	5.000e-01	1.789e-03	5.000e-01
5.300e+03	2.338e-01	2.132e-01	2.460e-01	5.197e-01	3.101e-01	9.420e-01	5.000e-01	1.789e-03	5.000e-01
5.400e+03	2.423e-01	2.199e-01	2.630e-01	5.024e-01	3.126e-01	8.251e-01	5.000e-01	1.789e-03	5.000e-01
5.500e+03	2.330e-01	2.199e-01	2.483e-01	5.175e-01	3.052e-01	9.540e-01	5.000e-01	1.726e-03	5.000e-01
5.600e+03	2.379e-01	2.212e-01	2.521e-01	5.021e-01	3.594e-01	9.549e-01	5.000e-01	2.502e-01	5.000e-01
5.700e+03	2.442e-01	2.207e-01	2.577e-01	5.307e-01	2.542e-01	9.503e-01	5.000e-01	3.641e-02	5.000e-01
5.800e+03	2.442e-01	2.233e-01	2.789e-01	5.514e-01	2.532e-01	9.609e-01	5.000e-01	1.236e-02	5.000e-01
5.900e+03	2.340e-01	2.132e-01	2.478e-01	4.064e-01	2.402e-01	9.538e-01	5.000e-01	1.586e-01	5.000e-01
6.000e+03	2.442e-01	2.227e-01	2.732e-01	4.999e-01	2.761e-01	9.004e-01	5.000e-01	1.777e-02	5.000e-01
6.100e+03	2.437e-01	2.286e-01	2.547e-01	4.743e-01	2.542e-01	8.009e-01	5.000e-01	1.085e-01	5.000e-01
6.200e+03	2.431e-01	2.286e-01	2.899e-01	5.597e-01	2.547e-01	9.477e-01	5.000e-01	2.605e-02	6.614e-01
6.300e+03	2.442e-01	2.285e-01	2.920e-01	5.001e-01	2.662e-01	9.538e-01	5.000e-01	1.953e-01	5.000e-01
6.400e+03	2.442e-01	2.302e-01	2.577e-01	5.000e-01	2.751e-01	9.620e-01	5.000e-01	3.633e-02	5.000e-01
6.500e+03	2.339e-01	2.095e-01	2.478e-01	4.108e-01	2.519e-01	8.923e-01	5.000e-01	1.789e-03	5.000e-01
6.600e+03	2.423e-01	2.279e-01	2.556e-01	4.427e-01	2.605e-01	8.264e-01	5.000e-01	4.343e-01	5.000e-01
6.700e+03	2.450e-01	2.302e-01	2.611e-01	4.857e-01	2.871e-01	9.542e-01	5.000e-01	1.789e-03	5.000e-01
6.800e+03	2.373e-01	2.313e-01	2.556e-01	4.998e-01	2.939e-01	9.525e-01	5.000e-01	1.789e-03	5.000e-01
6.900e+03	2.338e-01	2.022e-01	2.440e-01	4.996e-01	3.340e-01	8.408e-01	5.000e-01	3.744e-02	5.000e-01
7.000e+03	2.339e-01	2.161e-01	2.556e-01	5.003e-01	2.706e-01	9.458e-01	5.000e-01	1.230e-01	7.500e-01
7.100e+03	2.324e-01	2.131e-01	2.445e-01	4.671e-01	2.426e-01	8.227e-01	5.000e-01	2.883e-02	5.033e-01
7.200e+03	2.430e-01	2.245e-01	2.556e-01	4.247e-01	2.473e-01	8.145e-01	5.000e-01	5.774e-02	5.000e-01
7.300e+03	2.373e-01	2.212e-01	2.701e-01	4.007e-01	2.612e-01	8.243e-01	5.000e-01	1.789e-03	5.000e-01
7.400e+03	2.333e-01	2.028e-01	2.501e-01	4.193e-01	2.695e-01	9.538e-01	5.000e-01	6.450e-02	5.000e-01
7.500e+03	2.392e-01	2.262e-01	2.862e-01	4.885e-01	2.536e-01	9.573e-01	5.000e-01	2.332e-01	5.000e-01
7.600e+03	2.468e-01	2.262e-01	2.872e-01	4.287e-01	2.796e-01	9.238e-01	5.000e-01	1.056e-01	5.000e-01
7.700e+03	2.400e-01	2.206e-01	2.517e-01	4.921e-01	2.522e-01	7.267e-01	5.000e-01	3.219e-02	5.000e-01
7.800e+03	2.422e-01	2.309e-01	2.579e-01	4.296e-01	2.203e-01	9.550e-01	5.000e-01	4.564e-01	5.000e-01
7.900e+03	2.421e-01	2.153e-01	2.478e-01	4.450e-01	2.497e-01	8.271e-01	5.000e-01	4.686e-01	5.000e-01
8.000e+03	2.423e-01	2.212e-01	2.566e-01	5.002e-01	2.527e-01	9.540e-01	5.000e-01	1.381e-01	6.897e-01
8.100e+03	2.406e-01	2.212e-01	2.556e-01	4.940e-01	2.887e-01	8.166e-01	5.000e-01	2.906e-02	5.000e-01
8.200e+03	2.468e-01	2.262e-01	2.826e-01	5.361e-01	3.243e-01	9.520e-01	5.000e-01	3.953e-01	5.000e-01
8.300e+03	2.409e-01	2.176e-01	2.531e-01	4.983e-01	2.753e-01	8.966e-01	5.000e-01	6.431e-02	5.000e-01
