n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
4.300e+03	3.086e-01	2.877e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.123e-01	1.186e-01	5.701e-01
4.400e+03	3.086e-01	2.877e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	5.857e-02	5.701e-01
4.500e+03	3.086e-01	2.877e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	5.857e-02	5.742e-01
4.600e+03	3.086e-01	2.877e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	5.857e-02	5.742e-01
4.700e+03	3.086e-01	2.877e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	5.857e-02	5.742e-01
4.800e+03	3.412e-01	2.901e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	5.857e-02	4.877e-01
4.900e+03	3.412e-01	2.901e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	3.525e-01	1.186e-01	4.877e-01
5.000e+03	3.412e-01	2.901e-01	4.842e-01	5.893e-01	4.394e-01	7.515e-01	2.648e-01	1.186e-01	4.803e-01
5.100e+03	3.087e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.648e-01	1.186e-01	4.803e-01
5.200e+03	3.087e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.648e-01	1.186e-01	4.877e-01
5.300e+03	3.087e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.803e-01
5.400e+03	3.100e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.803e-01
5.500e+03	3.100e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.803e-01
5.600e+03	3.100e-01	2.877e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.877e-01
5.700e+03	3.087e-01	2.854e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.877e-01
5.800e+03	3.087e-01	2.854e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	4.877e-01
5.900e+03	3.087e-01	2.851e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	5.670e-01
6.000e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.218e-01	1.186e-01	5.670e-01
6.100e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	2.099e-01	1.150e-01	5.670e-01
6.200e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	1.807e-01	1.186e-01	5.701e-01
6.300e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.394e-01	7.515e-01	1.807e-01	1.186e-01	5.701e-01
6.400e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.219e-01	7.515e-01	1.807e-01	1.186e-01	5.701e-01
6.500e+03	3.095e-01	2.851e-01	4.396e-01	5.893e-01	4.219e-01	7.515e-01	1.807e-01	1.186e-01	5.701e-01
6.600e+03	3.123e-01	2.851e-01	4.925e-01	5.893e-01	4.219e-01	7.515e-01	2.099e-01	1.199e-01	5.742e-01
