x	y	progress.rate.q.0.05.0.00.quality.avgLastBoolScore	progress.rate.q.0.05.0.10.quality.avgLastBoolScore	progress.rate.q.0.05.0.25.quality.avgLastBoolScore	progress.rate.q.0.05.0.50.quality.avgLastBoolScore	progress.rate.q.0.05.1.00.quality.avgLastBoolScore
0	0	6.500e-01	6.500e-01	6.500e-01	6.500e-01	1.000e+00
0	1	nan	1.000e-01	5.000e-01	5.500e-01	5.500e-01
0	2	nan	3.000e-01	5.000e-01	5.000e-01	5.500e-01
0	3	-3.500e-01	5.000e-01	5.000e-01	5.000e-01	5.500e-01
0	4	nan	4.000e-01	5.000e-01	5.500e-01	5.500e-01
0	5	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
0	6	-5.000e-02	1.000e-01	5.000e-01	5.000e-01	6.500e-01
0	7	nan	0.000e+00	5.000e-01	5.500e-01	6.000e-01
0	8	nan	5.500e-01	5.500e-01	5.500e-01	6.000e-01
0	9	3.000e-01	5.500e-01	5.500e-01	6.000e-01	7.500e-01
1	0	4.500e-01	5.000e-01	5.000e-01	6.500e-01	6.500e-01
1	1	nan	2.000e-01	5.000e-01	5.000e-01	5.500e-01
1	2	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
1	3	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
1	4	nan	4.500e-01	5.000e-01	6.000e-01	6.000e-01
1	5	nan	4.000e-01	5.000e-01	5.500e-01	5.500e-01
1	6	nan	nan	5.000e-01	5.000e-01	5.500e-01
1	7	nan	4.000e-01	5.000e-01	5.000e-01	6.000e-01
1	8	nan	5.500e-01	5.500e-01	6.000e-01	6.500e-01
1	9	nan	5.500e-01	5.500e-01	6.000e-01	9.000e-01
2	0	4.500e-01	5.000e-01	5.000e-01	5.000e-01	6.500e-01
2	1	nan	2.500e-01	5.000e-01	5.500e-01	5.500e-01
2	2	4.500e-01	4.500e-01	5.000e-01	5.000e-01	5.500e-01
2	3	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
2	4	nan	5.000e-01	5.500e-01	5.500e-01	5.500e-01
2	5	nan	5.000e-01	5.500e-01	5.500e-01	5.500e-01
2	6	nan	nan	5.000e-01	5.000e-01	6.000e-01
2	7	nan	4.000e-01	5.500e-01	5.500e-01	6.000e-01
2	8	nan	5.000e-01	5.500e-01	5.500e-01	6.000e-01
2	9	2.000e-01	5.000e-01	5.500e-01	6.000e-01	7.000e-01
3	0	4.500e-01	5.000e-01	5.000e-01	6.500e-01	6.500e-01
3	1	nan	5.000e-01	5.000e-01	5.000e-01	5.500e-01
3	2	nan	4.500e-01	5.000e-01	5.000e-01	5.500e-01
3	3	nan	4.000e-01	5.000e-01	5.000e-01	5.500e-01
3	4	nan	4.000e-01	5.000e-01	5.000e-01	5.500e-01
3	5	nan	3.500e-01	5.000e-01	5.500e-01	5.500e-01
