n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.100e+03	1.438e-01	3.668e-02	2.166e-01	6.337e-01	2.562e-01	7.596e-01	4.500e-01	1.223e-01	6.000e-01
4.200e+03	1.880e-01	8.423e-02	2.543e-01	4.997e-01	1.902e-01	7.617e-01	4.090e-01	-3.077e-02	6.000e-01
4.300e+03	1.927e-01	1.160e-01	3.272e-01	2.863e-01	6.296e-02	7.458e-01	4.128e-01	2.565e-02	6.000e-01
4.400e+03	1.500e-01	6.218e-02	2.353e-01	3.093e-01	1.203e-01	7.016e-01	4.139e-01	1.957e-01	6.000e-01
4.500e+03	1.596e-01	6.791e-02	2.456e-01	4.261e-01	1.478e-01	6.961e-01	4.500e-01	-5.587e-03	6.000e-01
4.600e+03	1.956e-01	1.273e-01	2.797e-01	3.003e-01	6.583e-02	8.285e-01	4.128e-01	7.715e-02	6.000e-01
4.700e+03	1.625e-01	8.258e-02	2.104e-01	5.866e-01	1.066e-01	7.339e-01	4.128e-01	1.079e-01	6.000e-01
4.800e+03	1.880e-01	7.598e-02	2.763e-01	4.000e-01	1.848e-01	6.695e-01	4.052e-01	1.365e-01	6.000e-01
4.900e+03	1.880e-01	6.218e-02	2.531e-01	6.354e-01	2.860e-01	8.771e-01	4.128e-01	-8.950e-02	6.000e-01
5.000e+03	1.803e-01	8.671e-02	2.562e-01	5.844e-01	2.868e-01	8.126e-01	4.280e-01	2.288e-02	6.000e-01
5.100e+03	1.821e-01	1.158e-01	2.702e-01	4.000e-01	1.487e-01	7.696e-01	3.923e-01	-4.140e-02	6.000e-01
5.200e+03	1.879e-01	6.979e-02	2.704e-01	5.194e-01	2.025e-01	7.011e-01	4.500e-01	5.147e-02	6.000e-01
5.300e+03	1.972e-01	1.256e-01	4.225e-01	5.505e-01	2.785e-01	6.371e-01	4.090e-01	-4.803e-02	6.000e-01
5.400e+03	1.596e-01	-5.001e-02	2.104e-01	3.828e-01	2.210e-01	6.063e-01	4.500e-01	2.108e-02	6.000e-01
5.500e+03	2.017e-01	1.287e-01	3.014e-01	5.098e-01	1.675e-01	7.155e-01	4.128e-01	1.765e-01	6.000e-01
5.600e+03	2.034e-01	7.935e-02	2.731e-01	4.652e-01	1.971e-01	6.462e-01	4.128e-01	-8.316e-02	6.000e-01
