n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
1.000e+02	4.966e-08	5.412e-14	1.841e-02	8.606e-03	1.593e-03	2.697e-02	0.000e+00	0.000e+00	0.000e+00
2.000e+02	1.031e-02	2.555e-12	3.115e-02	1.208e-02	4.552e-03	2.479e-02	0.000e+00	0.000e+00	0.000e+00
3.000e+02	1.904e-02	2.804e-10	6.230e-02	1.424e-02	4.552e-03	2.855e-02	0.000e+00	0.000e+00	1.654e-01
4.000e+02	3.265e-02	3.692e-08	6.536e-02	1.424e-02	4.552e-03	2.855e-02	1.654e-01	0.000e+00	2.329e-01
5.000e+02	5.008e-02	1.031e-02	7.755e-02	1.639e-02	4.907e-03	2.946e-02	1.654e-01	0.000e+00	2.321e-01
6.000e+02	5.020e-02	1.808e-02	8.027e-02	1.672e-02	4.907e-03	2.855e-02	2.055e-01	0.000e+00	2.329e-01
7.000e+02	5.392e-02	1.658e-02	8.091e-02	1.273e-02	4.907e-03	2.291e-02	2.070e-01	1.935e-16	2.418e-01
8.000e+02	5.392e-02	1.808e-02	8.091e-02	1.273e-02	4.907e-03	2.291e-02	2.076e-01	1.047e-03	2.421e-01
9.000e+02	5.510e-02	3.019e-02	8.091e-02	1.370e-02	6.221e-03	2.291e-02	2.070e-01	1.654e-01	3.370e-01
1.000e+03	5.728e-02	3.115e-02	9.504e-02	1.370e-02	6.221e-03	2.291e-02	2.165e-01	1.654e-01	3.370e-01
1.100e+03	5.510e-02	3.115e-02	8.337e-02	1.424e-02	7.083e-03	2.556e-02	2.165e-01	1.654e-01	3.370e-01
1.200e+03	5.510e-02	3.115e-02	8.337e-02	1.424e-02	7.083e-03	2.556e-02	2.165e-01	1.697e-01	3.370e-01
1.300e+03	5.510e-02	3.115e-02	8.337e-02	1.424e-02	7.083e-03	2.556e-02	2.321e-01	2.062e-01	3.819e-01
1.400e+03	5.450e-02	3.115e-02	8.337e-02	1.424e-02	7.083e-03	2.556e-02	2.321e-01	1.708e-01	3.819e-01
1.500e+03	5.510e-02	3.115e-02	9.504e-02	1.424e-02	7.379e-03	2.556e-02	2.321e-01	2.062e-01	3.828e-01
