n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
4.300e+03	3.642e-01	1.977e-01	5.073e-01	6.653e-01	5.556e-01	8.404e-01	2.899e-01	1.323e-01	5.871e-01
4.400e+03	3.642e-01	1.977e-01	4.650e-01	6.653e-01	5.556e-01	8.404e-01	2.899e-01	1.323e-01	5.871e-01
4.500e+03	3.642e-01	1.977e-01	4.639e-01	6.653e-01	5.556e-01	8.404e-01	2.899e-01	1.323e-01	5.871e-01
4.600e+03	3.642e-01	1.977e-01	4.639e-01	6.653e-01	5.556e-01	8.404e-01	2.899e-01	1.144e-01	5.914e-01
4.700e+03	3.642e-01	1.977e-01	4.639e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
4.800e+03	3.642e-01	1.977e-01	4.650e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
4.900e+03	3.545e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.000e+03	3.545e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.100e+03	3.545e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.200e+03	3.545e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.300e+03	3.642e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.400e+03	3.642e-01	1.977e-01	4.620e-01	6.653e-01	5.556e-01	8.404e-01	2.687e-01	1.090e-01	5.914e-01
5.500e+03	3.642e-01	1.977e-01	4.639e-01	6.506e-01	5.217e-01	7.978e-01	2.899e-01	1.144e-01	5.914e-01
5.600e+03	3.642e-01	1.977e-01	4.639e-01	6.506e-01	5.217e-01	7.978e-01	2.899e-01	1.144e-01	5.914e-01
5.700e+03	3.642e-01	1.977e-01	4.639e-01	6.506e-01	5.217e-01	7.978e-01	2.687e-01	1.144e-01	5.871e-01
5.800e+03	3.545e-01	1.977e-01	4.326e-01	6.506e-01	5.217e-01	7.978e-01	2.033e-01	1.144e-01	5.871e-01
5.900e+03	3.545e-01	1.977e-01	4.326e-01	6.506e-01	5.217e-01	7.978e-01	2.033e-01	1.144e-01	4.762e-01
6.000e+03	3.642e-01	1.977e-01	4.650e-01	6.506e-01	5.217e-01	7.978e-01	2.687e-01	1.206e-01	5.267e-01
6.100e+03	3.545e-01	1.875e-01	4.561e-01	6.506e-01	5.217e-01	7.978e-01	2.899e-01	1.206e-01	5.267e-01
