n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.900e+03	2.495e-01	1.760e-01	3.178e-01	4.171e-01	3.744e-03	6.208e-01	5.000e-01	6.397e-08	5.000e-01
4.000e+03	2.475e-01	1.992e-01	2.762e-01	5.387e-01	1.730e-01	6.857e-01	5.000e-01	1.194e-01	5.000e-01
4.100e+03	2.495e-01	1.685e-01	2.708e-01	4.996e-01	8.288e-02	6.899e-01	5.000e-01	9.740e-04	5.000e-01
4.200e+03	2.450e-01	1.837e-01	2.871e-01	5.967e-01	3.022e-01	7.707e-01	5.000e-01	2.421e-02	5.000e-01
4.300e+03	2.595e-01	2.027e-01	3.116e-01	5.000e-01	9.005e-02	7.315e-01	3.075e-01	-2.518e-02	5.000e-01
4.400e+03	2.644e-01	2.128e-01	3.767e-01	3.861e-01	6.311e-02	6.056e-01	5.000e-01	2.421e-02	5.000e-01
4.500e+03	2.371e-01	2.082e-01	2.885e-01	4.988e-01	2.398e-02	6.165e-01	5.000e-01	2.421e-02	5.000e-01
4.600e+03	2.495e-01	1.685e-01	2.871e-01	4.997e-01	3.533e-02	6.396e-01	4.993e-01	1.372e-02	5.000e-01
4.700e+03	2.638e-01	2.140e-01	3.269e-01	4.538e-01	8.199e-02	8.146e-01	5.000e-01	0.000e+00	5.000e-01
4.800e+03	2.354e-01	1.685e-01	2.682e-01	5.000e-01	1.220e-01	6.488e-01	5.000e-01	1.840e-03	5.000e-01
4.900e+03	2.596e-01	2.015e-01	3.421e-01	4.677e-01	2.039e-01	5.384e-01	3.127e-01	0.000e+00	5.000e-01
5.000e+03	2.596e-01	1.685e-01	3.233e-01	5.934e-01	3.194e-01	9.008e-01	4.958e-01	-1.195e-01	5.000e-01
5.100e+03	2.495e-01	1.370e-01	2.792e-01	5.000e-01	3.402e-01	7.897e-01	5.000e-01	2.421e-02	5.000e-01
5.200e+03	2.576e-01	2.128e-01	3.365e-01	4.459e-01	1.191e-01	7.887e-01	5.000e-01	-1.395e-02	5.000e-01
5.300e+03	2.595e-01	1.912e-01	3.307e-01	5.000e-01	1.997e-01	6.560e-01	5.000e-01	1.067e-04	5.000e-01
5.400e+03	2.682e-01	2.136e-01	4.075e-01	4.913e-01	3.242e-01	6.532e-01	3.534e-01	2.685e-02	5.000e-01
5.500e+03	2.545e-01	-6.448e-02	2.726e-01	4.462e-01	1.516e-01	5.600e-01	5.000e-01	2.559e-02	5.000e-01
5.600e+03	2.596e-01	2.045e-01	3.051e-01	5.000e-01	1.521e-01	6.559e-01	5.000e-01	1.648e-02	5.000e-01
5.700e+03	2.559e-01	2.035e-01	3.068e-01	4.379e-01	2.002e-01	6.831e-01	4.702e-01	-3.864e-04	5.000e-01
5.800e+03	2.828e-01	1.875e-01	3.579e-01	4.900e-01	1.475e-01	5.978e-01	5.000e-01	2.421e-02	5.000e-01
5.900e+03	2.682e-01	2.128e-01	3.456e-01	4.988e-01	2.308e-01	8.057e-01	5.000e-01	0.000e+00	5.000e-01
6.000e+03	2.495e-01	1.685e-01	3.064e-01	5.000e-01	9.870e-02	6.573e-01	5.000e-01	1.367e-01	5.000e-01
6.100e+03	2.595e-01	1.864e-01	3.252e-01	5.000e-01	5.857e-02	7.072e-01	5.000e-01	5.741e-02	5.000e-01
6.200e+03	2.596e-01	1.685e-01	2.887e-01	4.378e-01	8.627e-02	7.151e-01	5.000e-01	4.443e-03	5.000e-01
6.300e+03	2.731e-01	4.383e-02	3.302e-01	4.951e-01	2.145e-01	8.259e-01	5.000e-01	5.741e-02	5.000e-01
6.400e+03	2.709e-01	2.243e-01	3.205e-01	4.551e-01	4.936e-02	6.840e-01	5.000e-01	-8.796e-03	5.000e-01
6.500e+03	2.779e-01	1.993e-01	3.478e-01	4.909e-01	2.053e-01	6.821e-01	4.995e-01	3.114e-05	5.000e-01
6.600e+03	2.495e-01	-2.444e-02	2.951e-01	5.000e-01	8.437e-02	7.557e-01	5.000e-01	8.040e-04	5.000e-01
6.700e+03	2.590e-01	1.722e-01	2.951e-01	4.989e-01	1.298e-01	7.846e-01	5.000e-01	7.983e-03	5.000e-01
6.800e+03	2.523e-01	9.545e-02	3.065e-01	4.652e-01	2.210e-01	6.568e-01	5.000e-01	9.615e-02	5.000e-01
6.900e+03	2.673e-01	1.909e-01	3.299e-01	4.866e-01	2.730e-02	8.394e-01	5.000e-01	6.186e-03	5.000e-01
7.000e+03	2.616e-01	1.522e-01	3.546e-01	3.767e-01	3.751e-02	5.316e-01	5.000e-01	6.733e-02	5.000e-01
7.100e+03	2.734e-01	1.959e-01	3.536e-01	5.000e-01	1.022e-01	7.586e-01	5.000e-01	5.741e-02	5.000e-01
7.200e+03	2.596e-01	9.773e-02	2.951e-01	4.868e-01	4.254e-02	6.140e-01	5.000e-01	2.042e-12	5.000e-01
7.300e+03	2.639e-01	8.436e-02	3.407e-01	5.000e-01	2.048e-01	7.445e-01	5.000e-01	5.535e-02	5.000e-01
7.400e+03	2.851e-01	1.959e-01	3.394e-01	5.205e-01	1.047e-01	7.213e-01	5.000e-01	1.467e-03	5.000e-01
7.500e+03	2.819e-01	8.488e-04	3.320e-01	4.807e-01	7.015e-02	8.556e-01	5.000e-01	5.741e-02	5.000e-01
7.600e+03	2.495e-01	-1.524e-02	3.087e-01	5.000e-01	1.091e-01	6.619e-01	4.867e-01	0.000e+00	5.000e-01
7.700e+03	2.676e-01	1.954e-01	3.293e-01	5.101e-01	5.747e-02	7.234e-01	4.985e-01	0.000e+00	5.000e-01
7.800e+03	2.633e-01	1.856e-01	3.316e-01	5.000e-01	1.522e-01	6.360e-01	4.999e-01	5.741e-02	5.000e-01
7.900e+03	2.525e-01	9.356e-03	3.229e-01	5.000e-01	1.815e-01	6.875e-01	4.733e-01	2.042e-12	5.000e-01
8.000e+03	2.596e-01	6.188e-02	3.004e-01	5.000e-01	3.019e-01	8.382e-01	4.992e-01	2.042e-12	5.000e-01
8.100e+03	2.700e-01	3.776e-02	3.250e-01	4.803e-01	1.754e-01	9.137e-01	4.991e-01	3.174e-05	5.000e-01
8.200e+03	2.495e-01	-9.358e-02	3.315e-01	5.850e-01	1.885e-01	8.958e-01	4.867e-01	-5.919e-02	5.000e-01
8.300e+03	2.996e-01	1.959e-01	3.793e-01	5.305e-01	1.198e-01	8.064e-01	2.849e-01	1.761e-06	5.000e-01
8.400e+03	2.640e-01	1.716e-01	3.284e-01	4.929e-01	1.438e-01	6.519e-01	4.828e-01	-1.810e-02	5.000e-01
8.500e+03	2.740e-01	9.850e-02	3.130e-01	5.000e-01	1.445e-01	7.859e-01	4.384e-01	0.000e+00	5.000e-01
8.600e+03	2.547e-01	1.191e-01	2.982e-01	4.362e-01	1.718e-02	8.803e-01	4.804e-01	-9.408e-02	5.000e-01
8.700e+03	2.683e-01	1.758e-01	3.049e-01	5.000e-01	1.133e-01	6.251e-01	5.000e-01	0.000e+00	5.000e-01
8.800e+03	2.596e-01	1.361e-01	3.045e-01	5.000e-01	2.779e-01	6.887e-01	4.746e-01	2.042e-12	5.000e-01
8.900e+03	2.646e-01	1.185e-01	3.017e-01	5.000e-01	1.764e-01	8.265e-01	5.000e-01	0.000e+00	5.000e-01
9.000e+03	2.678e-01	1.913e-01	3.151e-01	5.000e-01	2.076e-01	8.204e-01	5.000e-01	3.578e-02	5.000e-01
9.100e+03	2.794e-01	5.219e-02	3.108e-01	5.012e-01	4.314e-01	7.861e-01	4.999e-01	-4.406e-02	5.000e-01
9.200e+03	2.686e-01	2.283e-01	3.175e-01	4.724e-01	2.714e-01	7.011e-01	1.740e-01	0.000e+00	5.000e-01
9.300e+03	2.672e-01	1.268e-01	3.273e-01	4.379e-01	9.052e-02	6.870e-01	4.950e-01	-3.036e-02	5.000e-01
9.400e+03	2.280e-01	9.610e-02	2.879e-01	5.000e-01	1.913e-01	7.999e-01	4.269e-01	2.042e-12	5.000e-01
9.500e+03	2.495e-01	1.367e-01	3.186e-01	5.000e-01	1.176e-01	7.479e-01	5.000e-01	-5.889e-02	5.000e-01
9.600e+03	2.789e-01	2.050e-01	3.182e-01	4.582e-01	1.232e-01	7.435e-01	4.999e-01	2.042e-12	5.000e-01
9.700e+03	1.978e-01	-1.428e-01	2.933e-01	5.060e-01	1.284e-01	8.109e-01	5.000e-01	0.000e+00	5.000e-01
9.800e+03	2.624e-01	5.977e-02	3.128e-01	5.000e-01	3.764e-01	7.537e-01	5.000e-01	7.169e-02	5.000e-01
9.900e+03	2.759e-01	3.003e-02	3.124e-01	5.272e-01	1.462e-01	8.930e-01	5.000e-01	0.000e+00	5.000e-01
1.000e+04	2.699e-01	-1.788e-10	3.129e-01	5.919e-01	1.536e-01	8.099e-01	3.430e-01	-1.184e-01	5.000e-01
1.010e+04	2.552e-01	1.649e-01	3.149e-01	4.999e-01	5.958e-02	7.886e-01	2.927e-01	0.000e+00	5.000e-01
1.020e+04	2.815e-01	1.968e-01	3.184e-01	4.692e-01	9.484e-03	8.245e-01	4.999e-01	0.000e+00	5.000e-01
1.030e+04	2.632e-01	-2.240e-05	3.160e-01	5.000e-01	7.383e-03	7.953e-01	4.968e-01	-9.192e-09	5.000e-01
1.040e+04	2.675e-01	1.164e-01	3.165e-01	5.642e-01	3.621e-01	7.763e-01	5.000e-01	2.042e-12	5.000e-01
1.050e+04	2.804e-01	1.900e-01	3.263e-01	5.000e-01	1.298e-01	6.149e-01	4.478e-01	-4.158e-07	5.000e-01
1.060e+04	2.671e-01	-1.732e-02	3.193e-01	5.131e-01	1.382e-01	9.099e-01	5.000e-01	-4.158e-07	5.000e-01
1.070e+04	2.750e-01	1.260e-09	3.317e-01	5.216e-01	2.021e-01	9.150e-01	5.000e-01	-8.936e-02	5.000e-01
1.080e+04	2.599e-01	2.777e-04	3.131e-01	4.659e-01	1.203e-01	6.715e-01	3.117e-01	0.000e+00	5.000e-01
1.090e+04	2.682e-01	1.291e-01	2.978e-01	5.000e-01	2.932e-01	7.742e-01	5.000e-01	-2.553e-12	5.000e-01
1.100e+04	2.421e-01	1.231e-08	3.136e-01	4.880e-01	1.220e-01	7.202e-01	2.403e-01	-1.521e-02	5.000e-01
1.110e+04	2.582e-01	1.644e-01	2.978e-01	4.999e-01	1.419e-01	6.444e-01	4.143e-01	-1.114e-02	5.000e-01
1.120e+04	2.647e-01	2.237e-01	3.020e-01	4.563e-01	1.103e-02	7.456e-01	2.790e-01	-4.057e-07	5.000e-01
1.130e+04	2.828e-01	2.102e-01	3.319e-01	5.000e-01	4.555e-02	7.952e-01	3.720e-01	-1.521e-02	5.000e-01
1.140e+04	2.574e-01	-1.218e-07	3.133e-01	5.739e-01	4.297e-01	9.406e-01	2.244e-01	-1.521e-02	5.000e-01
1.150e+04	3.001e-01	2.215e-01	3.458e-01	4.109e-01	5.257e-03	6.928e-01	4.997e-01	-5.441e-05	5.000e-01
1.160e+04	2.799e-01	1.935e-01	3.316e-01	5.000e-01	1.952e-01	6.857e-01	5.000e-01	-3.495e-07	5.000e-01
1.170e+04	2.676e-01	1.942e-01	3.146e-01	3.597e-01	1.973e-02	5.863e-01	2.693e-01	-4.158e-07	5.000e-01
1.180e+04	2.762e-01	1.965e-01	3.360e-01	5.148e-01	2.439e-01	8.154e-01	6.318e-03	-4.078e-02	5.000e-01
1.190e+04	2.543e-01	6.836e-08	3.215e-01	5.000e-01	7.996e-02	7.796e-01	5.000e-01	-4.158e-07	5.000e-01
1.200e+04	2.526e-01	1.894e-01	3.292e-01	4.505e-01	5.543e-05	7.387e-01	5.000e-01	2.042e-12	5.000e-01
1.210e+04	2.624e-01	8.114e-02	2.972e-01	5.108e-01	2.485e-01	7.622e-01	1.124e-01	-1.468e-02	5.000e-01
1.220e+04	2.813e-01	1.698e-01	3.232e-01	4.069e-01	1.361e-01	7.258e-01	1.397e-01	-4.551e-07	5.000e-01
