n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.800e+03	2.072e-01	-9.052e-02	4.019e-01	5.381e-01	4.027e-01	7.360e-01	5.000e-01	3.548e-02	1.000e+00
3.900e+03	2.516e-01	-8.904e-04	4.337e-01	5.615e-01	4.043e-01	7.296e-01	5.000e-01	6.780e-02	1.000e+00
4.000e+03	2.513e-01	-5.139e-03	4.544e-01	6.011e-01	4.217e-01	7.573e-01	5.000e-01	4.046e-08	1.000e+00
4.100e+03	2.428e-01	-2.550e-02	3.667e-01	5.658e-01	4.172e-01	7.341e-01	8.288e-01	5.000e-01	1.000e+00
4.200e+03	2.428e-01	-9.101e-02	4.148e-01	5.774e-01	4.163e-01	7.765e-01	5.000e-01	-4.662e-02	1.000e+00
4.300e+03	2.513e-01	-3.040e-02	4.209e-01	5.442e-01	4.058e-01	7.255e-01	5.000e-01	1.382e-07	1.000e+00
4.400e+03	2.513e-01	-3.086e-02	4.517e-01	5.476e-01	4.058e-01	7.514e-01	5.000e-01	4.884e-02	1.000e+00
4.500e+03	2.467e-01	-1.266e-02	4.544e-01	6.467e-01	4.888e-01	7.333e-01	5.000e-01	1.764e-01	1.000e+00
4.600e+03	2.300e-01	-9.024e-07	4.190e-01	5.656e-01	4.318e-01	7.592e-01	5.000e-01	2.758e-09	1.000e+00
4.700e+03	2.542e-01	-8.742e-02	4.720e-01	5.357e-01	4.058e-01	7.020e-01	5.000e-01	2.102e-01	1.000e+00
4.800e+03	2.513e-01	-8.917e-02	4.522e-01	5.354e-01	4.297e-01	7.343e-01	5.000e-01	4.643e-02	1.000e+00
4.900e+03	2.513e-01	-1.233e-04	4.746e-01	5.609e-01	4.193e-01	7.425e-01	5.610e-01	2.842e-01	1.000e+00
5.000e+03	2.513e-01	-1.112e-04	4.741e-01	6.248e-01	4.170e-01	7.407e-01	9.997e-01	3.486e-02	1.000e+00
5.100e+03	2.608e-01	9.338e-07	4.749e-01	5.696e-01	4.134e-01	7.566e-01	7.521e-01	4.977e-01	1.000e+00
5.200e+03	2.513e-01	4.498e-05	4.734e-01	6.024e-01	3.954e-01	7.390e-01	9.997e-01	2.542e-01	1.000e+00
5.300e+03	2.456e-01	-7.459e-03	4.550e-01	6.157e-01	4.223e-01	7.634e-01	9.997e-01	1.866e-01	1.000e+00
5.400e+03	2.456e-01	-1.205e-02	4.488e-01	6.052e-01	4.070e-01	7.166e-01	9.997e-01	3.654e-01	1.000e+00
5.500e+03	2.456e-01	-3.763e-02	4.709e-01	6.234e-01	4.105e-01	7.629e-01	9.919e-01	3.257e-02	1.000e+00
5.600e+03	2.456e-01	-8.680e-02	4.499e-01	5.449e-01	3.877e-01	7.425e-01	9.997e-01	4.385e-01	1.000e+00
5.700e+03	2.923e-01	7.014e-02	5.000e-01	6.061e-01	4.318e-01	7.440e-01	5.000e-01	1.014e-12	1.000e+00
5.800e+03	2.406e-01	-9.053e-02	4.174e-01	5.539e-01	4.058e-01	7.438e-01	1.000e+00	2.595e-02	1.000e+00
5.900e+03	2.609e-01	-7.352e-06	4.749e-01	5.631e-01	4.003e-01	7.123e-01	1.000e+00	3.881e-02	1.000e+00
6.000e+03	2.657e-01	-2.442e-15	5.000e-01	5.499e-01	4.058e-01	6.981e-01	1.000e+00	2.194e-02	1.000e+00
6.100e+03	2.298e-01	-8.680e-02	4.542e-01	5.583e-01	3.830e-01	7.100e-01	1.000e+00	2.111e-01	1.000e+00
6.200e+03	2.469e-01	-1.592e-05	4.731e-01	6.173e-01	4.184e-01	7.424e-01	1.000e+00	1.705e-01	1.000e+00
6.300e+03	2.418e-01	-1.046e-01	4.518e-01	5.819e-01	3.904e-01	7.179e-01	1.000e+00	2.178e-01	1.000e+00
6.400e+03	2.513e-01	-3.112e-02	5.000e-01	5.820e-01	4.001e-01	7.234e-01	9.997e-01	1.458e-01	1.000e+00
6.500e+03	2.217e-01	-4.208e-03	4.565e-01	5.671e-01	4.059e-01	7.084e-01	1.000e+00	1.213e-01	1.000e+00
6.600e+03	2.513e-01	-5.416e-06	4.741e-01	5.565e-01	4.059e-01	7.319e-01	9.997e-01	3.152e-01	1.000e+00
6.700e+03	7.671e-02	-1.207e-01	3.457e-01	5.501e-01	4.059e-01	7.046e-01	1.000e+00	2.721e-01	1.000e+00
6.800e+03	2.462e-01	-3.296e-05	4.696e-01	5.576e-01	4.058e-01	7.184e-01	9.997e-01	5.000e-01	1.000e+00
6.900e+03	2.456e-01	-1.046e-01	4.591e-01	5.497e-01	3.930e-01	7.211e-01	1.000e+00	2.683e-01	1.000e+00
7.000e+03	2.608e-01	-1.257e-05	5.000e-01	5.455e-01	4.058e-01	7.369e-01	1.000e+00	5.000e-01	1.000e+00
7.100e+03	2.456e-01	-1.037e-01	4.188e-01	5.776e-01	4.285e-01	7.193e-01	1.000e+00	5.000e-01	1.000e+00
7.200e+03	2.513e-01	2.776e-17	5.000e-01	6.075e-01	4.421e-01	7.252e-01	1.000e+00	4.109e-01	1.000e+00
7.300e+03	2.608e-01	-1.063e-01	4.702e-01	5.461e-01	4.059e-01	7.194e-01	1.000e+00	4.649e-01	1.000e+00
