n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.000e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	4.500e-01	1.526e-01	6.500e-01
4.100e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	4.500e-01	1.526e-01	6.500e-01
4.200e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.853e-01	4.500e-01	1.526e-01	6.500e-01
4.300e+03	2.719e-02	-2.983e-02	1.205e-01	5.216e-01	2.450e-01	6.853e-01	4.812e-01	1.526e-01	9.990e-01
4.400e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	4.812e-01	1.079e-01	9.990e-01
4.500e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	4.812e-01	1.079e-01	9.990e-01
4.600e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	5.000e-01	1.803e-01	1.000e+00
4.700e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	4.812e-01	1.079e-01	1.000e+00
4.800e+03	2.719e-02	-2.983e-02	1.205e-01	5.043e-01	2.450e-01	6.378e-01	4.812e-01	1.079e-01	1.000e+00
4.900e+03	2.719e-02	-2.983e-02	1.205e-01	5.043e-01	2.450e-01	6.378e-01	4.812e-01	1.079e-01	1.000e+00
5.000e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	5.000e-01	1.079e-01	1.000e+00
5.100e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	5.000e-01	1.803e-01	1.000e+00
5.200e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.450e-01	6.513e-01	5.000e-01	1.803e-01	1.000e+00
5.300e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.301e-01	6.513e-01	4.167e-01	1.803e-01	1.000e+00
5.400e+03	2.719e-02	-2.983e-02	1.205e-01	5.140e-01	2.301e-01	6.513e-01	4.167e-01	1.803e-01	1.000e+00
5.500e+03	2.719e-02	-2.983e-02	1.205e-01	4.829e-01	1.877e-01	6.513e-01	4.167e-01	1.803e-01	1.000e+00
5.600e+03	2.719e-02	-2.983e-02	1.205e-01	4.829e-01	1.877e-01	6.513e-01	5.000e-01	1.803e-01	1.000e+00
5.700e+03	2.719e-02	-2.983e-02	1.205e-01	3.842e-01	1.013e-01	6.513e-01	5.000e-01	1.803e-01	1.000e+00
5.800e+03	2.719e-02	-2.983e-02	1.205e-01	3.690e-01	1.496e-01	6.378e-01	5.000e-01	1.803e-01	1.000e+00
