n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
4.300e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.490e-01	2.382e-01	8.750e-02	4.365e-01
4.400e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.434e-01	2.382e-01	8.750e-02	3.326e-01
4.500e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.434e-01	2.382e-01	8.750e-02	3.326e-01
4.600e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.434e-01	2.382e-01	8.750e-02	3.051e-01
4.700e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.941e-01	3.380e-01	2.382e-01	7.813e-02	3.051e-01
4.800e+03	1.290e-01	4.350e-02	2.403e-01	2.612e-01	1.932e-01	3.305e-01	2.382e-01	7.813e-02	3.051e-01
4.900e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.380e-01	2.002e-01	7.812e-02	3.051e-01
5.000e+03	1.290e-01	4.350e-02	2.403e-01	2.660e-01	1.932e-01	3.380e-01	2.002e-01	7.812e-02	3.051e-01
5.100e+03	1.290e-01	3.515e-02	2.403e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	3.051e-01
5.200e+03	1.290e-01	3.515e-02	2.403e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	3.051e-01
5.300e+03	1.290e-01	3.515e-02	2.403e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	2.969e-01
5.400e+03	1.612e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	2.969e-01
5.500e+03	1.612e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	3.051e-01
5.600e+03	1.240e-01	3.515e-02	2.441e-01	2.760e-01	1.941e-01	3.434e-01	2.002e-01	7.812e-02	3.326e-01
