n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.800e+03	2.518e-01	-7.698e-02	4.000e-01	6.676e-01	3.718e-01	9.051e-01	5.500e-01	2.205e-01	9.677e-01
1.900e+03	2.518e-01	-7.698e-02	4.000e-01	6.982e-01	3.925e-01	9.517e-01	5.004e-01	2.000e-01	9.677e-01
2.000e+03	2.518e-01	-7.698e-02	4.000e-01	7.346e-01	5.479e-01	9.517e-01	5.500e-01	2.205e-01	9.463e-01
2.100e+03	2.580e-01	-7.698e-02	4.000e-01	7.346e-01	5.425e-01	9.517e-01	5.500e-01	2.114e-01	9.463e-01
2.200e+03	2.580e-01	-7.698e-02	4.000e-01	6.814e-01	4.851e-01	9.127e-01	5.620e-01	2.114e-01	9.463e-01
2.300e+03	2.580e-01	-7.698e-02	4.000e-01	6.982e-01	5.425e-01	9.127e-01	5.620e-01	2.114e-01	9.463e-01
2.400e+03	2.580e-01	-7.698e-02	4.000e-01	6.982e-01	5.425e-01	9.127e-01	5.620e-01	2.500e-01	9.463e-01
2.500e+03	2.580e-01	-7.698e-02	4.000e-01	6.814e-01	5.425e-01	9.040e-01	5.620e-01	2.500e-01	9.463e-01
2.600e+03	2.930e-01	-7.698e-02	4.000e-01	6.814e-01	5.425e-01	9.040e-01	6.500e-01	2.703e-01	9.463e-01
2.700e+03	2.930e-01	-7.698e-02	4.000e-01	6.814e-01	5.425e-01	9.040e-01	6.500e-01	2.703e-01	9.463e-01
2.800e+03	2.930e-01	-7.698e-02	4.000e-01	6.814e-01	5.425e-01	8.546e-01	6.737e-01	3.500e-01	9.463e-01
2.900e+03	2.930e-01	-7.698e-02	4.000e-01	6.676e-01	5.050e-01	8.251e-01	7.000e-01	3.500e-01	9.677e-01
3.000e+03	3.245e-01	-7.698e-02	4.000e-01	6.141e-01	3.968e-01	7.605e-01	7.000e-01	3.126e-01	9.998e-01
