n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.900e+03	2.565e-01	2.215e-01	2.670e-01	6.525e-01	1.419e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+03	2.549e-01	2.198e-01	2.670e-01	6.525e-01	1.419e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.100e+03	2.549e-01	2.198e-01	2.670e-01	6.525e-01	1.419e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.200e+03	2.565e-01	2.198e-01	2.670e-01	5.903e-01	1.419e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.300e+03	2.549e-01	2.193e-01	2.670e-01	5.661e-01	1.419e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.400e+03	2.549e-01	2.193e-01	2.670e-01	5.661e-01	2.200e-01	9.436e-01	5.000e-01	5.000e-01	5.000e-01
4.500e+03	2.565e-01	2.193e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
4.600e+03	2.565e-01	2.187e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
4.700e+03	2.565e-01	2.187e-01	2.930e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
4.800e+03	2.565e-01	2.187e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
4.900e+03	2.549e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
5.000e+03	2.549e-01	2.183e-01	2.639e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.994e-01	5.000e-01
5.100e+03	2.549e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.998e-01	5.000e-01
5.200e+03	2.549e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.994e-01	5.000e-01
5.300e+03	2.549e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.994e-01	5.000e-01
5.400e+03	2.573e-01	2.183e-01	2.649e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.994e-01	5.000e-01
5.500e+03	2.515e-01	2.139e-01	2.639e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.994e-01	5.000e-01
5.600e+03	2.565e-01	2.139e-01	2.639e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.972e-01	5.000e-01
5.700e+03	2.565e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
5.800e+03	2.565e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.972e-01	5.000e-01
5.900e+03	2.565e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
6.000e+03	2.565e-01	2.183e-01	2.670e-01	5.661e-01	1.192e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
6.100e+03	2.565e-01	2.183e-01	2.670e-01	5.797e-01	2.200e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
6.200e+03	2.575e-01	2.183e-01	2.670e-01	6.396e-01	2.200e-01	9.436e-01	5.000e-01	4.086e-01	5.000e-01
6.300e+03	2.565e-01	2.146e-01	2.670e-01	6.396e-01	2.200e-01	9.436e-01	5.000e-01	4.972e-01	5.000e-01
6.400e+03	2.575e-01	2.146e-01	2.695e-01	6.396e-01	3.029e-01	9.436e-01	5.000e-01	4.086e-01	5.000e-01
6.500e+03	2.575e-01	2.146e-01	2.670e-01	6.396e-01	3.029e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
6.600e+03	2.575e-01	2.146e-01	2.670e-01	6.396e-01	3.029e-01	9.436e-01	5.000e-01	4.846e-01	5.000e-01
