n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
1.000e+02	3.437e+01	3.437e+01	3.437e+01	8.985e+01	8.985e+01	8.985e+01	-4.078e+00	-4.078e+00	-4.078e+00	-4.369e+00	-4.369e+00	-4.369e+00
3.000e+02	3.245e+01	3.245e+01	3.245e+01	1.283e+02	1.283e+02	1.283e+02	1.285e+02	1.285e+02	1.285e+02	-4.252e+00	-4.252e+00	-4.252e+00
5.000e+02	3.153e+01	3.153e+01	3.153e+01	1.186e+02	1.186e+02	1.186e+02	-2.217e+00	-2.217e+00	-2.217e+00	5.312e+00	5.312e+00	5.312e+00
