n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
4.300e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.667e-01	4.961e-01	6.250e-01	2.568e-01	8.480e-01
4.400e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.667e-01	4.961e-01	6.250e-01	2.568e-01	8.697e-01
4.500e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.667e-01	4.961e-01	6.250e-01	2.568e-01	8.697e-01
4.600e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.667e-01	4.961e-01	6.250e-01	2.568e-01	8.697e-01
4.700e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.961e-01	6.250e-01	2.568e-01	8.697e-01
4.800e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.868e-01	6.250e-01	2.631e-01	8.697e-01
4.900e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.868e-01	6.250e-01	2.343e-01	8.697e-01
5.000e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.901e-01	6.250e-01	2.343e-01	8.697e-01
5.100e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.901e-01	6.250e-01	2.343e-01	8.697e-01
5.200e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.901e-01	6.250e-01	2.343e-01	8.697e-01
5.300e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.901e-01	4.795e-01	2.343e-01	8.697e-01
5.400e+03	5.356e-02	1.281e-02	9.889e-02	4.676e-01	3.338e-01	4.901e-01	4.795e-01	2.343e-01	8.438e-01
5.500e+03	5.356e-02	1.281e-02	9.889e-02	4.604e-01	3.338e-01	4.868e-01	4.795e-01	2.343e-01	8.438e-01
5.600e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.842e-01	4.795e-01	2.343e-01	8.438e-01
5.700e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.842e-01	4.795e-01	2.343e-01	8.438e-01
5.800e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.842e-01	3.942e-01	2.343e-01	8.108e-01
5.900e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.086e-01	4.842e-01	3.942e-01	2.343e-01	8.108e-01
6.000e+03	5.356e-02	1.281e-02	9.889e-02	4.519e-01	2.736e-01	4.838e-01	4.210e-01	2.579e-01	8.341e-01
6.100e+03	5.356e-02	1.281e-02	9.889e-02	4.519e-01	2.736e-01	4.838e-01	4.210e-01	2.579e-01	8.341e-01
6.200e+03	5.356e-02	1.281e-02	9.889e-02	4.519e-01	2.736e-01	4.838e-01	3.946e-01	2.579e-01	8.108e-01
6.300e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.736e-01	4.842e-01	3.946e-01	2.579e-01	8.108e-01
6.400e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.736e-01	4.842e-01	3.946e-01	2.579e-01	8.108e-01
6.500e+03	5.356e-02	1.281e-02	9.889e-02	4.519e-01	2.736e-01	4.838e-01	3.946e-01	2.579e-01	8.108e-01
6.600e+03	5.356e-02	1.281e-02	9.889e-02	4.519e-01	2.736e-01	4.838e-01	3.946e-01	2.579e-01	8.108e-01
6.700e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	3.338e-01	4.838e-01	3.946e-01	2.579e-01	8.108e-01
6.800e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.766e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
6.900e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.766e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.000e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.766e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.100e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.766e-01	4.838e-01	3.946e-01	2.631e-01	7.343e-01
7.200e+03	5.356e-02	1.281e-02	9.889e-02	4.563e-01	2.766e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.300e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.400e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.500e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.600e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.700e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.800e+03	5.356e-02	1.281e-02	9.889e-02	4.499e-01	2.276e-01	4.838e-01	4.210e-01	2.631e-01	7.343e-01
7.900e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.000e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.100e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.200e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.300e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.400e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.500e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.600e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	3.946e-01	2.579e-01	7.343e-01
8.700e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.579e-01	8.108e-01
8.800e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.579e-01	7.343e-01
8.900e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.176e-01	7.343e-01
9.000e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.176e-01	7.343e-01
9.100e+03	5.356e-02	1.281e-02	9.889e-02	3.973e-01	2.276e-01	4.731e-01	4.210e-01	2.176e-01	7.343e-01
