n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
1.140e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	2.779e-01	1.366e-01	6.257e-01
1.150e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	2.804e-01	1.404e-01	6.257e-01
1.160e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.170e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.180e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.190e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.200e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.210e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.220e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.230e+04	5.790e-02	3.019e-02	9.726e-02	2.185e-01	7.974e-02	4.465e-01	4.717e-01	1.404e-01	6.975e-01
1.240e+04	5.790e-02	3.019e-02	9.726e-02	2.045e-01	7.974e-02	4.463e-01	4.717e-01	1.404e-01	6.975e-01
1.250e+04	5.790e-02	3.019e-02	9.726e-02	2.045e-01	7.974e-02	4.463e-01	4.717e-01	1.404e-01	6.975e-01
1.260e+04	5.790e-02	3.019e-02	9.726e-02	2.045e-01	7.974e-02	4.463e-01	4.717e-01	1.404e-01	6.975e-01
1.270e+04	5.790e-02	3.019e-02	9.726e-02	2.045e-01	7.974e-02	4.463e-01	4.717e-01	1.404e-01	6.975e-01
1.280e+04	5.790e-02	3.019e-02	9.726e-02	1.652e-01	7.471e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.290e+04	5.790e-02	3.019e-02	9.726e-02	1.652e-01	7.471e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.300e+04	5.790e-02	3.019e-02	9.726e-02	1.652e-01	7.471e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.310e+04	5.790e-02	3.019e-02	9.726e-02	1.652e-01	7.471e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.320e+04	5.790e-02	3.019e-02	9.726e-02	1.652e-01	7.471e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.330e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.340e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.803e-01	1.404e-01	7.255e-01
1.350e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.366e-01	7.255e-01
1.360e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.366e-01	7.255e-01
1.370e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.366e-01	7.255e-01
1.380e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.390e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.400e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	7.255e-01
1.410e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.420e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.430e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.440e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.450e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.460e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.470e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
1.480e+04	5.790e-02	3.019e-02	9.726e-02	9.989e-02	6.419e-02	4.450e-01	4.717e-01	1.404e-01	6.975e-01
