n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
4.300e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.299e-02	2.250e-02	4.835e-02	8.362e-09	2.500e-01
4.400e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.110e-02	4.835e-02	8.362e-09	2.500e-01
4.500e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.269e-02	2.110e-02	4.835e-02	8.362e-09	2.500e-01
4.600e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.110e-02	1.669e-01	8.362e-09	2.500e-01
4.700e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.209e-02	2.110e-02	1.669e-01	8.362e-09	2.421e-01
4.800e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.421e-01
4.900e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.421e-01
5.000e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.100e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.200e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.178e-02	1.987e-02	4.835e-02	8.362e-09	2.420e-01
5.300e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.400e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.500e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	4.835e-02	8.362e-09	2.420e-01
5.600e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	7.121e-02	8.362e-09	2.338e-01
5.700e+03	1.405e-02	1.015e-02	1.853e-02	1.809e-02	1.037e-02	2.110e-02	7.121e-02	8.362e-09	2.338e-01
5.800e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.037e-02	1.987e-02	7.121e-02	8.362e-09	2.338e-01
5.900e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.037e-02	1.987e-02	7.121e-02	8.362e-09	2.277e-01
6.000e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.037e-02	1.987e-02	7.121e-02	8.362e-09	2.277e-01
6.100e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	9.749e-03	1.925e-02	7.121e-02	8.362e-09	2.277e-01
6.200e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	9.749e-03	1.925e-02	7.121e-02	8.362e-09	2.277e-01
6.300e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	9.749e-03	1.925e-02	2.707e-05	8.362e-09	2.277e-01
6.400e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	9.749e-03	1.925e-02	2.707e-05	8.362e-09	2.277e-01
6.500e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	9.749e-03	1.925e-02	2.707e-05	3.090e-09	2.277e-01
6.600e+03	1.405e-02	1.015e-02	1.853e-02	1.737e-02	1.037e-02	1.925e-02	2.707e-05	3.090e-09	2.277e-01
6.700e+03	1.405e-02	1.015e-02	1.853e-02	1.733e-02	1.037e-02	1.888e-02	2.707e-05	3.090e-09	2.277e-01
6.800e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.936e-03	8.362e-09	2.277e-01
6.900e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.936e-03	8.362e-09	2.277e-01
7.000e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.936e-03	1.850e-08	2.277e-01
7.100e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.936e-03	1.850e-08	2.277e-01
7.200e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.528e-03	1.850e-08	2.277e-01
7.300e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.528e-03	1.850e-08	2.196e-01
7.400e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.528e-03	1.850e-08	2.196e-01
7.500e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.528e-03	1.850e-08	2.196e-01
7.600e+03	1.405e-02	1.015e-02	1.853e-02	1.626e-02	9.749e-03	1.850e-02	2.528e-03	8.362e-09	2.196e-01
7.700e+03	1.405e-02	1.015e-02	1.853e-02	1.614e-02	9.265e-03	1.850e-02	2.528e-03	8.362e-09	2.196e-01
7.800e+03	1.405e-02	1.015e-02	1.853e-02	1.614e-02	9.265e-03	1.850e-02	2.528e-03	8.362e-09	2.196e-01
7.900e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.265e-03	1.826e-02	2.528e-03	8.362e-09	2.196e-01
8.000e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.265e-03	1.826e-02	2.381e-04	6.409e-09	2.359e-01
8.100e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.265e-03	1.826e-02	2.381e-04	6.409e-09	2.421e-01
8.200e+03	1.405e-02	1.015e-02	1.853e-02	1.612e-02	9.173e-03	1.809e-02	2.528e-03	8.362e-09	2.421e-01
