n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	7.070e-03	-6.539e-02	5.995e-01	4.695e-01	2.988e-01	5.954e-01	6.000e-01	6.000e-01	6.000e-01
2.000e+02	-8.954e-03	-7.565e-02	5.994e-01	3.952e-01	2.576e-01	5.998e-01	6.000e-01	6.000e-01	6.000e-01
3.000e+02	9.128e-02	-7.497e-02	5.984e-01	3.689e-01	1.089e-01	5.952e-01	6.000e-01	5.427e-01	6.000e-01
4.000e+02	-1.817e-02	-8.265e-02	5.806e-01	5.216e-01	1.992e-01	6.000e-01	6.000e-01	4.500e-01	6.000e-01
5.000e+02	-6.880e-03	-7.009e-02	5.994e-01	3.001e-01	8.393e-03	5.610e-01	6.000e-01	4.500e-01	6.000e-01
6.000e+02	1.515e-01	-6.378e-02	5.997e-01	3.879e-01	1.012e-01	5.718e-01	6.000e-01	5.427e-01	6.000e-01
7.000e+02	1.520e-01	-6.140e-02	6.000e-01	3.039e-01	8.498e-06	5.859e-01	6.000e-01	4.353e-01	6.000e-01
8.000e+02	2.661e-01	-7.429e-02	5.973e-01	4.584e-01	3.556e-02	7.671e-01	6.000e-01	3.636e-01	6.000e-01
9.000e+02	7.116e-04	-7.095e-02	5.786e-01	4.754e-01	9.744e-02	6.000e-01	6.000e-01	3.636e-01	6.000e-01
1.000e+03	7.850e-05	-7.098e-02	5.999e-01	4.464e-01	9.293e-02	7.042e-01	6.000e-01	3.500e-01	6.000e-01
1.100e+03	3.000e-01	-6.809e-02	6.000e-01	4.654e-01	1.521e-06	8.366e-01	6.000e-01	1.977e-01	6.000e-01
1.200e+03	3.790e-01	-6.481e-02	6.000e-01	4.638e-01	1.225e-02	7.003e-01	5.999e-01	2.325e-01	6.552e-01
1.300e+03	8.896e-02	-6.866e-02	5.988e-01	2.953e-01	1.836e-06	6.393e-01	6.000e-01	1.473e-01	6.473e-01
1.400e+03	1.516e-01	-6.841e-02	5.992e-01	4.159e-01	1.083e-01	5.882e-01	6.000e-01	2.500e-01	6.473e-01
1.500e+03	1.518e-01	-7.188e-02	5.998e-01	3.696e-01	1.327e-02	6.710e-01	6.000e-01	4.337e-01	6.473e-01
1.600e+03	1.517e-01	-6.467e-02	6.000e-01	2.967e-01	5.029e-02	5.481e-01	6.000e-01	9.913e-02	6.552e-01
1.700e+03	2.675e-01	-7.527e-02	6.000e-01	2.999e-01	6.266e-02	5.859e-01	6.000e-01	2.500e-01	6.552e-01
1.800e+03	2.586e-01	-5.392e-02	6.000e-01	2.264e-01	-1.341e-05	5.405e-01	6.000e-01	1.349e-01	6.558e-01
1.900e+03	2.632e-01	-6.630e-02	5.996e-01	2.482e-01	1.075e-01	5.613e-01	6.000e-01	5.253e-01	7.000e-01
2.000e+03	1.514e-01	-6.296e-02	5.997e-01	3.973e-01	1.674e-01	6.000e-01	6.000e-01	2.268e-01	6.473e-01
2.100e+03	2.707e-01	-7.305e-02	5.999e-01	4.232e-01	2.998e-01	6.468e-01	6.000e-01	2.268e-01	6.552e-01
2.200e+03	1.518e-01	-7.518e-02	5.709e-01	4.064e-01	1.076e-01	6.960e-01	5.999e-01	8.139e-02	6.549e-01
2.300e+03	2.664e-01	-6.184e-02	5.993e-01	3.681e-01	1.208e-01	6.039e-01	5.584e-01	5.301e-02	6.552e-01
2.400e+03	1.513e-01	-7.760e-02	5.998e-01	4.259e-01	2.106e-01	5.957e-01	5.894e-01	8.139e-02	6.274e-01
2.500e+03	-1.047e-03	-7.831e-02	5.997e-01	4.229e-01	1.129e-01	5.643e-01	5.584e-01	9.259e-02	6.274e-01
2.600e+03	2.568e-01	-5.767e-02	6.000e-01	4.387e-01	2.990e-01	6.749e-01	5.894e-01	1.372e-01	6.552e-01
2.700e+03	1.515e-01	-7.515e-02	5.995e-01	4.158e-01	1.622e-01	6.831e-01	5.996e-01	1.347e-01	6.552e-01
2.800e+03	1.516e-01	-6.774e-02	6.000e-01	3.856e-01	2.153e-01	5.873e-01	6.000e-01	1.998e-01	7.000e-01
2.900e+03	-4.893e-03	-8.478e-02	5.621e-01	4.663e-01	2.950e-01	6.299e-01	6.000e-01	2.095e-01	7.000e-01
3.000e+03	1.262e-01	-8.250e-02	5.931e-01	4.504e-01	3.000e-01	7.879e-01	5.815e-01	1.998e-01	6.552e-01
3.100e+03	4.013e-01	-5.685e-02	6.000e-01	4.664e-01	2.029e-01	7.842e-01	5.584e-01	1.477e-01	6.552e-01
3.200e+03	3.000e-01	-6.159e-02	5.997e-01	4.005e-01	2.220e-01	6.036e-01	5.815e-01	2.992e-01	9.232e-01
3.300e+03	2.748e-01	-7.101e-02	6.000e-01	3.978e-01	2.989e-01	6.418e-01	5.584e-01	1.550e-01	9.232e-01
3.400e+03	3.600e-01	-5.056e-02	6.000e-01	4.347e-01	2.988e-01	5.564e-01	5.584e-01	8.139e-02	7.000e-01
3.500e+03	1.518e-01	-5.227e-02	5.997e-01	4.176e-01	3.056e-01	6.273e-01	5.815e-01	1.470e-01	9.500e-01
3.600e+03	3.000e-01	-6.251e-02	6.000e-01	4.950e-01	3.103e-01	7.339e-01	5.584e-01	2.134e-02	9.232e-01
3.700e+03	3.000e-01	-6.625e-02	5.998e-01	4.660e-01	3.577e-01	6.814e-01	5.815e-01	1.831e-02	7.000e-01
3.800e+03	2.599e-01	-5.974e-02	5.985e-01	4.657e-01	2.843e-01	7.191e-01	5.705e-01	5.806e-02	9.500e-01
3.900e+03	2.877e-01	-7.009e-02	5.796e-01	4.659e-01	2.996e-01	6.574e-01	6.000e-01	3.000e-01	9.500e-01
4.000e+03	2.564e-01	-6.289e-02	5.786e-01	4.318e-01	3.766e-01	7.246e-01	6.000e-01	9.406e-02	9.500e-01
4.100e+03	2.567e-01	-6.458e-02	5.728e-01	5.231e-01	3.749e-01	7.953e-01	5.815e-01	9.998e-02	9.500e-01
4.200e+03	2.881e-01	-5.931e-02	5.998e-01	4.269e-01	3.050e-01	6.000e-01	5.846e-01	8.139e-02	9.500e-01
4.300e+03	2.665e-01	-4.232e-02	5.779e-01	4.661e-01	2.640e-01	6.000e-01	6.000e-01	4.282e-02	9.976e-01
4.400e+03	2.721e-01	-6.178e-02	5.743e-01	4.767e-01	3.150e-01	6.000e-01	6.000e-01	1.536e-02	9.500e-01
4.500e+03	2.270e-01	-3.294e-02	5.996e-01	5.070e-01	2.623e-01	6.249e-01	6.000e-01	3.000e-01	9.896e-01
4.600e+03	2.880e-01	-6.270e-02	5.998e-01	4.661e-01	2.916e-01	6.189e-01	5.427e-01	8.139e-02	9.500e-01
4.700e+03	2.734e-01	-3.087e-02	5.891e-01	4.524e-01	3.471e-01	7.363e-01	5.467e-01	9.998e-02	9.977e-01
4.800e+03	3.000e-01	-3.019e-02	6.000e-01	4.871e-01	3.847e-01	7.296e-01	5.997e-01	1.121e-01	9.500e-01
4.900e+03	1.511e-01	-7.325e-02	5.682e-01	4.956e-01	4.110e-01	6.342e-01	5.815e-01	8.139e-02	9.500e-01
5.000e+03	2.538e-01	-5.186e-02	5.686e-01	4.280e-01	2.956e-01	6.909e-01	6.000e-01	8.139e-02	9.500e-01
5.100e+03	2.732e-01	-6.218e-02	5.708e-01	4.668e-01	3.492e-01	7.097e-01	6.000e-01	1.706e-01	9.951e-01
5.200e+03	2.595e-01	-6.661e-02	5.909e-01	4.658e-01	3.057e-01	7.185e-01	6.000e-01	2.753e-01	9.955e-01
5.300e+03	2.926e-01	-5.973e-02	6.000e-01	4.697e-01	3.185e-01	6.408e-01	5.849e-01	1.175e-01	9.500e-01
5.400e+03	2.877e-01	-2.788e-02	5.993e-01	4.280e-01	2.992e-01	6.615e-01	6.425e-01	3.000e-01	9.989e-01
5.500e+03	3.000e-01	-5.805e-02	5.995e-01	4.219e-01	1.827e-01	6.698e-01	5.427e-01	8.139e-02	9.500e-01
5.600e+03	1.463e-01	-6.269e-02	5.714e-01	4.678e-01	2.508e-01	6.813e-01	5.427e-01	9.998e-02	9.500e-01
5.700e+03	2.684e-01	-6.715e-02	5.828e-01	4.280e-01	2.531e-01	5.756e-01	5.427e-01	5.026e-02	7.986e-01
5.800e+03	2.881e-01	-5.440e-02	5.992e-01	4.881e-01	2.945e-01	7.062e-01	5.427e-01	2.271e-02	9.500e-01
5.900e+03	3.000e-01	-2.332e-02	6.000e-01	5.247e-01	3.886e-01	7.834e-01	6.000e-01	8.139e-02	9.500e-01
6.000e+03	1.508e-01	-6.639e-02	5.812e-01	5.188e-01	3.853e-01	6.692e-01	6.000e-01	3.060e-01	9.500e-01
6.100e+03	3.000e-01	-4.242e-02	5.999e-01	4.410e-01	2.930e-01	7.064e-01	6.000e-01	-2.545e-02	9.500e-01
6.200e+03	2.560e-01	-7.087e-02	5.804e-01	5.728e-01	3.862e-01	7.591e-01	6.000e-01	1.158e-01	1.000e+00
6.300e+03	2.879e-01	-6.251e-02	5.978e-01	5.714e-01	3.854e-01	7.071e-01	6.000e-01	1.167e-01	9.500e-01
6.400e+03	2.566e-01	-5.836e-02	5.998e-01	5.523e-01	3.851e-01	7.762e-01	6.096e-01	2.328e-01	1.000e+00
6.500e+03	2.881e-01	-3.578e-02	5.930e-01	5.786e-01	3.855e-01	7.231e-01	5.976e-01	7.664e-02	8.000e-01
6.600e+03	2.881e-01	-6.553e-02	5.997e-01	4.791e-01	3.041e-01	7.070e-01	5.999e-01	1.489e-01	9.500e-01
6.700e+03	2.668e-01	-6.172e-02	5.793e-01	5.015e-01	3.847e-01	6.575e-01	6.000e-01	1.111e-01	1.000e+00
6.800e+03	2.709e-01	-6.512e-02	5.753e-01	4.213e-01	2.992e-01	5.928e-01	6.096e-01	2.874e-01	9.500e-01
6.900e+03	2.517e-01	-5.766e-02	5.773e-01	5.728e-01	3.854e-01	7.458e-01	6.096e-01	1.687e-01	1.000e+00
7.000e+03	2.649e-01	-6.992e-02	5.715e-01	5.575e-01	3.529e-01	7.366e-01	6.096e-01	1.084e-01	1.000e+00
7.100e+03	1.437e-01	-7.402e-02	5.684e-01	5.566e-01	3.850e-01	7.340e-01	6.500e-01	2.115e-01	1.000e+00
7.200e+03	2.881e-01	-6.145e-02	5.998e-01	5.018e-01	2.636e-01	7.306e-01	6.500e-01	9.406e-02	1.000e+00
7.300e+03	2.695e-01	-5.816e-02	5.797e-01	5.751e-01	3.856e-01	7.602e-01	6.500e-01	9.658e-02	9.500e-01
7.400e+03	2.707e-01	-7.345e-02	5.772e-01	5.583e-01	3.850e-01	7.315e-01	7.911e-01	4.421e-01	1.000e+00
7.500e+03	2.879e-01	-6.752e-02	5.997e-01	5.019e-01	1.921e-01	7.174e-01	6.006e-01	1.593e-01	1.000e+00
7.600e+03	2.691e-01	-6.004e-02	5.737e-01	4.482e-01	3.593e-01	7.206e-01	6.096e-01	3.468e-01	1.000e+00
7.700e+03	2.581e-01	-5.678e-02	5.998e-01	5.556e-01	3.054e-01	7.246e-01	6.006e-01	2.519e-01	1.000e+00
7.800e+03	2.874e-01	-3.489e-02	6.000e-01	5.890e-01	4.135e-01	7.127e-01	7.000e-01	2.948e-01	1.000e+00
7.900e+03	2.624e-01	-5.984e-02	5.713e-01	4.965e-01	3.073e-01	6.859e-01	6.006e-01	9.947e-02	9.500e-01
8.000e+03	3.000e-01	-3.228e-02	5.994e-01	4.293e-01	3.109e-01	6.266e-01	6.002e-01	9.947e-02	1.000e+00
8.100e+03	2.572e-01	-6.848e-02	5.797e-01	4.806e-01	3.853e-01	7.111e-01	6.006e-01	1.090e-01	1.000e+00
8.200e+03	2.879e-01	-5.018e-02	5.995e-01	5.210e-01	3.497e-01	7.061e-01	6.002e-01	7.497e-02	1.000e+00
8.300e+03	2.729e-01	-6.289e-02	5.989e-01	5.362e-01	3.858e-01	7.030e-01	7.000e-01	3.157e-01	1.000e+00
8.400e+03	2.568e-01	-5.510e-02	5.786e-01	5.397e-01	3.813e-01	7.188e-01	7.000e-01	3.161e-01	1.000e+00
8.500e+03	2.665e-01	-7.021e-02	5.656e-01	5.631e-01	3.854e-01	7.940e-01	7.000e-01	2.865e-01	1.000e+00
8.600e+03	2.880e-01	-6.579e-02	5.989e-01	5.066e-01	3.813e-01	6.470e-01	7.725e-01	4.500e-01	1.000e+00
8.700e+03	2.658e-01	-7.063e-02	5.994e-01	4.309e-01	3.199e-01	7.050e-01	7.000e-01	5.008e-01	1.000e+00
8.800e+03	2.653e-01	-6.632e-02	5.995e-01	5.588e-01	3.812e-01	7.068e-01	8.087e-01	4.536e-01	1.000e+00
8.900e+03	2.880e-01	-6.192e-02	5.999e-01	4.926e-01	2.020e-01	6.505e-01	7.000e-01	4.500e-01	1.000e+00
9.000e+03	2.569e-01	-6.352e-02	5.762e-01	5.290e-01	3.113e-01	6.305e-01	7.725e-01	4.500e-01	1.000e+00
9.100e+03	2.329e-01	-6.303e-02	5.916e-01	5.402e-01	3.067e-01	6.553e-01	6.264e-01	1.989e-01	1.000e+00
9.200e+03	2.316e-01	-7.590e-02	5.795e-01	5.535e-01	3.650e-01	7.755e-01	7.000e-01	4.369e-01	1.000e+00
9.300e+03	2.042e-01	-8.287e-02	5.996e-01	5.298e-01	3.433e-01	6.782e-01	7.725e-01	5.427e-01	1.000e+00
9.400e+03	1.301e-01	-6.626e-02	5.861e-01	5.209e-01	3.773e-01	6.899e-01	7.000e-01	4.500e-01	1.000e+00
9.500e+03	2.507e-01	-5.681e-02	5.774e-01	5.733e-01	3.855e-01	7.853e-01	6.264e-01	3.157e-01	1.000e+00
9.600e+03	2.129e-01	-7.834e-02	5.762e-01	4.672e-01	3.348e-01	6.976e-01	7.000e-01	4.500e-01	1.000e+00
9.700e+03	2.512e-01	-6.988e-02	5.715e-01	4.618e-01	3.811e-01	6.886e-01	7.000e-01	4.500e-01	1.000e+00
9.800e+03	1.641e-01	-6.282e-02	5.826e-01	5.696e-01	3.811e-01	7.117e-01	6.264e-01	9.426e-02	9.670e-01
9.900e+03	2.512e-01	-8.243e-02	5.753e-01	5.294e-01	3.364e-01	7.086e-01	6.264e-01	1.718e-01	1.000e+00
1.000e+04	1.548e-01	-6.833e-02	5.786e-01	5.219e-01	3.470e-01	7.060e-01	6.500e-01	4.463e-01	1.000e+00
1.010e+04	1.152e-01	-7.682e-02	4.443e-01	5.239e-01	3.814e-01	7.070e-01	7.000e-01	4.500e-01	9.998e-01
1.020e+04	1.469e-01	-6.084e-02	5.999e-01	5.681e-01	3.811e-01	7.490e-01	7.000e-01	3.157e-01	1.000e+00
1.030e+04	2.737e-01	-5.685e-02	5.840e-01	5.370e-01	3.815e-01	7.062e-01	7.921e-01	6.000e-01	1.000e+00
1.040e+04	2.684e-01	-6.693e-02	6.000e-01	5.318e-01	3.813e-01	7.060e-01	8.076e-01	6.000e-01	1.000e+00
1.050e+04	2.576e-01	-5.447e-02	5.995e-01	5.574e-01	3.814e-01	7.099e-01	7.000e-01	3.983e-01	1.000e+00
1.060e+04	1.659e-01	-6.991e-02	5.997e-01	4.876e-01	3.815e-01	7.075e-01	8.459e-01	5.427e-01	1.000e+00
1.070e+04	2.654e-01	-6.598e-02	5.995e-01	5.282e-01	3.851e-01	7.062e-01	8.459e-01	5.427e-01	1.000e+00
1.080e+04	1.612e-01	-5.818e-02	5.995e-01	5.802e-01	4.202e-01	7.064e-01	7.000e-01	4.752e-01	1.000e+00
1.090e+04	2.352e-01	-7.180e-02	5.999e-01	5.366e-01	3.812e-01	6.893e-01	7.000e-01	4.500e-01	1.000e+00
1.100e+04	2.359e-01	-6.814e-02	6.000e-01	5.724e-01	4.120e-01	7.917e-01	7.000e-01	4.500e-01	1.000e+00
1.110e+04	1.673e-01	-6.813e-02	5.996e-01	5.229e-01	4.019e-01	6.966e-01	7.000e-01	3.063e-01	1.000e+00
1.120e+04	9.099e-02	-7.684e-02	5.716e-01	5.695e-01	4.079e-01	6.807e-01	8.065e-01	5.427e-01	1.000e+00
1.130e+04	2.627e-01	-6.783e-02	6.000e-01	5.089e-01	3.814e-01	7.182e-01	8.145e-01	5.427e-01	1.000e+00
1.140e+04	2.031e-01	-7.986e-02	5.782e-01	5.700e-01	4.062e-01	7.069e-01	7.000e-01	4.779e-01	1.000e+00
1.150e+04	2.443e-01	-6.025e-02	5.995e-01	5.760e-01	4.300e-01	7.104e-01	7.000e-01	4.500e-01	1.000e+00
1.160e+04	2.640e-01	-5.817e-02	6.000e-01	5.451e-01	3.861e-01	7.716e-01	6.199e-01	4.500e-01	1.000e+00
1.170e+04	2.085e-01	-6.806e-02	5.990e-01	5.074e-01	3.846e-01	6.979e-01	6.525e-01	3.157e-01	1.000e+00
1.180e+04	1.234e-01	-8.010e-02	5.708e-01	5.202e-01	3.853e-01	6.540e-01	6.006e-01	4.500e-01	1.000e+00
1.190e+04	1.530e-01	-8.265e-02	5.697e-01	5.718e-01	3.851e-01	7.085e-01	7.000e-01	4.500e-01	1.000e+00
