n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	1.465e-01	4.515e-03	4.337e-01	4.511e-01	2.810e-01	4.966e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	4.255e-02	-3.328e-02	4.995e-01	4.793e-01	6.384e-02	4.999e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	1.368e-10	-4.195e-02	4.993e-01	4.246e-01	1.431e-01	5.108e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	6.893e-03	-2.885e-02	4.981e-01	4.672e-01	1.425e-02	5.000e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	1.149e-05	-5.325e-02	4.803e-01	3.962e-01	2.891e-02	6.129e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	5.537e-13	-6.824e-02	4.993e-01	3.597e-01	1.052e-04	4.999e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.890e-01	-2.960e-02	4.999e-01	3.895e-01	7.154e-02	5.740e-01	5.000e-01	4.991e-01	5.000e-01
8.000e+02	2.489e-01	-2.281e-02	5.000e-01	4.199e-01	6.352e-06	5.975e-01	5.000e-01	4.877e-01	5.000e-01
9.000e+02	2.923e-01	-2.470e-02	4.998e-01	4.195e-01	3.553e-03	7.596e-01	5.000e-01	4.028e-01	5.000e-01
1.000e+03	7.833e-04	-4.690e-02	4.777e-01	4.276e-01	1.296e-01	5.540e-01	5.000e-01	4.028e-01	5.000e-01
1.100e+03	3.929e-02	-6.487e-02	4.999e-01	4.125e-01	9.708e-02	7.094e-01	5.000e-01	3.039e-01	5.000e-01
1.200e+03	2.756e-01	-2.750e-02	5.000e-01	3.810e-01	1.618e-02	7.943e-01	5.000e-01	4.920e-01	8.349e-01
1.300e+03	3.644e-01	-4.647e-02	5.000e-01	4.661e-01	8.392e-02	6.202e-01	5.000e-01	3.729e-01	5.003e-01
1.400e+03	2.115e-02	-4.392e-02	4.987e-01	3.671e-01	2.084e-02	5.764e-01	5.000e-01	1.768e-01	5.000e-01
1.500e+03	2.080e-02	-3.829e-02	4.991e-01	3.671e-01	3.775e-02	5.619e-01	5.000e-01	4.877e-01	5.000e-01
1.600e+03	1.857e-01	-3.894e-02	4.997e-01	4.174e-01	8.831e-02	6.266e-01	5.000e-01	5.000e-01	5.000e-01
1.700e+03	2.078e-01	-3.758e-02	5.000e-01	3.030e-01	3.140e-06	5.108e-01	5.000e-01	4.877e-01	5.000e-01
1.800e+03	2.936e-01	-5.104e-02	5.000e-01	3.200e-01	7.495e-02	5.595e-01	5.000e-01	4.626e-01	5.000e-01
1.900e+03	2.845e-01	-3.739e-02	5.000e-01	3.431e-01	1.352e-08	5.760e-01	5.000e-01	2.900e-01	5.000e-01
2.000e+03	2.488e-01	-5.833e-02	4.996e-01	3.519e-01	4.036e-02	5.734e-01	5.000e-01	2.900e-01	5.000e-01
2.100e+03	2.487e-01	-3.350e-02	4.997e-01	4.965e-01	1.835e-01	5.912e-01	5.000e-01	8.054e-02	5.000e-01
2.200e+03	2.488e-01	-2.895e-02	4.999e-01	5.000e-01	3.752e-01	5.757e-01	5.000e-01	8.054e-02	5.000e-01
2.300e+03	1.351e-02	-4.299e-02	4.695e-01	4.761e-01	2.191e-01	6.305e-01	5.000e-01	8.054e-02	5.000e-01
2.400e+03	2.489e-01	-4.591e-02	4.992e-01	4.762e-01	2.042e-01	5.711e-01	5.000e-01	3.343e-02	5.000e-01
2.500e+03	2.386e-02	-3.564e-02	4.998e-01	4.661e-01	2.269e-01	5.840e-01	5.000e-01	2.339e-04	5.000e-01
2.600e+03	2.124e-02	-7.052e-02	4.997e-01	4.909e-01	2.227e-01	5.960e-01	5.000e-01	3.186e-02	5.000e-01
2.700e+03	2.825e-01	-3.153e-02	5.000e-01	5.000e-01	3.793e-01	5.835e-01	5.000e-01	3.359e-02	5.000e-01
2.800e+03	1.751e-02	-6.454e-02	4.995e-01	4.842e-01	1.586e-01	5.759e-01	5.000e-01	1.089e-01	5.000e-01
2.900e+03	2.374e-01	-3.804e-02	5.000e-01	4.760e-01	1.505e-01	5.761e-01	5.000e-01	8.172e-02	7.276e-01
3.000e+03	1.081e-11	-6.913e-02	4.564e-01	5.448e-01	3.545e-01	6.339e-01	5.000e-01	1.145e-01	5.000e-01
3.100e+03	2.488e-01	-6.878e-02	4.948e-01	4.929e-01	3.117e-01	7.550e-01	5.000e-01	3.327e-02	5.000e-01
3.200e+03	3.800e-01	-3.610e-02	5.000e-01	4.726e-01	3.176e-01	6.464e-01	5.000e-01	1.248e-01	7.138e-01
3.300e+03	2.862e-01	-2.721e-02	4.997e-01	4.719e-01	3.074e-01	5.760e-01	5.000e-01	2.947e-01	1.000e+00
