n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
4.300e+03	1.492e-02	1.735e-03	1.795e-02	1.414e-02	9.167e-03	1.941e-02	1.374e-03	4.913e-09	1.654e-01
4.400e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.016e-02	1.941e-02	1.374e-03	4.913e-09	1.654e-01
4.500e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	9.167e-03	1.941e-02	1.374e-03	7.031e-09	1.654e-01
4.600e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	9.167e-03	1.941e-02	1.374e-03	7.031e-09	1.654e-01
4.700e+03	1.492e-02	1.735e-03	1.795e-02	1.414e-02	9.167e-03	1.897e-02	1.374e-03	7.031e-09	1.654e-01
4.800e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.016e-02	1.941e-02	1.374e-03	7.031e-09	1.654e-01
4.900e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.016e-02	1.941e-02	1.374e-03	7.031e-09	1.654e-01
5.000e+03	1.492e-02	1.735e-03	1.795e-02	1.414e-02	1.016e-02	1.897e-02	1.374e-03	7.031e-09	1.654e-01
5.100e+03	1.492e-02	1.735e-03	1.795e-02	1.414e-02	1.016e-02	1.897e-02	1.374e-03	7.031e-09	1.654e-01
5.200e+03	1.492e-02	1.735e-03	1.795e-02	1.414e-02	1.016e-02	1.897e-02	1.374e-03	1.023e-08	1.654e-01
5.300e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.941e-02	1.374e-03	1.023e-08	1.654e-01
5.400e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.941e-02	1.374e-03	1.023e-08	1.654e-01
5.500e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
5.600e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
5.700e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
5.800e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
5.900e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.960e-02	4.196e-04	1.023e-08	1.132e-01
6.000e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.960e-02	4.196e-04	1.023e-08	1.132e-01
6.100e+03	1.492e-02	1.735e-03	1.795e-02	1.592e-02	1.057e-02	1.960e-02	4.196e-04	1.023e-08	1.132e-01
6.200e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
6.300e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
6.400e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
6.500e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
6.600e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	1.023e-08	1.132e-01
6.700e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	8.747e-05	8.553e-09	1.560e-02
6.800e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	4.196e-04	8.553e-09	1.654e-01
6.900e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	3.381e-10	1.560e-02
7.000e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	3.381e-10	1.560e-02
7.100e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	7.831e-10	1.654e-01
7.200e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	7.831e-10	1.654e-01
7.300e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	7.831e-10	1.654e-01
7.400e+03	1.492e-02	1.735e-03	1.795e-02	1.572e-02	1.057e-02	1.941e-02	1.033e-06	7.831e-10	1.654e-01
7.500e+03	1.492e-02	1.735e-03	1.795e-02	1.561e-02	1.057e-02	1.844e-02	7.346e-06	7.831e-10	1.654e-01
