n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.increase	xor._.me.hebbian.network.best.quality.increase.min	xor._.me.hebbian.network.best.quality.increase.max	xor._.me.hebbian.synapse.best.quality.increase	xor._.me.hebbian.synapse.best.quality.increase.min	xor._.me.hebbian.synapse.best.quality.increase.max	xor._.me.freeForm.best.quality.increase	xor._.me.freeForm.best.quality.increase.min	xor._.me.freeForm.best.quality.increase.max
4.300e+03	2.940e-01	2.823e-03	3.644e-01	4.379e-01	3.543e-01	4.956e-01	3.896e-01	1.613e-01	7.451e-01
4.400e+03	2.940e-01	2.823e-03	3.644e-01	4.379e-01	3.543e-01	4.956e-01	3.896e-01	1.613e-01	7.895e-01
4.500e+03	2.940e-01	2.823e-03	3.644e-01	4.379e-01	3.543e-01	4.956e-01	4.262e-01	1.613e-01	7.895e-01
4.600e+03	2.940e-01	2.823e-03	3.564e-01	4.379e-01	3.540e-01	4.920e-01	4.262e-01	1.613e-01	7.895e-01
4.700e+03	2.950e-01	4.631e-02	3.644e-01	4.379e-01	3.543e-01	4.920e-01	4.262e-01	1.589e-01	6.819e-01
4.800e+03	2.950e-01	4.631e-02	3.644e-01	4.463e-01	3.708e-01	4.821e-01	4.262e-01	1.589e-01	6.819e-01
4.900e+03	2.950e-01	4.631e-02	3.644e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.000e+03	2.950e-01	4.631e-02	3.644e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.100e+03	2.950e-01	4.631e-02	3.644e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.200e+03	2.952e-01	4.658e-02	5.104e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.300e+03	2.952e-01	4.658e-02	5.104e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.400e+03	2.952e-01	4.658e-02	5.117e-01	4.560e-01	3.708e-01	4.920e-01	3.729e-01	1.589e-01	6.819e-01
5.500e+03	2.952e-01	4.658e-02	5.368e-01	4.414e-01	3.708e-01	4.821e-01	3.729e-01	1.589e-01	6.819e-01
5.600e+03	2.952e-01	4.658e-02	5.368e-01	4.414e-01	3.708e-01	4.821e-01	3.729e-01	1.589e-01	6.596e-01
5.700e+03	2.952e-01	4.658e-02	5.368e-01	4.414e-01	3.708e-01	4.821e-01	3.729e-01	1.589e-01	6.596e-01
5.800e+03	2.952e-01	4.658e-02	5.368e-01	4.414e-01	3.708e-01	4.821e-01	4.262e-01	1.589e-01	6.819e-01
5.900e+03	2.952e-01	6.771e-02	5.368e-01	4.414e-01	3.708e-01	4.821e-01	2.988e-01	1.589e-01	7.895e-01
6.000e+03	2.952e-01	6.771e-02	5.368e-01	4.560e-01	4.142e-01	4.920e-01	2.903e-01	1.580e-01	6.819e-01
6.100e+03	2.952e-01	6.771e-02	5.368e-01	4.560e-01	4.142e-01	4.920e-01	2.903e-01	1.580e-01	6.819e-01
6.200e+03	2.950e-01	6.771e-02	5.104e-01	4.560e-01	4.142e-01	4.920e-01	2.903e-01	1.580e-01	6.819e-01
6.300e+03	2.952e-01	7.474e-02	5.429e-01	4.560e-01	4.142e-01	4.920e-01	2.903e-01	1.580e-01	6.596e-01
6.400e+03	2.952e-01	7.474e-02	5.452e-01	4.560e-01	3.543e-01	4.920e-01	2.903e-01	1.580e-01	6.596e-01
6.500e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.540e-01	4.821e-01	2.938e-01	1.580e-01	6.596e-01
6.600e+03	2.952e-01	7.474e-02	5.429e-01	4.539e-01	3.500e-01	4.821e-01	2.938e-01	1.580e-01	6.372e-01
6.700e+03	2.952e-01	7.474e-02	5.429e-01	4.539e-01	3.500e-01	4.821e-01	2.938e-01	1.580e-01	6.372e-01
6.800e+03	2.952e-01	7.474e-02	5.429e-01	4.539e-01	3.500e-01	4.821e-01	2.988e-01	1.589e-01	6.372e-01
6.900e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.500e-01	4.821e-01	2.938e-01	1.589e-01	6.248e-01
7.000e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.500e-01	4.821e-01	2.988e-01	1.589e-01	6.372e-01
7.100e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.500e-01	4.821e-01	2.988e-01	1.589e-01	6.372e-01
7.200e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.500e-01	4.798e-01	2.988e-01	1.589e-01	6.372e-01
7.300e+03	2.952e-01	7.474e-02	5.452e-01	4.539e-01	3.500e-01	4.798e-01	2.988e-01	1.589e-01	6.372e-01
7.400e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.988e-01	1.589e-01	6.372e-01
7.500e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.938e-01	1.589e-01	6.596e-01
7.600e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.938e-01	1.589e-01	6.596e-01
7.700e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.938e-01	1.589e-01	6.596e-01
7.800e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.938e-01	1.589e-01	6.596e-01
7.900e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.938e-01	1.589e-01	6.372e-01
8.000e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.100e+03	2.952e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.200e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.039e-01
8.300e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.039e-01
8.400e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.500e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.600e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.700e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.248e-01
8.800e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.039e-01
8.900e+03	3.015e-01	7.474e-02	5.532e-01	4.272e-01	3.483e-01	4.798e-01	2.903e-01	1.580e-01	6.039e-01
9.000e+03	3.015e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.653e-01	1.470e-01	6.039e-01
9.100e+03	3.015e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.653e-01	1.470e-01	6.039e-01
9.200e+03	3.015e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.653e-01	1.470e-01	5.678e-01
9.300e+03	3.015e-01	7.474e-02	5.452e-01	4.272e-01	3.483e-01	4.798e-01	2.653e-01	1.470e-01	5.678e-01
9.400e+03	3.015e-01	7.474e-02	5.452e-01	4.271e-01	3.483e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
9.500e+03	3.015e-01	7.474e-02	5.452e-01	4.271e-01	3.483e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
9.600e+03	3.015e-01	7.474e-02	5.532e-01	4.271e-01	3.483e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
9.700e+03	3.015e-01	7.474e-02	5.532e-01	4.271e-01	3.483e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
9.800e+03	3.017e-01	7.474e-02	5.532e-01	4.271e-01	3.494e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
9.900e+03	3.250e-01	7.474e-02	5.532e-01	4.271e-01	3.494e-01	4.762e-01	2.122e-01	1.364e-01	5.259e-01
