n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
4.300e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.400e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.500e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.600e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.594e-02	4.748e-04	1.273e-08	2.421e-01
4.700e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	2.421e-01
4.800e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	1.669e-01
4.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	1.669e-01
5.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	4.748e-04	1.273e-08	1.669e-01
5.100e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	4.748e-04	1.273e-08	1.669e-01
5.200e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	4.748e-04	1.273e-08	1.669e-01
5.300e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	4.748e-04	1.273e-08	1.669e-01
5.400e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	3.895e-04	1.273e-08	1.966e-02
5.500e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	3.895e-04	1.273e-08	1.966e-02
5.600e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	5.853e-05	1.273e-08	1.966e-02
5.700e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	5.585e-05	3.598e-10	1.888e-02
5.800e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	5.853e-05	3.598e-10	1.966e-02
5.900e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	5.853e-05	3.598e-10	1.966e-02
6.000e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	5.853e-05	3.598e-10	1.966e-02
6.100e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	5.853e-05	5.122e-12	1.966e-02
6.200e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	5.853e-05	5.122e-12	1.966e-02
6.300e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	5.853e-05	5.122e-12	1.966e-02
