n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.fitness	2d.nav._.hebbian.network.best.quality.fitness.min	2d.nav._.hebbian.network.best.quality.fitness.max	2d.nav._.hebbian.synapse.best.quality.fitness	2d.nav._.hebbian.synapse.best.quality.fitness.min	2d.nav._.hebbian.synapse.best.quality.fitness.max	2d.nav._.freeForm.best.quality.fitness	2d.nav._.freeForm.best.quality.fitness.min	2d.nav._.freeForm.best.quality.fitness.max
6.700e+03	-1.578e+00	-3.555e+00	1.071e+01	4.656e+02	3.602e+02	4.928e+02	3.878e+01	-2.403e+00	1.037e+02
6.800e+03	-1.438e+00	-3.555e+00	1.071e+01	4.656e+02	3.602e+02	4.928e+02	3.878e+01	-2.403e+00	1.037e+02
6.900e+03	-1.438e+00	-3.555e+00	1.071e+01	4.656e+02	3.602e+02	4.928e+02	3.878e+01	-2.403e+00	1.037e+02
7.000e+03	-1.438e+00	-3.555e+00	1.308e+01	4.683e+02	3.602e+02	4.928e+02	3.878e+01	-2.403e+00	1.037e+02
7.100e+03	-1.438e+00	-3.555e+00	1.308e+01	4.683e+02	3.602e+02	4.945e+02	3.878e+01	-2.403e+00	1.037e+02
7.200e+03	-1.438e+00	-3.555e+00	1.308e+01	4.683e+02	3.602e+02	4.945e+02	3.878e+01	-2.403e+00	1.061e+02
7.300e+03	-1.438e+00	-3.555e+00	1.308e+01	4.683e+02	3.602e+02	4.945e+02	3.878e+01	-2.403e+00	1.061e+02
7.400e+03	-1.416e+00	-3.555e+00	1.308e+01	4.686e+02	3.694e+02	4.945e+02	4.476e+01	-2.403e+00	1.061e+02
7.500e+03	-1.416e+00	-3.555e+00	1.308e+01	4.686e+02	3.694e+02	4.945e+02	4.700e+01	-2.403e+00	1.061e+02
7.600e+03	5.294e-01	-3.142e+00	1.308e+01	4.686e+02	3.694e+02	4.945e+02	4.700e+01	-2.403e+00	1.118e+02
7.700e+03	5.294e-01	-3.044e+00	1.308e+01	4.686e+02	3.726e+02	4.945e+02	4.700e+01	-2.403e+00	1.118e+02
7.800e+03	5.440e+00	-3.044e+00	1.308e+01	4.686e+02	3.726e+02	4.945e+02	4.700e+01	-2.403e+00	1.118e+02
7.900e+03	5.440e+00	-3.044e+00	1.308e+01	4.694e+02	3.726e+02	4.945e+02	4.700e+01	-2.403e+00	1.118e+02
8.000e+03	5.440e+00	-3.044e+00	1.308e+01	4.714e+02	3.726e+02	4.945e+02	4.700e+01	-2.403e+00	1.150e+02
