x	y	progress.rate.q.0.05.0.00.quality.avgLastBoolScore	progress.rate.q.0.05.0.10.quality.avgLastBoolScore	progress.rate.q.0.05.0.25.quality.avgLastBoolScore	progress.rate.q.0.05.0.50.quality.avgLastBoolScore	progress.rate.q.0.05.1.00.quality.avgLastBoolScore
3	0	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00
3	1	nan	nan	4.500e-01	1.000e+00	1.000e+00
3	2	nan	nan	5.000e-01	5.000e-01	1.000e+00
3	3	nan	5.000e-02	5.000e-01	5.000e-01	5.000e-01
3	4	nan	4.500e-01	5.000e-01	1.000e+00	1.000e+00
3	5	nan	0.000e+00	1.000e+00	1.000e+00	1.000e+00
3	6	nan	nan	nan	9.500e-01	9.500e-01
3	7	nan	nan	4.000e-01	4.000e-01	9.500e-01
3	8	4.000e-01	4.500e-01	9.500e-01	9.500e-01	1.000e+00
3	9	-2.000e-01	5.500e-01	8.500e-01	9.000e-01	9.500e-01
4	0	nan	5.000e-01	1.000e+00	1.000e+00	1.000e+00
4	1	nan	nan	nan	1.000e+00	1.000e+00
4	2	nan	nan	nan	1.000e+00	1.000e+00
4	3	nan	nan	nan	5.000e-02	5.000e-01
4	4	nan	0.000e+00	5.000e-02	1.000e+00	1.000e+00
4	5	nan	5.000e-02	5.000e-02	9.000e-01	1.000e+00
4	6	nan	5.000e-02	5.000e-02	9.500e-01	9.500e-01
4	7	nan	3.500e-01	4.500e-01	9.000e-01	9.000e-01
4	8	nan	4.500e-01	9.500e-01	9.500e-01	1.000e+00
4	9	3.000e-01	7.500e-01	8.500e-01	9.000e-01	9.500e-01
5	0	nan	5.000e-01	1.000e+00	1.000e+00	1.000e+00
5	1	nan	nan	4.500e-01	1.000e+00	1.000e+00
5	2	nan	nan	nan	nan	1.000e+00
5	3	nan	nan	5.000e-01	5.000e-01	1.000e+00
5	4	nan	nan	nan	1.000e+00	1.000e+00
5	5	nan	nan	9.500e-01	9.500e-01	1.000e+00
5	6	nan	nan	9.500e-01	9.500e-01	9.500e-01
5	7	nan	4.000e-01	4.000e-01	8.000e-01	9.500e-01
5	8	nan	4.000e-01	9.500e-01	9.500e-01	9.500e-01
5	9	-2.000e-01	6.000e-01	9.000e-01	9.500e-01	9.500e-01
6	0	5.000e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00
6	1	nan	nan	nan	1.000e+00	1.000e+00
6	2	nan	nan	5.000e-02	1.000e+00	1.000e+00
6	3	nan	nan	6.000e-01	6.000e-01	6.000e-01
6	4	nan	nan	9.500e-01	9.500e-01	1.000e+00
6	5	nan	nan	9.500e-01	9.500e-01	1.000e+00
6	6	nan	nan	9.500e-01	9.500e-01	9.500e-01
6	7	nan	nan	3.000e-01	9.500e-01	9.500e-01
6	8	nan	1.000e-01	9.500e-01	9.500e-01	9.500e-01
6	9	nan	6.500e-01	9.000e-01	9.000e-01	9.500e-01
7	0	nan	5.000e-01	1.000e+00	1.000e+00	1.000e+00
7	1	nan	nan	nan	1.000e+00	1.000e+00
7	2	nan	nan	nan	nan	1.000e+00
7	3	nan	nan	nan	nan	9.500e-01
7	4	nan	nan	8.500e-01	1.000e+00	1.000e+00
7	5	nan	nan	9.500e-01	9.500e-01	1.000e+00
7	6	nan	nan	9.500e-01	9.500e-01	9.500e-01
7	7	nan	4.000e-01	4.500e-01	9.500e-01	9.500e-01
7	8	nan	4.500e-01	9.500e-01	1.000e+00	1.000e+00
7	9	nan	4.000e-01	9.000e-01	9.000e-01	9.500e-01
8	0	4.000e-01	5.500e-01	1.000e+00	1.000e+00	1.000e+00
8	1	nan	nan	nan	1.000e+00	1.000e+00
8	2	nan	nan	5.000e-01	1.000e+00	1.000e+00
8	3	nan	nan	nan	nan	5.000e-01
8	4	nan	nan	4.500e-01	9.500e-01	1.000e+00
8	5	nan	nan	4.500e-01	1.000e+00	1.000e+00
8	6	nan	nan	nan	nan	9.500e-01
8	7	nan	nan	nan	9.500e-01	9.500e-01
8	8	nan	4.500e-01	9.500e-01	9.500e-01	1.000e+00
8	9	nan	5.500e-01	8.500e-01	9.500e-01	9.500e-01
9	0	4.500e-01	1.000e+00	1.000e+00	1.000e+00	1.000e+00
9	1	nan	nan	1.000e+00	1.000e+00	1.000e+00
9	2	nan	nan	nan	1.000e+00	1.000e+00
9	3	nan	nan	nan	8.500e-01	9.500e-01
9	4	nan	4.500e-01	9.500e-01	1.000e+00	1.000e+00
9	5	nan	4.000e-01	9.000e-01	9.500e-01	1.000e+00
9	6	nan	nan	9.500e-01	9.500e-01	1.000e+00
9	7	nan	4.000e-01	8.000e-01	9.000e-01	9.500e-01
9	8	nan	4.500e-01	9.500e-01	9.500e-01	1.000e+00
9	9	nan	8.500e-01	9.500e-01	9.500e-01	9.500e-01
