n.evals.q.1.0.	mopm._.me.hebbian.network.best.quality.increase	mopm._.me.hebbian.network.best.quality.increase.min	mopm._.me.hebbian.network.best.quality.increase.max	mopm._.me.hebbian.synapse.best.quality.increase	mopm._.me.hebbian.synapse.best.quality.increase.min	mopm._.me.hebbian.synapse.best.quality.increase.max	mopm._.me.freeForm.best.quality.increase	mopm._.me.freeForm.best.quality.increase.min	mopm._.me.freeForm.best.quality.increase.max
4.300e+03	2.937e-01	2.502e-01	3.125e-01	2.050e-01	1.761e-01	2.528e-01	6.772e-02	2.348e-02	2.483e-01
4.400e+03	2.937e-01	2.502e-01	3.125e-01	2.081e-01	1.761e-01	2.528e-01	6.658e-02	2.348e-02	2.483e-01
4.500e+03	2.937e-01	2.502e-01	3.125e-01	2.155e-01	1.761e-01	2.528e-01	6.658e-02	2.348e-02	1.848e-01
4.600e+03	2.937e-01	2.502e-01	3.125e-01	2.155e-01	1.761e-01	2.421e-01	6.658e-02	2.348e-02	1.848e-01
4.700e+03	2.903e-01	2.502e-01	3.108e-01	2.354e-01	1.761e-01	2.461e-01	6.658e-02	2.348e-02	1.848e-01
4.800e+03	2.937e-01	2.502e-01	3.108e-01	2.354e-01	1.761e-01	2.461e-01	6.863e-02	2.372e-02	1.982e-01
4.900e+03	2.937e-01	2.502e-01	3.108e-01	2.169e-01	1.761e-01	2.528e-01	7.826e-02	2.475e-02	2.263e-01
5.000e+03	2.937e-01	2.502e-01	3.108e-01	2.104e-01	1.738e-01	2.528e-01	6.863e-02	2.475e-02	1.982e-01
5.100e+03	2.937e-01	2.502e-01	3.108e-01	2.024e-01	1.738e-01	2.528e-01	6.863e-02	2.475e-02	1.982e-01
5.200e+03	2.937e-01	2.502e-01	3.108e-01	2.022e-01	1.693e-01	2.528e-01	6.863e-02	2.475e-02	1.982e-01
5.300e+03	2.937e-01	2.502e-01	3.108e-01	1.907e-01	1.693e-01	2.528e-01	6.658e-02	2.372e-02	1.982e-01
5.400e+03	2.937e-01	2.534e-01	3.122e-01	1.918e-01	1.693e-01	2.528e-01	6.658e-02	2.372e-02	2.263e-01
5.500e+03	2.903e-01	2.504e-01	3.108e-01	1.918e-01	1.693e-01	2.528e-01	5.318e-02	1.897e-02	1.848e-01
