n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
3.900e+03	1.700e-01	6.632e-02	2.921e-01	5.565e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.000e+03	1.700e-01	6.632e-02	2.921e-01	5.565e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.100e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.200e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	2.400e-07	1.000e+00
4.300e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	6.491e-13	1.000e+00
4.400e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	6.491e-13	1.000e+00
4.500e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	6.491e-13	1.000e+00
4.600e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	6.491e-13	1.000e+00
4.700e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.371e-01	5.000e-01	6.491e-13	1.000e+00
4.800e+03	1.700e-01	6.632e-02	2.921e-01	4.718e-01	2.105e-01	7.290e-01	5.000e-01	6.491e-13	1.000e+00
4.900e+03	1.700e-01	6.632e-02	2.921e-01	4.767e-01	2.105e-01	7.290e-01	5.000e-01	6.491e-13	1.000e+00
5.000e+03	1.700e-01	6.632e-02	2.921e-01	4.718e-01	2.105e-01	7.290e-01	5.000e-01	6.491e-13	1.000e+00
5.100e+03	1.700e-01	6.632e-02	2.921e-01	4.351e-01	1.316e-01	7.290e-01	5.000e-01	6.491e-13	1.000e+00
5.200e+03	1.700e-01	6.632e-02	2.921e-01	4.351e-01	1.316e-01	7.290e-01	5.000e-01	6.491e-13	1.000e+00
5.300e+03	1.700e-01	6.632e-02	2.921e-01	4.351e-01	1.316e-01	7.290e-01	5.000e-01	2.400e-07	1.000e+00
5.400e+03	1.700e-01	6.632e-02	2.921e-01	4.351e-01	1.316e-01	7.290e-01	5.000e-01	2.400e-07	1.000e+00
5.500e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.545e-01	5.000e-01	2.400e-07	1.000e+00
5.600e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.090e-01	6.545e-01	5.000e-01	2.400e-07	1.000e+00
5.700e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.545e-01	5.000e-01	2.400e-07	1.000e+00
5.800e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.545e-01	5.000e-01	5.495e-03	1.000e+00
5.900e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.087e-01	6.545e-01	5.000e-01	5.495e-03	1.000e+00
6.000e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.087e-01	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.100e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.200e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.417e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.300e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.400e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.090e-01	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.500e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.090e-01	6.709e-01	5.000e-01	8.624e-02	1.000e+00
6.600e+03	1.700e-01	6.632e-02	2.921e-01	4.262e-01	1.417e-02	6.709e-01	5.000e-01	5.495e-03	1.000e+00
6.700e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	5.495e-03	1.000e+00
6.800e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
6.900e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
7.000e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
7.100e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
7.200e+03	1.700e-01	6.632e-02	2.921e-01	4.285e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
7.300e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.417e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
7.400e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
7.500e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
7.600e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
7.700e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
7.800e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
7.900e+03	1.700e-01	6.632e-02	2.921e-01	3.349e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
8.000e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.734e-01	5.000e-01	8.624e-02	1.000e+00
8.100e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.734e-01	5.000e-01	8.624e-02	1.000e+00
8.200e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.734e-01	5.000e-01	8.624e-02	1.000e+00
8.300e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.734e-01	5.000e-01	8.624e-02	1.000e+00
8.400e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.734e-01	5.000e-01	8.624e-02	1.000e+00
8.500e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
8.600e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	8.624e-02	1.000e+00
8.700e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
8.800e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	2.619e-01	1.000e+00
8.900e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
9.000e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
9.100e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	9.809e-01	4.095e-01	1.000e+00
9.200e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
9.300e+03	1.700e-01	6.632e-02	2.921e-01	3.466e-01	1.365e-02	6.709e-01	5.000e-01	1.304e-01	1.000e+00
9.400e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	5.913e-01	5.000e-01	1.304e-01	1.000e+00
9.500e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
9.600e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
9.700e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
9.800e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
9.900e+03	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
1.000e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.304e-01	1.000e+00
1.010e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.020e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.192e-01	1.000e+00
1.030e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.192e-01	1.000e+00
1.040e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.192e-01	1.000e+00
1.050e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	5.000e-01	1.192e-01	1.000e+00
1.060e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.070e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.080e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.090e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.417e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.100e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.110e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.120e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	8.679e-01	1.304e-01	1.000e+00
1.130e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.140e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.150e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.160e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.365e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.170e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.365e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.180e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.190e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.200e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.210e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.220e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.230e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	6.315e-01	9.809e-01	1.304e-01	1.000e+00
1.240e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	1.304e-01	1.000e+00
1.250e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	1.304e-01	1.000e+00
1.260e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	1.304e-01	1.000e+00
1.270e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	1.304e-01	1.000e+00
1.280e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	5.000e-01	1.000e+00
1.290e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.975e-01	1.304e-01	1.000e+00
1.300e+04	1.700e-01	6.632e-02	2.921e-01	2.157e-01	1.271e-02	5.913e-01	9.809e-01	2.015e-02	1.000e+00
1.310e+04	1.700e-01	6.632e-02	2.921e-01	2.558e-01	1.271e-02	5.913e-01	9.809e-01	2.015e-02	1.000e+00
1.320e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.271e-02	5.913e-01	9.975e-01	2.015e-02	1.000e+00
1.330e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.271e-02	5.913e-01	9.975e-01	2.015e-02	1.000e+00
1.340e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.271e-02	5.913e-01	9.975e-01	1.614e-09	1.000e+00
1.350e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.271e-02	5.913e-01	9.975e-01	1.614e-09	1.000e+00
1.360e+04	1.700e-01	6.632e-02	2.921e-01	3.341e-01	1.271e-02	5.913e-01	9.975e-01	1.614e-09	1.000e+00
