problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;1;[8, 8, 8];1;100;100;1.55100e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;7.54560e+01;1.02238e+01;6.66242e+01
train;mlp;1;[8, 8, 8];2;200;200;2.81300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;7.54560e+01;1.02238e+01;6.66242e+01
train;mlp;1;[8, 8, 8];3;300;300;4.04500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;7.54560e+01;1.02238e+01;6.66242e+01
train;mlp;1;[8, 8, 8];4;400;400;5.27000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.24599e+02;-1.60776e+01;1.20244e+02
train;mlp;1;[8, 8, 8];5;500;500;6.58600e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.44541e+02;8.80068e+01;-3.47519e+01
train;hebbian+synapse+random;1;[8, 8, 8];1;100;100;1.34500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;3.83242e+01;-1.49235e+00;3.98072e+01
train;hebbian+synapse+random;1;[8, 8, 8];2;200;200;2.47500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;3.83242e+01;-1.49235e+00;3.98072e+01
train;hebbian+synapse+random;1;[8, 8, 8];3;300;300;3.77000e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;3.83242e+01;-1.49235e+00;3.98072e+01
train;hebbian+synapse+random;1;[8, 8, 8];4;400;400;5.01400e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;1.14146e+02;-7.86942e-01;1.15269e+02
train;hebbian+synapse+random;1;[8, 8, 8];5;500;500;6.29300e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;936;1.20128e+02;-1.24370e+00;1.21658e+02
train;hebbian+network+random;1;[8, 8, 8];1;100;100;1.21100e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.57705e+01;1.33778e+01;5.72787e+00
train;hebbian+network+random;1;[8, 8, 8];2;200;200;2.57700e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.57705e+01;1.33778e+01;5.72787e+00
train;hebbian+network+random;1;[8, 8, 8];3;300;300;3.86700e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.57705e+01;1.33778e+01;5.72787e+00
train;hebbian+network+random;1;[8, 8, 8];4;400;400;5.25500e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.57705e+01;1.33778e+01;5.72787e+00
train;hebbian+network+random;1;[8, 8, 8];5;500;500;6.55800e+00;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.57705e+01;1.33778e+01;5.72787e+00
train;freeForm+random;1;[8, 8, 8];1;100;100;2.48720e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;27;1.37514e+02;-3.01180e+01;1.40238e+02
train;freeForm+random;1;[8, 8, 8];2;200;200;5.45110e+01;100;1;69;1.00000e+00;1.00000e+00;1.00000e+00;27;1.37514e+02;-3.01180e+01;1.40238e+02
train;freeForm+random;1;[8, 8, 8];3;300;300;7.92300e+01;100;1;37;1.00000e+00;1.00000e+00;1.00000e+00;27;1.37514e+02;-3.01180e+01;1.40238e+02
train;freeForm+random;1;[8, 8, 8];4;400;400;1.03513e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;27;1.37514e+02;-3.01180e+01;1.40238e+02
train;freeForm+random;1;[8, 8, 8];5;500;500;1.27687e+02;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;27;1.37514e+02;-3.01180e+01;1.40238e+02
