problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→avgLastBoolScore;best→quality→increase;best→quality→consistency
seqXorProblem;me-hebbian-synapse;1;[2];50;5000;5000;4.57000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;me-hebbian-synapse;2;[2];50;5000;5000;2.52000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;5.55112e-17
seqXorProblem;me-hebbian-synapse;3;[2];50;5000;5000;2.03000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;36;1.00000e-01;0.00000e+00;2.22045e-16
bi-xor;me-hebbian-synapse;1;[2];50;5000;5000;3.18000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;0.00000e+00
bi-xor;me-hebbian-synapse;2;[2];50;5000;5000;2.10000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;0.00000e+00
bi-xor;me-hebbian-synapse;3;[2];50;5000;5000;2.10000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;48;1.00000e-01;0.00000e+00;1.11022e-16
seqXorProblem;me-hebbian-network;1;[2];50;5000;5000;1.94000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;me-hebbian-network;2;[2];50;5000;5000;2.08000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;0.00000e+00
seqXorProblem;me-hebbian-network;3;[2];50;5000;5000;2.03000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;0.00000e+00
bi-xor;me-hebbian-network;1;[2];50;5000;5000;2.71000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;1.00000e-01;0.00000e+00;8.67362e-19
bi-xor;me-hebbian-network;2;[2];50;5000;5000;2.93000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;0.00000e+00;0.00000e+00;0.00000e+00
bi-xor;me-hebbian-network;3;[2];50;5000;5000;2.65000e-01;1;1;1;1.00000e+00;1.00000e+00;1.00000e+00;4;0.00000e+00;0.00000e+00;0.00000e+00
seqXorProblem;me-freeForm;1;[2];50;5000;5000;1.28020e+01;75;2;1;1.00000e+00;1.00000e+00;1.00000e+00;29;1.00000e+00;5.78186e-01;3.10774e-02
seqXorProblem;me-freeForm;2;[2];50;5000;5000;1.29850e+01;83;24;1;9.87952e-01;1.00000e+00;1.00000e+00;39;7.50000e-01;1.86732e-02;1.88695e-01
seqXorProblem;me-freeForm;3;[2];50;5000;5000;1.88370e+01;95;22;1;1.00000e+00;1.00000e+00;1.00000e+00;59;1.00000e+00;1.22904e-01;5.55112e-17
bi-xor;me-freeForm;1;[2];50;5000;5000;2.99290e+01;93;17;1;1.00000e+00;1.00000e+00;1.00000e+00;246;7.00000e-01;8.95847e-02;1.90963e-02
bi-xor;me-freeForm;2;[2];50;5000;5000;1.69760e+01;78;2;1;1.00000e+00;1.00000e+00;1.00000e+00;67;7.50000e-01;6.83069e-01;1.23111e-01
bi-xor;me-freeForm;3;[2];50;5000;5000;1.03384e+02;96;1;1;9.89583e-01;1.00000e+00;1.00000e+00;1284;9.00000e-01;8.64608e-01;1.88693e-01
