problem.name;solver.name;randomGenerator.seed;numberOfInnerLayers→replace.all;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→genotype→size;best→quality→final;best→quality→increase;best→quality→consistency
train;mlp;5;[8, 8, 8];4;700;400;4.04890e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.01313e+02;-3.69402e+00;6.10072e+01
train;mlp;9;[8, 8, 8];4;700;400;4.19350e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;8.42488e+01;-8.16346e+00;1.08065e+01
train;mlp;4;[8, 8, 8];4;700;400;4.29700e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.05327e+02;1.13171e+00;-1.34046e+00
train;mlp;6;[8, 8, 8];4;700;400;4.41070e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;5.91434e+01;-2.76998e-01;6.23463e+00
train;mlp;2;[8, 8, 8];4;700;400;4.46880e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;8.49366e+01;1.44406e+01;6.03712e+00
train;mlp;8;[8, 8, 8];4;700;400;4.63130e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.32498e+02;2.61957e+00;1.24021e+02
train;mlp;10;[8, 8, 8];5;900;500;4.76000e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.60035e+02;-7.59178e-01;6.04309e+01
train;mlp;1;[8, 8, 8];5;900;500;4.87050e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.39114e+02;-4.33182e+00;5.88270e+01
train;mlp;7;[8, 8, 8];5;900;500;4.97650e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.50678e+02;5.57569e+01;-1.00641e+00
train;mlp;3;[8, 8, 8];5;900;500;5.12500e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;234;1.19410e+02;4.14642e+00;-1.59581e+01
