n.evals.q.1.0.	train.8.8.8.mlp.best.quality.consistency	train.8.8.8.mlp.best.quality.consistency.min	train.8.8.8.mlp.best.quality.consistency.max	train.8.8.8.hebbian.synapse.random.best.quality.consistency	train.8.8.8.hebbian.synapse.random.best.quality.consistency.min	train.8.8.8.hebbian.synapse.random.best.quality.consistency.max	train.8.8.8.hebbian.network.random.best.quality.consistency	train.8.8.8.hebbian.network.random.best.quality.consistency.min	train.8.8.8.hebbian.network.random.best.quality.consistency.max	train.8.8.8.freeForm.random.best.quality.consistency	train.8.8.8.freeForm.random.best.quality.consistency.min	train.8.8.8.freeForm.random.best.quality.consistency.max
6.300e+03	8.828e+01	1.728e+01	1.012e+02	1.314e+02	3.901e+01	1.360e+02	9.890e+01	7.245e+01	1.154e+02	6.834e+01	7.254e+00	1.378e+02
6.500e+03	1.023e+02	5.815e+01	1.258e+02	8.975e+01	1.722e+01	1.330e+02	8.682e+01	6.599e+01	1.000e+02	3.884e+01	4.249e+00	1.348e+02
6.700e+03	5.245e+01	5.353e+00	1.033e+02	1.275e+02	1.160e+02	1.300e+02	1.061e+02	7.856e+01	1.178e+02	4.329e+01	7.813e+00	1.040e+02
6.900e+03	6.999e+01	2.168e+01	1.046e+02	1.173e+02	1.078e+02	1.353e+02	1.152e+02	9.107e+01	1.210e+02	5.743e+01	1.923e+01	1.378e+02
7.100e+03	7.074e+01	1.722e+01	9.396e+01	1.322e+02	1.253e+02	1.330e+02	9.333e+01	5.121e+01	1.172e+02	4.742e+01	7.286e+00	1.080e+02
7.300e+03	4.866e+01	-1.006e+00	1.136e+02	1.269e+02	5.903e+01	1.366e+02	8.216e+01	5.525e+01	1.016e+02	1.030e+02	2.480e-01	1.367e+02
7.500e+03	9.026e+01	-5.249e+00	1.474e+02	1.303e+02	1.132e+02	1.342e+02	7.440e+01	6.662e+01	9.794e+01	5.402e+01	3.710e+00	1.369e+02
7.700e+03	4.764e+01	4.128e+00	7.425e+01	1.380e+02	1.109e+02	2.248e+02	1.088e+02	8.286e+01	1.303e+02	1.667e+01	2.245e+00	1.365e+02
7.900e+03	7.629e+01	9.714e+00	9.352e+01	1.186e+02	1.464e+01	1.351e+02	8.097e+01	6.646e+01	1.041e+02	4.648e+01	2.754e+00	1.346e+02
8.100e+03	8.077e+01	3.324e+00	1.155e+02	1.259e+02	4.026e+00	1.332e+02	1.041e+02	8.769e+01	1.299e+02	3.424e+01	6.746e+00	1.378e+02
8.300e+03	1.043e+02	8.950e+01	1.265e+02	1.218e+02	1.025e+02	1.322e+02	1.073e+02	6.637e+01	1.215e+02	5.312e+01	7.488e+00	1.361e+02
8.500e+03	9.516e+01	2.151e+01	1.148e+02	1.190e+02	1.076e+02	1.263e+02	1.139e+02	8.986e+01	1.170e+02	1.155e+02	1.137e+01	1.352e+02
8.700e+03	8.875e+01	6.983e+01	1.275e+02	1.248e+02	4.666e+01	1.396e+02	1.033e+02	6.758e+01	1.145e+02	4.880e+01	9.805e+00	1.378e+02
