n.evals.q.1.0.	train.8.8.8.mlp.best.quality.final	train.8.8.8.mlp.best.quality.final.min	train.8.8.8.mlp.best.quality.final.max	train.8.8.8.hebbian.synapse.random.best.quality.final	train.8.8.8.hebbian.synapse.random.best.quality.final.min	train.8.8.8.hebbian.synapse.random.best.quality.final.max	train.8.8.8.hebbian.network.random.best.quality.final	train.8.8.8.hebbian.network.random.best.quality.final.min	train.8.8.8.hebbian.network.random.best.quality.final.max	train.8.8.8.freeForm.random.best.quality.final	train.8.8.8.freeForm.random.best.quality.final.min	train.8.8.8.freeForm.random.best.quality.final.max
2.100e+03	1.865e+02	1.324e+02	2.002e+02	1.231e+02	1.195e+02	1.283e+02	5.954e+01	2.352e+01	6.466e+01	3.890e+01	2.092e+01	1.323e+02
2.300e+03	1.788e+02	1.557e+02	2.010e+02	1.220e+02	5.071e+01	1.289e+02	7.350e+01	4.597e+01	1.204e+02	3.198e+01	3.454e+00	1.131e+02
2.500e+03	1.675e+02	1.361e+02	1.955e+02	1.255e+02	7.127e+01	1.308e+02	7.070e+01	5.065e+01	7.657e+01	4.502e+01	2.155e+01	1.129e+02
2.700e+03	1.466e+02	1.330e+02	1.855e+02	1.310e+02	8.838e+01	1.325e+02	9.088e+01	6.752e+01	1.000e+02	4.556e+01	2.062e+01	1.342e+02
2.900e+03	1.815e+02	1.544e+02	1.946e+02	1.292e+02	1.211e+02	1.313e+02	9.017e+01	3.774e+01	1.116e+02	1.122e+02	1.628e+01	1.340e+02
3.100e+03	1.775e+02	1.656e+02	2.303e+02	1.243e+02	1.179e+02	1.299e+02	8.931e+01	8.145e+01	1.227e+02	1.143e+02	1.075e+01	1.339e+02
3.300e+03	2.076e+02	1.645e+02	2.383e+02	1.233e+02	1.111e+02	1.290e+02	7.596e+01	7.226e+01	8.674e+01	6.529e+01	2.675e+01	1.359e+02
3.500e+03	2.123e+02	1.986e+02	2.255e+02	1.176e+02	1.105e+02	1.330e+02	8.682e+01	7.372e+01	1.087e+02	7.133e+01	1.158e+01	1.205e+02
3.700e+03	1.969e+02	1.559e+02	2.143e+02	1.212e+02	1.013e+02	1.330e+02	8.131e+01	5.845e+01	9.225e+01	6.556e+01	3.360e+01	1.210e+02
3.900e+03	2.054e+02	1.726e+02	2.295e+02	1.298e+02	1.180e+02	1.336e+02	1.048e+02	9.074e+01	1.117e+02	1.130e+02	2.099e+01	1.343e+02
4.100e+03	2.096e+02	2.017e+02	2.317e+02	1.330e+02	1.248e+02	1.363e+02	9.639e+01	8.254e+01	1.112e+02	1.188e+02	3.950e+01	1.340e+02
4.300e+03	2.008e+02	1.575e+02	2.253e+02	1.298e+02	1.265e+02	1.333e+02	1.074e+02	8.852e+01	1.220e+02	1.213e+02	1.990e+01	1.344e+02
4.500e+03	2.235e+02	1.960e+02	2.266e+02	1.228e+02	9.055e+01	1.268e+02	9.864e+01	7.253e+01	1.200e+02	1.238e+02	2.872e+01	1.351e+02
4.700e+03	2.261e+02	1.863e+02	2.419e+02	1.333e+02	1.310e+02	1.375e+02	1.021e+02	8.971e+01	1.110e+02	5.739e+01	9.671e+00	1.340e+02
4.900e+03	2.263e+02	1.981e+02	2.473e+02	1.284e+02	5.585e+01	1.298e+02	1.027e+02	6.169e+01	1.047e+02	1.342e+02	3.877e+01	1.380e+02
5.100e+03	2.314e+02	1.995e+02	2.480e+02	1.312e+02	1.004e+02	1.344e+02	1.124e+02	8.828e+01	1.236e+02	7.195e+01	9.882e+00	1.342e+02
5.300e+03	2.251e+02	1.861e+02	2.329e+02	1.314e+02	1.190e+02	1.342e+02	1.194e+02	9.497e+01	1.339e+02	1.069e+02	9.772e+00	1.342e+02
