n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.consistency	2d.nav._.hebbian.network.best.quality.consistency.min	2d.nav._.hebbian.network.best.quality.consistency.max	2d.nav._.hebbian.synapse.best.quality.consistency	2d.nav._.hebbian.synapse.best.quality.consistency.min	2d.nav._.hebbian.synapse.best.quality.consistency.max	2d.nav._.freeForm.best.quality.consistency	2d.nav._.freeForm.best.quality.consistency.min	2d.nav._.freeForm.best.quality.consistency.max
4.300e+03	6.360e-01	1.800e-07	4.678e+00	2.068e+01	1.501e+00	1.109e+02	0.000e+00	0.000e+00	4.677e+00
4.400e+03	6.360e-01	1.800e-07	4.896e+00	1.403e+01	7.546e-01	1.189e+02	0.000e+00	0.000e+00	9.331e+00
4.500e+03	6.360e-01	1.800e-07	4.896e+00	1.157e+01	7.546e-01	1.189e+02	0.000e+00	0.000e+00	1.550e+01
4.600e+03	6.360e-01	1.800e-07	4.896e+00	1.231e+01	7.546e-01	1.189e+02	0.000e+00	0.000e+00	1.550e+01
4.700e+03	6.360e-01	1.800e-07	4.896e+00	1.231e+01	8.128e-01	1.490e+02	0.000e+00	0.000e+00	1.550e+01
4.800e+03	2.137e+00	1.800e-07	4.896e+00	1.231e+01	8.481e-01	1.490e+02	0.000e+00	0.000e+00	1.550e+01
4.900e+03	2.137e+00	2.508e-07	4.896e+00	1.231e+01	8.128e-01	1.490e+02	0.000e+00	0.000e+00	1.550e+01
5.000e+03	2.137e+00	2.508e-07	4.896e+00	1.231e+01	8.128e-01	1.189e+02	0.000e+00	0.000e+00	1.550e+01
5.100e+03	2.137e+00	2.508e-07	4.896e+00	1.157e+01	7.546e-01	8.051e+01	0.000e+00	0.000e+00	1.550e+01
5.200e+03	2.137e+00	2.508e-07	4.896e+00	7.468e+00	8.128e-01	8.051e+01	0.000e+00	0.000e+00	1.550e+01
5.300e+03	2.137e+00	2.508e-07	4.896e+00	7.468e+00	7.546e-01	8.778e+01	0.000e+00	0.000e+00	1.550e+01
5.400e+03	2.137e+00	2.508e-07	4.896e+00	7.468e+00	7.546e-01	8.778e+01	0.000e+00	0.000e+00	2.149e+01
5.500e+03	2.137e+00	2.508e-07	4.896e+00	8.648e+00	7.546e-01	8.778e+01	0.000e+00	0.000e+00	2.149e+01
5.600e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	7.546e-01	9.130e+01	0.000e+00	0.000e+00	2.149e+01
5.700e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	7.285e-01	9.130e+01	0.000e+00	0.000e+00	2.149e+01
5.800e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	5.358e-01	5.812e+01	0.000e+00	0.000e+00	2.149e+01
5.900e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	6.886e-01	5.812e+01	0.000e+00	0.000e+00	2.149e+01
6.000e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	5.358e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
6.100e+03	2.137e+00	8.035e-05	4.896e+00	1.043e+01	6.886e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
6.200e+03	2.704e+00	2.311e-04	4.896e+00	1.043e+01	6.886e-01	7.181e+01	9.217e-07	0.000e+00	3.178e+01
6.300e+03	2.704e+00	2.311e-04	4.896e+00	1.043e+01	6.886e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
6.400e+03	3.309e+00	8.757e-04	9.841e+00	2.697e+00	4.952e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
6.500e+03	3.309e+00	8.757e-04	9.841e+00	2.459e+00	4.952e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
6.600e+03	3.309e+00	8.757e-04	9.841e+00	2.459e+00	4.952e-01	5.812e+01	9.217e-07	0.000e+00	3.178e+01
