n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
4.300e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	3.173e-01	2.224e-01	3.937e-01
4.400e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	3.173e-01	2.224e-01	3.802e-01
4.500e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.679e-02	3.173e-01	2.224e-01	3.802e-01
4.600e+03	1.131e-02	4.297e-05	1.556e-02	1.417e-02	9.860e-03	1.594e-02	3.058e-01	2.224e-01	3.757e-01
4.700e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	3.058e-01	2.224e-01	3.757e-01
4.800e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	3.009e-01	2.224e-01	3.757e-01
4.900e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	3.009e-01	2.224e-01	3.757e-01
5.000e+03	1.131e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.679e-02	3.009e-01	2.229e-01	3.757e-01
5.100e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	3.009e-01	2.229e-01	3.757e-01
5.200e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	3.058e-01	2.229e-01	3.785e-01
5.300e+03	1.148e-02	4.297e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	3.173e-01	2.229e-01	3.785e-01
5.400e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	1.044e-02	1.688e-02	3.058e-01	2.229e-01	3.757e-01
5.500e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	3.058e-01	2.229e-01	3.757e-01
5.600e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	3.058e-01	2.229e-01	3.757e-01
5.700e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	3.058e-01	2.229e-01	3.757e-01
5.800e+03	1.148e-02	6.728e-05	1.556e-02	1.446e-02	9.860e-03	1.688e-02	3.009e-01	2.229e-01	3.757e-01
5.900e+03	1.148e-02	6.728e-05	1.556e-02	1.417e-02	9.860e-03	1.688e-02	3.009e-01	2.229e-01	3.757e-01
