n.evals.q.1.0.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
8.100e+03	4.000e-01	3.930e-01	4.000e-01	1.000e+00	9.877e-01	1.000e+00	4.000e-01	3.000e-01	7.728e-01
8.300e+03	4.000e-01	3.930e-01	4.000e-01	1.000e+00	9.975e-01	1.000e+00	4.000e-01	2.500e-01	7.969e-01
8.500e+03	4.000e-01	3.930e-01	4.000e-01	1.000e+00	9.998e-01	1.000e+00	4.000e-01	1.750e-01	9.000e-01
8.700e+03	4.000e-01	3.878e-01	4.000e-01	1.000e+00	9.994e-01	1.000e+00	4.500e-01	3.000e-01	8.000e-01
8.900e+03	4.000e-01	3.930e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.000e-01	2.500e-01	8.156e-01
9.100e+03	4.000e-01	3.941e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.000e-01	2.000e-01	7.966e-01
9.300e+03	4.000e-01	3.941e-01	4.000e-01	1.000e+00	9.934e-01	1.000e+00	4.000e-01	2.835e-01	8.500e-01
9.500e+03	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.997e-01	1.000e+00	4.000e-01	2.835e-01	8.156e-01
9.700e+03	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.835e-01	7.250e-01
9.900e+03	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.500e-01	2.835e-01	1.000e+00
1.010e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.997e-01	1.000e+00	4.000e-01	2.504e-01	7.966e-01
1.030e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.985e-01	1.000e+00	4.000e-01	2.000e-01	7.966e-01
1.050e+04	4.000e-01	3.941e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.000e-01	2.500e-01	9.370e-01
1.070e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.997e-01	1.000e+00	4.000e-01	2.835e-01	8.156e-01
1.090e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.657e-01	2.000e-01	9.500e-01
1.110e+04	4.000e-01	3.941e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.000e-01	2.500e-01	9.991e-01
1.130e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.819e-01	2.500e-01	5.000e-01
1.150e+04	4.000e-01	3.941e-01	4.000e-01	1.000e+00	9.998e-01	1.000e+00	3.656e-01	2.000e-01	8.500e-01
1.170e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	3.994e-01	2.835e-01	7.493e-01
1.190e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	3.659e-01	2.500e-01	8.079e-01
1.210e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.998e-01	1.000e+00	4.000e-01	2.835e-01	9.991e-01
1.230e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.998e-01	1.000e+00	3.659e-01	2.500e-01	1.000e+00
1.250e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	3.000e-01	9.997e-01
1.270e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	9.999e-01	1.000e+00	4.000e-01	3.000e-01	9.500e-01
1.290e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.660e-01	2.500e-01	9.329e-01
1.310e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	3.031e-01	1.000e+00
1.330e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.659e-01	2.500e-01	9.990e-01
1.350e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.500e-01	8.500e-01
1.370e+04	4.000e-01	3.930e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.835e-01	9.999e-01
1.390e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	4.000e-01	2.649e-01	9.214e-01
1.410e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.657e-01	2.000e-01	9.500e-01
1.430e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.841e-01	2.500e-01	8.500e-01
1.450e+04	4.000e-01	3.985e-01	4.000e-01	1.000e+00	1.000e+00	1.000e+00	3.657e-01	2.500e-01	9.923e-01
