n.evals.q.1.0.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
7.700e+03	5.000e-01	2.523e-01	5.000e-01	9.899e-01	8.806e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
7.900e+03	5.000e-01	2.523e-01	5.000e-01	9.841e-01	9.239e-01	9.995e-01	5.000e-01	5.000e-01	1.000e+00
8.100e+03	5.000e-01	2.523e-01	5.000e-01	9.970e-01	9.478e-01	9.998e-01	5.000e-01	5.000e-01	1.000e+00
8.300e+03	5.000e-01	2.523e-01	5.000e-01	9.941e-01	9.202e-01	9.994e-01	5.000e-01	5.000e-01	1.000e+00
8.500e+03	5.000e-01	2.509e-01	5.000e-01	9.991e-01	8.886e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.700e+03	5.000e-01	2.509e-01	5.000e-01	9.988e-01	9.183e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
8.900e+03	5.000e-01	2.507e-01	5.000e-01	9.985e-01	9.816e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.100e+03	5.000e-01	2.507e-01	5.000e-01	9.986e-01	9.411e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
9.300e+03	5.000e-01	2.507e-01	5.000e-01	9.928e-01	8.974e-01	9.996e-01	5.000e-01	5.000e-01	1.000e+00
9.500e+03	5.000e-01	2.507e-01	5.000e-01	9.977e-01	9.176e-01	1.000e+00	5.000e-01	5.000e-01	1.000e+00
