n.evals.q.1.0.	xor._.hebbian.network.best.quality.consistency	xor._.hebbian.network.best.quality.consistency.min	xor._.hebbian.network.best.quality.consistency.max	xor._.hebbian.synapse.best.quality.consistency	xor._.hebbian.synapse.best.quality.consistency.min	xor._.hebbian.synapse.best.quality.consistency.max	xor._.freeForm.best.quality.consistency	xor._.freeForm.best.quality.consistency.min	xor._.freeForm.best.quality.consistency.max
8.500e+03	1.228e-09	8.597e-12	1.447e-02	3.350e-04	1.179e-05	5.492e-03	1.656e-01	5.136e-08	4.048e-01
8.700e+03	2.930e-09	0.000e+00	1.512e-02	9.169e-04	1.087e-05	8.960e-03	1.662e-01	5.184e-08	4.048e-01
8.900e+03	2.186e-09	1.830e-12	1.512e-02	7.780e-04	1.839e-05	1.363e-02	1.662e-01	2.981e-07	4.048e-01
9.100e+03	4.207e-08	5.182e-12	1.512e-02	2.939e-04	4.769e-06	6.426e-03	1.662e-01	9.763e-08	4.048e-01
9.300e+03	1.469e-11	0.000e+00	1.512e-02	1.646e-03	7.277e-05	9.541e-03	1.662e-01	3.431e-08	4.048e-01
9.500e+03	5.625e-11	7.912e-13	1.220e-02	3.046e-04	5.648e-06	5.790e-03	1.662e-01	1.039e-06	4.048e-01
9.700e+03	6.589e-11	0.000e+00	1.220e-02	3.097e-04	7.199e-06	1.622e-03	1.662e-01	1.635e-07	4.074e-01
9.900e+03	3.917e-10	6.237e-12	1.220e-02	1.466e-03	8.998e-05	9.229e-03	1.662e-01	9.763e-08	4.074e-01
1.010e+04	2.844e-09	0.000e+00	1.220e-02	8.954e-04	4.621e-05	5.640e-03	1.662e-01	4.739e-08	4.048e-01
1.030e+04	3.945e-08	0.000e+00	1.220e-02	2.761e-04	4.379e-05	5.432e-03	1.662e-01	1.731e-07	4.074e-01
1.050e+04	7.600e-10	3.845e-13	1.220e-02	2.139e-03	1.693e-05	1.363e-02	1.662e-01	4.482e-06	4.048e-01
1.070e+04	2.370e-08	2.238e-16	1.220e-02	5.919e-04	1.522e-05	5.158e-03	2.277e-01	1.635e-07	4.048e-01
1.090e+04	2.279e-10	0.000e+00	1.220e-02	2.923e-04	2.138e-06	1.427e-03	1.662e-01	3.609e-08	4.074e-01
1.110e+04	1.293e-10	0.000e+00	1.394e-02	7.720e-04	1.982e-05	9.524e-03	1.662e-01	9.763e-08	4.048e-01
1.130e+04	8.289e-12	1.963e-17	1.220e-02	2.165e-04	2.480e-06	6.566e-03	1.662e-01	1.213e-06	4.048e-01
1.150e+04	1.194e-10	5.264e-14	1.220e-02	3.544e-05	3.299e-06	3.287e-03	1.662e-01	6.010e-08	4.048e-01
