n.evals.q.1.0.	xor._.hebbian.network.best.quality.avgLastBoolScore	xor._.hebbian.network.best.quality.avgLastBoolScore.min	xor._.hebbian.network.best.quality.avgLastBoolScore.max	xor._.hebbian.synapse.best.quality.avgLastBoolScore	xor._.hebbian.synapse.best.quality.avgLastBoolScore.min	xor._.hebbian.synapse.best.quality.avgLastBoolScore.max	xor._.freeForm.best.quality.avgLastBoolScore	xor._.freeForm.best.quality.avgLastBoolScore.min	xor._.freeForm.best.quality.avgLastBoolScore.max
2.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	6.500e-01	6.000e-01	9.500e-01
2.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	6.500e-01	6.000e-01	1.000e+00
2.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	6.500e-01	6.000e-01	1.000e+00
3.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.000e-01	1.000e+00
3.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
3.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
3.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
3.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
4.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
4.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
4.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
4.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
4.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
5.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
5.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
5.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
5.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
5.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
6.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
6.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
6.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
6.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
6.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
7.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
7.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
7.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
7.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
7.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
8.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
8.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
8.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
8.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
8.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
9.100e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
9.300e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
9.500e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
9.700e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
9.900e+03	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
1.010e+04	4.500e-01	4.500e-01	5.000e-01	1.000e+00	1.000e+00	1.000e+00	7.000e-01	6.500e-01	1.000e+00
