n.evals.q.1.0.	xor._.hebbian.network.best.quality.increase	xor._.hebbian.network.best.quality.increase.min	xor._.hebbian.network.best.quality.increase.max	xor._.hebbian.synapse.best.quality.increase	xor._.hebbian.synapse.best.quality.increase.min	xor._.hebbian.synapse.best.quality.increase.max	xor._.freeForm.best.quality.increase	xor._.freeForm.best.quality.increase.min	xor._.freeForm.best.quality.increase.max
8.500e+03	3.223e-01	3.063e-01	3.607e-01	9.341e-01	8.310e-01	9.979e-01	5.943e-01	3.250e-01	8.120e-01
8.700e+03	3.185e-01	3.032e-01	3.570e-01	9.519e-01	8.693e-01	1.003e+00	5.976e-01	3.250e-01	8.028e-01
8.900e+03	3.131e-01	2.814e-01	3.398e-01	9.451e-01	8.758e-01	9.835e-01	4.237e-01	3.157e-01	6.265e-01
9.100e+03	3.286e-01	3.094e-01	3.782e-01	9.531e-01	8.809e-01	9.949e-01	5.069e-01	2.983e-01	6.382e-01
9.300e+03	3.078e-01	2.831e-01	3.178e-01	9.595e-01	8.617e-01	9.810e-01	5.699e-01	2.898e-01	6.693e-01
9.500e+03	3.159e-01	2.975e-01	3.369e-01	9.510e-01	8.954e-01	9.786e-01	5.716e-01	3.250e-01	8.028e-01
9.700e+03	3.158e-01	2.999e-01	3.470e-01	9.593e-01	9.136e-01	9.937e-01	5.750e-01	2.985e-01	8.076e-01
9.900e+03	3.159e-01	2.929e-01	3.640e-01	9.714e-01	9.133e-01	9.983e-01	5.069e-01	2.785e-01	6.382e-01
1.010e+04	3.131e-01	2.779e-01	3.524e-01	9.244e-01	8.776e-01	9.833e-01	5.069e-01	2.205e-01	6.265e-01
1.030e+04	3.131e-01	2.762e-01	3.596e-01	9.582e-01	9.246e-01	1.003e+00	5.069e-01	3.250e-01	7.837e-01
1.050e+04	3.109e-01	2.782e-01	3.381e-01	9.501e-01	9.166e-01	1.002e+00	4.640e-01	3.157e-01	6.265e-01
1.070e+04	3.175e-01	2.982e-01	3.384e-01	9.533e-01	9.220e-01	9.917e-01	4.776e-01	2.684e-01	6.382e-01
1.090e+04	3.171e-01	3.018e-01	3.553e-01	9.768e-01	9.328e-01	9.995e-01	5.069e-01	3.016e-01	7.837e-01
1.110e+04	3.054e-01	2.642e-01	3.159e-01	9.484e-01	9.117e-01	9.963e-01	4.938e-01	2.785e-01	6.265e-01
1.130e+04	3.131e-01	2.800e-01	3.371e-01	9.730e-01	9.109e-01	9.985e-01	4.972e-01	2.785e-01	6.265e-01
1.150e+04	3.120e-01	2.932e-01	3.467e-01	9.699e-01	8.929e-01	9.930e-01	5.069e-01	2.898e-01	6.527e-01
1.170e+04	3.106e-01	2.658e-01	3.249e-01	9.616e-01	8.999e-01	9.884e-01	5.750e-01	3.250e-01	6.457e-01
1.190e+04	3.188e-01	2.956e-01	3.574e-01	9.748e-01	9.183e-01	9.933e-01	5.152e-01	3.157e-01	8.028e-01
1.210e+04	3.131e-01	2.962e-01	3.714e-01	9.550e-01	8.939e-01	9.910e-01	4.640e-01	2.785e-01	6.258e-01
1.230e+04	3.227e-01	2.956e-01	3.619e-01	9.421e-01	9.066e-01	9.972e-01	5.716e-01	3.157e-01	6.849e-01
1.250e+04	3.227e-01	2.963e-01	3.897e-01	9.524e-01	8.925e-01	1.004e+00	3.827e-01	2.517e-01	6.768e-01
1.270e+04	3.066e-01	2.775e-01	3.300e-01	9.748e-01	9.015e-01	9.978e-01	5.152e-01	3.250e-01	6.463e-01
1.290e+04	3.118e-01	2.930e-01	3.470e-01	9.733e-01	8.792e-01	1.006e+00	5.069e-01	2.785e-01	6.896e-01
