n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.100e+03	1.029e-01	4.907e-02	2.033e-01	5.521e-01	3.413e-01	8.559e-01	4.500e-01	2.702e-03	9.997e-01
4.200e+03	1.090e-01	4.712e-02	1.999e-01	4.578e-01	2.904e-01	8.225e-01	2.001e-01	3.914e-03	9.997e-01
4.300e+03	1.118e-01	4.720e-02	2.028e-01	5.048e-01	3.228e-01	7.390e-01	2.325e-01	5.125e-02	9.997e-01
4.400e+03	1.049e-01	4.027e-02	2.453e-01	4.574e-01	3.156e-01	7.061e-01	4.500e-01	8.873e-03	9.997e-01
4.500e+03	1.373e-01	5.055e-02	2.059e-01	4.576e-01	3.127e-01	6.624e-01	3.693e-01	-6.422e-03	7.645e-01
4.600e+03	9.650e-02	3.846e-02	2.196e-01	4.322e-01	3.113e-01	6.720e-01	4.500e-01	4.865e-02	9.320e-01
4.700e+03	1.128e-01	4.975e-02	2.151e-01	4.050e-01	2.767e-01	6.513e-01	1.151e-01	-9.321e-07	7.489e-01
4.800e+03	1.002e-01	3.273e-02	1.997e-01	4.432e-01	2.839e-01	6.563e-01	2.272e-01	2.586e-02	9.167e-01
4.900e+03	9.142e-02	3.328e-02	2.327e-01	4.060e-01	2.821e-01	6.595e-01	2.325e-01	-2.119e-02	7.504e-01
5.000e+03	1.069e-01	4.774e-02	2.135e-01	4.061e-01	2.566e-01	6.451e-01	2.000e-01	1.612e-02	9.974e-01
5.100e+03	1.000e-01	4.938e-02	2.010e-01	4.060e-01	2.786e-01	6.690e-01	4.663e-01	9.908e-02	9.979e-01
5.200e+03	1.015e-01	3.993e-02	1.946e-01	4.083e-01	2.709e-01	6.655e-01	2.001e-01	-4.325e-06	9.841e-01
5.300e+03	9.685e-02	3.401e-02	2.123e-01	3.963e-01	2.522e-01	7.283e-01	2.500e-01	9.908e-02	7.706e-01
5.400e+03	9.515e-02	3.574e-02	1.926e-01	4.089e-01	2.695e-01	7.552e-01	2.325e-01	5.000e-02	8.163e-01
5.500e+03	1.092e-01	4.522e-02	2.165e-01	4.153e-01	2.545e-01	7.445e-01	3.283e-01	5.000e-02	7.504e-01
5.600e+03	1.030e-01	4.416e-02	2.068e-01	3.717e-01	9.709e-02	6.713e-01	2.760e-01	1.894e-02	7.504e-01
5.700e+03	1.066e-01	4.630e-02	2.227e-01	3.890e-01	2.263e-01	6.121e-01	3.458e-01	-3.958e-03	9.997e-01
5.800e+03	9.797e-02	2.871e-02	2.100e-01	3.751e-01	9.174e-02	6.166e-01	3.693e-01	2.184e-02	9.997e-01
5.900e+03	1.098e-01	4.906e-02	2.091e-01	3.977e-01	2.533e-01	6.064e-01	5.029e-01	9.998e-02	8.172e-01
6.000e+03	1.039e-01	4.713e-02	2.142e-01	3.714e-01	1.945e-01	6.087e-01	2.272e-01	1.406e-02	9.191e-01
6.100e+03	1.000e-01	3.285e-02	2.064e-01	3.806e-01	1.859e-01	5.930e-01	2.325e-01	2.331e-03	9.732e-01
6.200e+03	1.041e-01	4.017e-02	1.960e-01	3.896e-01	2.006e-01	6.851e-01	5.029e-01	9.998e-02	9.999e-01
6.300e+03	1.126e-01	4.791e-02	2.122e-01	3.535e-01	1.121e-01	5.522e-01	4.500e-01	9.998e-02	9.997e-01
6.400e+03	1.024e-01	4.300e-02	2.114e-01	3.823e-01	1.121e-01	5.521e-01	4.500e-01	9.908e-02	9.997e-01
6.500e+03	1.104e-01	4.420e-02	2.005e-01	3.653e-01	1.121e-01	5.523e-01	4.009e-01	-1.243e-05	9.997e-01
6.600e+03	1.094e-01	4.947e-02	2.067e-01	3.605e-01	8.074e-02	5.524e-01	3.412e-01	7.523e-03	9.999e-01
6.700e+03	1.029e-01	4.833e-02	2.005e-01	3.613e-01	1.121e-01	5.521e-01	3.361e-01	9.908e-02	9.984e-01
6.800e+03	1.085e-01	4.643e-02	2.057e-01	3.722e-01	1.083e-01	5.522e-01	4.500e-01	4.975e-02	9.997e-01
6.900e+03	1.062e-01	3.199e-02	2.336e-01	3.807e-01	1.121e-01	5.523e-01	3.007e-01	9.908e-02	9.997e-01
7.000e+03	9.347e-02	3.915e-02	1.963e-01	3.381e-01	9.984e-02	6.062e-01	3.412e-01	9.891e-02	1.000e+00
7.100e+03	1.184e-01	4.261e-02	2.060e-01	3.846e-01	1.044e-01	5.519e-01	4.500e-01	9.908e-02	1.000e+00
7.200e+03	1.012e-01	4.474e-02	1.986e-01	3.769e-01	1.120e-01	6.135e-01	1.740e-01	9.908e-02	9.984e-01
7.300e+03	9.697e-02	3.494e-02	1.881e-01	3.740e-01	8.459e-02	6.184e-01	3.875e-01	1.000e-01	1.000e+00
7.400e+03	1.045e-01	3.890e-02	2.082e-01	3.622e-01	8.090e-02	5.521e-01	3.000e-01	8.568e-02	1.000e+00
7.500e+03	9.858e-02	4.451e-02	2.374e-01	3.351e-01	1.050e-01	5.521e-01	1.740e-01	2.898e-04	9.984e-01
7.600e+03	1.028e-01	3.543e-02	2.070e-01	3.810e-01	8.080e-02	5.520e-01	3.505e-01	-1.557e-02	1.000e+00
7.700e+03	9.886e-02	4.354e-02	1.927e-01	3.727e-01	1.508e-01	6.138e-01	2.927e-01	9.347e-03	1.000e+00
7.800e+03	9.561e-02	3.228e-02	2.086e-01	3.680e-01	1.662e-01	5.523e-01	1.619e-01	2.541e-02	9.984e-01
7.900e+03	1.062e-01	4.540e-02	2.338e-01	3.938e-01	1.767e-01	5.522e-01	3.323e-01	9.831e-02	9.984e-01
8.000e+03	9.045e-02	3.447e-02	2.060e-01	3.885e-01	1.767e-01	6.054e-01	1.500e-01	4.469e-02	1.000e+00
8.100e+03	9.023e-02	3.290e-02	2.068e-01	4.086e-01	1.788e-01	6.122e-01	3.980e-01	9.908e-02	1.000e+00
8.200e+03	9.833e-02	4.570e-02	2.285e-01	3.826e-01	1.665e-01	5.523e-01	4.008e-01	9.838e-02	1.000e+00
8.300e+03	9.660e-02	4.385e-02	2.014e-01	3.783e-01	1.612e-01	6.113e-01	5.686e-01	9.998e-02	1.000e+00
8.400e+03	1.021e-01	4.082e-02	2.019e-01	3.839e-01	1.642e-01	5.521e-01	3.151e-01	9.908e-02	1.000e+00
8.500e+03	1.148e-01	4.584e-02	2.153e-01	3.768e-01	1.121e-01	6.086e-01	4.500e-01	9.998e-02	1.000e+00
8.600e+03	1.045e-01	3.116e-02	1.952e-01	3.814e-01	1.120e-01	6.077e-01	7.041e-01	4.894e-02	1.000e+00
8.700e+03	1.142e-01	4.144e-02	2.135e-01	3.461e-01	1.120e-01	5.522e-01	6.500e-01	9.998e-02	1.000e+00
8.800e+03	9.727e-02	3.277e-02	2.010e-01	3.219e-01	8.080e-02	5.521e-01	5.077e-01	9.998e-02	9.998e-01
8.900e+03	1.015e-01	4.135e-02	2.225e-01	3.650e-01	1.120e-01	5.522e-01	5.858e-01	9.998e-02	9.984e-01
9.000e+03	1.105e-01	3.903e-02	2.315e-01	3.135e-01	8.065e-02	5.522e-01	5.000e-01	8.873e-02	9.984e-01
9.100e+03	9.781e-02	4.303e-02	2.005e-01	3.553e-01	1.120e-01	5.522e-01	5.198e-01	1.000e-01	9.984e-01
9.200e+03	1.005e-01	3.434e-02	2.271e-01	3.396e-01	1.121e-01	5.520e-01	5.306e-01	1.000e-01	1.000e+00
9.300e+03	1.041e-01	4.184e-02	2.212e-01	3.202e-01	8.104e-02	5.521e-01	4.000e-01	9.908e-02	1.000e+00
9.400e+03	9.541e-02	3.249e-02	2.024e-01	3.260e-01	8.069e-02	5.524e-01	5.166e-01	9.998e-02	1.000e+00
9.500e+03	9.149e-02	3.523e-02	2.003e-01	3.619e-01	1.121e-01	5.522e-01	4.000e-01	9.998e-02	9.988e-01
9.600e+03	8.862e-02	3.821e-02	2.068e-01	3.128e-01	8.082e-02	5.521e-01	4.672e-01	9.908e-02	1.000e+00
9.700e+03	1.049e-01	4.837e-02	2.011e-01	3.216e-01	8.065e-02	5.522e-01	3.000e-01	8.743e-02	8.722e-01
9.800e+03	1.077e-01	4.193e-02	2.070e-01	3.399e-01	1.120e-01	5.520e-01	4.000e-01	1.428e-02	8.498e-01
9.900e+03	9.607e-02	3.126e-02	2.138e-01	3.125e-01	8.082e-02	5.522e-01	4.000e-01	7.607e-02	9.958e-01
1.000e+04	9.901e-02	3.357e-02	2.064e-01	3.497e-01	1.121e-01	5.521e-01	3.222e-01	1.943e-02	9.895e-01
1.010e+04	1.039e-01	4.803e-02	2.056e-01	3.291e-01	1.121e-01	5.520e-01	3.571e-01	9.908e-02	1.000e+00
1.020e+04	9.689e-02	4.428e-02	1.995e-01	3.453e-01	1.119e-01	5.522e-01	5.114e-01	1.710e-02	9.993e-01
1.030e+04	1.049e-01	3.616e-02	2.112e-01	3.232e-01	1.121e-01	5.522e-01	3.532e-01	9.908e-02	1.000e+00
1.040e+04	1.007e-01	4.628e-02	2.047e-01	3.337e-01	1.121e-01	5.521e-01	4.000e-01	9.908e-02	1.000e+00
1.050e+04	1.146e-01	3.512e-02	2.062e-01	3.282e-01	1.121e-01	5.522e-01	4.672e-01	9.908e-02	1.000e+00
1.060e+04	1.017e-01	4.290e-02	2.084e-01	3.554e-01	8.066e-02	5.522e-01	4.000e-01	9.995e-02	1.000e+00
1.070e+04	9.005e-02	2.749e-02	2.048e-01	3.616e-01	8.077e-02	5.522e-01	5.002e-01	9.908e-02	1.000e+00
1.080e+04	9.430e-02	3.081e-02	1.919e-01	3.390e-01	8.081e-02	5.522e-01	4.000e-01	-7.016e-06	9.968e-01
1.090e+04	9.862e-02	4.493e-02	1.945e-01	3.242e-01	9.154e-02	5.523e-01	4.000e-01	2.060e-02	8.101e-01
1.100e+04	9.789e-02	4.304e-02	2.028e-01	3.145e-01	3.084e-02	5.522e-01	4.000e-01	9.998e-02	9.833e-01
1.110e+04	9.688e-02	4.616e-02	2.187e-01	3.293e-01	6.139e-02	5.519e-01	5.134e-01	7.339e-02	1.000e+00
1.120e+04	1.108e-01	4.056e-02	2.085e-01	3.224e-01	5.360e-02	5.522e-01	5.410e-01	5.369e-03	1.000e+00
1.130e+04	9.011e-02	4.443e-02	2.152e-01	2.858e-01	3.180e-02	5.520e-01	5.678e-01	1.205e-03	1.000e+00
1.140e+04	8.605e-02	3.254e-02	1.935e-01	2.834e-01	1.502e-02	5.522e-01	5.945e-01	8.952e-02	1.000e+00
1.150e+04	1.086e-01	3.387e-02	1.983e-01	3.142e-01	4.884e-02	5.520e-01	4.000e-01	5.550e-06	9.682e-01
1.160e+04	1.005e-01	3.615e-02	2.372e-01	3.144e-01	3.244e-02	5.521e-01	5.252e-01	9.908e-02	9.990e-01
1.170e+04	1.088e-01	4.467e-02	2.043e-01	3.249e-01	3.989e-02	5.522e-01	5.411e-01	9.998e-02	9.990e-01
1.180e+04	9.017e-02	9.695e-03	1.953e-01	3.235e-01	3.998e-02	5.521e-01	6.442e-01	1.000e-01	1.000e+00
1.190e+04	8.867e-02	3.646e-02	1.884e-01	3.311e-01	2.993e-02	5.522e-01	5.327e-01	3.196e-03	1.000e+00
1.200e+04	7.925e-02	3.241e-02	2.031e-01	3.134e-01	2.780e-02	5.521e-01	4.233e-01	2.665e-03	8.849e-01
1.210e+04	1.000e-01	4.438e-02	2.120e-01	3.277e-01	3.117e-02	5.520e-01	3.638e-01	7.154e-03	7.100e-01
1.220e+04	1.002e-01	3.538e-02	2.058e-01	3.083e-01	3.270e-02	5.518e-01	4.053e-01	4.208e-02	8.379e-01
1.230e+04	9.129e-02	3.969e-02	1.930e-01	3.195e-01	3.165e-02	5.522e-01	5.938e-01	1.445e-05	9.748e-01
1.240e+04	1.000e-01	2.770e-02	2.094e-01	3.393e-01	2.866e-02	5.521e-01	5.263e-01	9.854e-02	7.504e-01
1.250e+04	8.246e-02	1.687e-02	2.091e-01	2.849e-01	1.476e-02	5.521e-01	5.216e-01	1.000e-01	9.999e-01
1.260e+04	9.355e-02	4.607e-02	1.977e-01	3.135e-01	4.673e-02	5.521e-01	1.001e-01	-2.059e-02	6.773e-01
1.270e+04	9.463e-02	4.663e-02	1.847e-01	2.761e-01	3.274e-02	5.522e-01	5.329e-01	1.038e-02	7.712e-01
1.280e+04	9.827e-02	3.501e-02	2.051e-01	2.757e-01	1.430e-02	5.520e-01	4.000e-01	9.998e-02	7.124e-01
1.290e+04	1.036e-01	3.038e-02	1.867e-01	3.077e-01	3.305e-02	5.754e-01	5.438e-01	9.908e-02	7.359e-01
1.300e+04	9.219e-02	2.906e-02	1.850e-01	2.866e-01	2.850e-02	5.523e-01	3.964e-01	9.998e-02	7.504e-01
1.310e+04	9.835e-02	3.578e-02	1.803e-01	1.999e-01	1.468e-02	5.039e-01	4.000e-01	9.998e-02	8.697e-01
1.320e+04	9.166e-02	2.576e-02	2.039e-01	2.481e-01	1.687e-02	5.051e-01	2.786e-01	9.908e-02	7.504e-01
1.330e+04	8.870e-02	2.772e-02	1.976e-01	1.940e-01	1.508e-03	5.152e-01	3.957e-01	8.328e-02	9.251e-01
1.340e+04	9.105e-02	1.704e-02	1.598e-01	1.852e-01	1.490e-02	4.959e-01	4.000e-01	9.782e-02	7.147e-01
1.350e+04	8.650e-02	2.526e-02	1.913e-01	2.300e-01	1.386e-02	5.300e-01	2.658e-01	4.632e-02	7.504e-01
1.360e+04	9.225e-02	2.762e-02	1.867e-01	2.055e-01	1.748e-02	5.336e-01	2.915e-01	9.908e-02	7.128e-01
1.370e+04	8.984e-02	2.480e-02	1.911e-01	2.637e-01	1.482e-02	5.107e-01	5.740e-01	9.250e-03	9.003e-01
1.380e+04	8.789e-02	3.168e-02	1.925e-01	2.152e-01	-2.630e-03	4.924e-01	5.054e-01	9.908e-02	7.753e-01
1.390e+04	8.175e-02	3.464e-02	2.050e-01	2.839e-01	3.235e-02	5.522e-01	4.000e-01	9.998e-02	7.653e-01
1.400e+04	8.280e-02	2.713e-02	2.021e-01	2.501e-01	1.460e-02	5.522e-01	5.166e-01	9.908e-02	8.726e-01
1.410e+04	9.291e-02	3.077e-02	2.227e-01	2.812e-01	1.485e-02	5.522e-01	4.773e-01	9.998e-02	8.611e-01
1.420e+04	9.189e-02	3.292e-02	2.090e-01	2.204e-01	1.509e-02	5.522e-01	5.846e-01	1.000e-01	8.182e-01
