n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.sim.sequentialXor.avg.UNLIMITED.max
4.000e+03	1.000e-01	-1.303e-01	2.956e-01	5.926e-01	4.293e-01	7.294e-01	8.750e-01	3.858e-01	1.000e+00
4.100e+03	2.106e-01	-1.287e-01	3.203e-01	5.949e-01	4.394e-01	7.732e-01	5.378e-01	8.328e-02	1.000e+00
4.200e+03	2.300e-01	-1.212e-01	3.263e-01	5.861e-01	4.008e-01	7.076e-01	5.153e-01	1.708e-01	1.000e+00
4.300e+03	2.330e-01	-1.244e-01	3.240e-01	5.756e-01	4.279e-01	7.412e-01	5.153e-01	2.963e-01	9.999e-01
4.400e+03	2.468e-01	-1.285e-01	3.548e-01	6.290e-01	4.925e-01	7.269e-01	8.500e-01	2.839e-01	1.000e+00
4.500e+03	1.395e-01	-1.269e-01	3.245e-01	6.037e-01	4.485e-01	7.662e-01	5.153e-01	1.500e-01	1.000e+00
4.600e+03	2.320e-01	-1.258e-01	3.506e-01	5.613e-01	3.859e-01	7.619e-01	8.049e-01	2.002e-01	1.000e+00
4.700e+03	2.317e-01	-1.268e-01	3.526e-01	5.991e-01	4.292e-01	7.255e-01	8.500e-01	2.002e-01	1.000e+00
4.800e+03	2.524e-01	-1.001e-01	3.791e-01	5.810e-01	4.198e-01	7.169e-01	8.500e-01	2.002e-01	1.000e+00
4.900e+03	2.413e-01	-1.001e-01	3.528e-01	6.074e-01	4.291e-01	7.335e-01	8.905e-01	3.362e-01	1.000e+00
5.000e+03	2.587e-01	-9.283e-04	3.785e-01	5.517e-01	4.158e-01	7.495e-01	8.500e-01	3.980e-01	1.000e+00
5.100e+03	2.366e-01	-1.000e-01	3.540e-01	5.824e-01	3.737e-01	7.279e-01	8.750e-01	2.830e-01	1.000e+00
5.200e+03	2.028e-01	-1.301e-01	3.555e-01	5.887e-01	4.289e-01	7.435e-01	8.750e-01	4.000e-01	1.000e+00
5.300e+03	2.321e-01	-1.256e-01	3.493e-01	5.862e-01	4.101e-01	6.852e-01	8.750e-01	3.983e-01	1.000e+00
5.400e+03	2.162e-01	-1.000e-01	3.543e-01	5.954e-01	4.295e-01	7.540e-01	8.500e-01	2.175e-01	1.000e+00
5.500e+03	1.830e-01	-1.372e-01	3.504e-01	5.385e-01	3.453e-01	7.115e-01	8.500e-01	3.057e-01	1.000e+00
5.600e+03	2.649e-01	6.144e-02	4.000e-01	5.710e-01	4.295e-01	7.064e-01	8.500e-01	2.125e-01	1.000e+00
5.700e+03	1.567e-01	-1.282e-01	3.553e-01	5.286e-01	3.753e-01	7.331e-01	8.500e-01	2.002e-01	1.000e+00
5.800e+03	2.587e-01	-1.221e-01	4.000e-01	5.527e-01	3.637e-01	6.809e-01	8.750e-01	2.342e-01	1.000e+00
5.900e+03	2.586e-01	-2.165e-03	4.000e-01	5.416e-01	3.937e-01	6.945e-01	8.750e-01	3.062e-01	1.000e+00
6.000e+03	1.273e-01	-1.604e-01	3.546e-01	5.260e-01	3.491e-01	7.111e-01	8.998e-01	2.923e-01	1.000e+00
6.100e+03	2.524e-01	-9.993e-02	4.000e-01	5.640e-01	4.295e-01	7.149e-01	8.998e-01	3.841e-01	1.000e+00
6.200e+03	6.457e-02	-1.601e-01	3.220e-01	5.578e-01	3.949e-01	6.814e-01	8.998e-01	3.157e-01	1.000e+00
6.300e+03	2.524e-01	-1.494e-01	4.000e-01	5.578e-01	3.957e-01	7.026e-01	8.750e-01	2.374e-01	1.000e+00
6.400e+03	1.696e-01	-1.501e-01	3.569e-01	5.596e-01	4.125e-01	7.225e-01	9.500e-01	2.846e-01	1.000e+00
6.500e+03	2.374e-01	-1.218e-01	3.787e-01	5.584e-01	3.994e-01	6.694e-01	8.750e-01	4.000e-01	1.000e+00
6.600e+03	6.123e-02	-1.860e-01	3.080e-01	5.165e-01	4.113e-01	6.861e-01	9.500e-01	3.539e-01	1.000e+00
6.700e+03	2.410e-01	-5.019e-02	3.745e-01	5.173e-01	3.935e-01	6.833e-01	8.750e-01	3.536e-01	1.000e+00
6.800e+03	1.642e-01	-1.614e-01	3.596e-01	5.173e-01	3.971e-01	6.868e-01	9.500e-01	3.480e-01	1.000e+00
6.900e+03	2.586e-01	-1.000e-01	4.000e-01	5.171e-01	4.092e-01	6.946e-01	9.500e-01	3.942e-01	1.000e+00
7.000e+03	1.559e-01	-1.500e-01	3.242e-01	5.713e-01	4.219e-01	6.802e-01	9.832e-01	4.437e-01	1.000e+00
7.100e+03	2.524e-01	-2.060e-03	4.000e-01	5.936e-01	4.390e-01	7.001e-01	9.500e-01	3.560e-01	1.000e+00
7.200e+03	2.524e-01	-1.625e-01	3.751e-01	5.401e-01	3.949e-01	7.136e-01	9.500e-01	3.202e-01	1.000e+00
7.300e+03	2.524e-01	-1.273e-01	4.000e-01	5.616e-01	4.246e-01	6.898e-01	8.750e-01	2.002e-01	1.000e+00
7.400e+03	2.586e-01	-5.000e-02	4.000e-01	5.305e-01	3.967e-01	6.472e-01	9.500e-01	3.967e-01	1.000e+00
7.500e+03	2.587e-01	-1.000e-01	4.000e-01	5.173e-01	3.626e-01	6.439e-01	1.000e+00	2.139e-01	1.000e+00
7.600e+03	2.558e-01	-1.251e-01	4.000e-01	5.172e-01	3.720e-01	6.407e-01	9.500e-01	3.204e-01	1.000e+00
7.700e+03	2.649e-01	3.719e-02	4.000e-01	5.357e-01	3.793e-01	6.486e-01	8.998e-01	3.010e-01	1.000e+00
7.800e+03	2.558e-01	-5.000e-02	4.000e-01	5.287e-01	4.057e-01	6.401e-01	1.000e+00	4.038e-01	1.000e+00
7.900e+03	2.417e-01	-1.276e-01	3.539e-01	5.170e-01	4.079e-01	6.456e-01	1.000e+00	3.633e-01	1.000e+00
8.000e+03	2.524e-01	-1.267e-01	3.758e-01	5.447e-01	3.865e-01	6.418e-01	9.500e-01	2.280e-01	1.000e+00
8.100e+03	2.558e-01	-7.436e-05	4.000e-01	5.359e-01	4.159e-01	6.434e-01	9.500e-01	2.307e-01	1.000e+00
8.200e+03	2.524e-01	-1.254e-01	3.786e-01	5.170e-01	3.573e-01	6.544e-01	8.750e-01	2.873e-01	1.000e+00
8.300e+03	2.410e-01	-1.255e-01	3.513e-01	5.267e-01	4.113e-01	6.585e-01	9.500e-01	3.178e-01	1.000e+00
8.400e+03	2.524e-01	-1.605e-01	3.760e-01	5.423e-01	4.133e-01	6.431e-01	9.445e-01	4.500e-01	1.000e+00
8.500e+03	2.587e-01	-4.561e-02	4.000e-01	5.472e-01	4.077e-01	6.435e-01	9.620e-01	3.792e-01	1.000e+00
8.600e+03	2.558e-01	-4.900e-03	4.000e-01	5.434e-01	4.159e-01	6.480e-01	9.500e-01	3.176e-01	1.000e+00
8.700e+03	2.524e-01	-1.583e-01	3.759e-01	5.448e-01	4.194e-01	6.479e-01	9.991e-01	4.500e-01	1.000e+00
8.800e+03	2.558e-01	-1.508e-01	4.000e-01	5.506e-01	4.072e-01	6.448e-01	9.500e-01	2.460e-01	1.000e+00
8.900e+03	2.269e-01	-1.600e-01	3.500e-01	5.279e-01	3.985e-01	6.791e-01	9.500e-01	2.822e-01	1.000e+00
9.000e+03	2.587e-01	-5.000e-02	4.000e-01	5.304e-01	4.038e-01	6.435e-01	9.500e-01	2.069e-01	1.000e+00
9.100e+03	2.586e-01	-1.227e-01	4.000e-01	5.402e-01	3.980e-01	6.669e-01	9.991e-01	3.170e-01	1.000e+00
9.200e+03	2.558e-01	-1.439e-01	4.000e-01	5.447e-01	4.095e-01	6.446e-01	8.750e-01	2.406e-01	1.000e+00
9.300e+03	2.355e-01	-1.723e-01	3.579e-01	5.168e-01	3.777e-01	6.429e-01	9.991e-01	2.002e-01	1.000e+00
9.400e+03	3.069e-01	6.046e-02	4.815e-01	5.353e-01	4.251e-01	6.792e-01	8.750e-01	1.000e-01	1.000e+00
9.500e+03	2.524e-01	-1.284e-01	3.772e-01	5.474e-01	4.065e-01	6.454e-01	9.500e-01	3.010e-01	1.000e+00
9.600e+03	2.524e-01	-1.611e-01	3.783e-01	4.845e-01	3.243e-01	6.404e-01	8.750e-01	2.266e-01	1.000e+00
9.700e+03	2.524e-01	-1.311e-01	3.523e-01	4.825e-01	3.301e-01	6.410e-01	8.750e-01	2.451e-01	1.000e+00
9.800e+03	2.524e-01	-1.276e-01	3.748e-01	4.986e-01	3.286e-01	6.419e-01	9.102e-01	2.002e-01	1.000e+00
9.900e+03	2.524e-01	-1.778e-01	3.754e-01	5.434e-01	4.121e-01	6.454e-01	8.736e-01	2.199e-01	1.000e+00
