n.evals.q.1.0.	xor._.me.hebbian.network.best.quality.consistency	xor._.me.hebbian.network.best.quality.consistency.min	xor._.me.hebbian.network.best.quality.consistency.max	xor._.me.hebbian.synapse.best.quality.consistency	xor._.me.hebbian.synapse.best.quality.consistency.min	xor._.me.hebbian.synapse.best.quality.consistency.max	xor._.me.freeForm.best.quality.consistency	xor._.me.freeForm.best.quality.consistency.min	xor._.me.freeForm.best.quality.consistency.max
4.300e+03	1.473e-02	7.992e-03	1.838e-02	1.458e-02	1.205e-02	1.884e-02	3.948e-07	1.094e-13	3.816e-02
4.400e+03	1.473e-02	7.992e-03	1.838e-02	1.604e-02	1.205e-02	1.897e-02	3.862e-07	1.094e-13	3.421e-03
4.500e+03	1.473e-02	7.992e-03	1.838e-02	1.604e-02	1.205e-02	1.897e-02	3.862e-07	1.094e-13	3.421e-03
4.600e+03	1.473e-02	7.992e-03	1.838e-02	1.714e-02	1.205e-02	1.897e-02	3.862e-07	1.094e-13	3.421e-03
4.700e+03	1.473e-02	7.992e-03	1.838e-02	1.604e-02	1.205e-02	1.884e-02	1.568e-07	3.963e-14	7.375e-05
4.800e+03	1.551e-02	8.494e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	7.375e-05
4.900e+03	1.551e-02	8.494e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.000e+03	1.551e-02	8.494e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.100e+03	1.551e-02	8.494e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.200e+03	1.350e-02	2.110e-03	1.775e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.300e+03	1.350e-02	2.110e-03	1.775e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.400e+03	1.473e-02	7.992e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.500e+03	1.473e-02	2.110e-03	1.838e-02	1.604e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.600e+03	1.473e-02	2.110e-03	1.838e-02	1.604e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.700e+03	1.473e-02	2.110e-03	1.838e-02	1.604e-02	1.220e-02	1.884e-02	1.568e-07	3.963e-14	3.165e-05
5.800e+03	1.473e-02	2.110e-03	1.838e-02	1.604e-02	1.220e-02	1.884e-02	1.328e-07	3.963e-14	1.129e-05
5.900e+03	1.473e-02	7.992e-03	1.838e-02	1.604e-02	1.220e-02	1.884e-02	7.747e-08	1.094e-13	7.556e-07
6.000e+03	1.473e-02	7.992e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	7.747e-08	1.632e-13	7.556e-07
6.100e+03	1.473e-02	7.992e-03	1.838e-02	1.714e-02	1.220e-02	1.884e-02	7.747e-08	1.632e-13	7.556e-07
6.200e+03	1.551e-02	8.494e-03	1.855e-02	1.714e-02	1.220e-02	1.884e-02	7.747e-08	1.632e-13	7.556e-07
6.300e+03	1.473e-02	7.992e-03	1.855e-02	1.714e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	1.129e-05
6.400e+03	1.473e-02	3.484e-03	1.855e-02	1.734e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	1.129e-05
6.500e+03	1.473e-02	3.484e-03	1.855e-02	1.714e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	5.856e-06
6.600e+03	1.559e-02	7.992e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	5.856e-06
6.700e+03	1.559e-02	7.992e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	5.856e-06
6.800e+03	1.559e-02	7.992e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	5.856e-06
6.900e+03	1.473e-02	3.484e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	1.328e-07	3.465e-13	5.856e-06
7.000e+03	1.473e-02	3.484e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	7.233e-08	3.465e-13	4.140e-07
7.100e+03	1.473e-02	3.484e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	7.233e-08	3.465e-13	4.140e-07
7.200e+03	1.473e-02	3.484e-03	1.855e-02	1.604e-02	1.220e-02	1.884e-02	7.233e-08	1.632e-13	4.140e-07
