n.evals.q.1.0.	2d.nav._.hebbian.network.best.quality.increase	2d.nav._.hebbian.network.best.quality.increase.min	2d.nav._.hebbian.network.best.quality.increase.max	2d.nav._.hebbian.synapse.best.quality.increase	2d.nav._.hebbian.synapse.best.quality.increase.min	2d.nav._.hebbian.synapse.best.quality.increase.max	2d.nav._.freeForm.best.quality.increase	2d.nav._.freeForm.best.quality.increase.min	2d.nav._.freeForm.best.quality.increase.max
4.300e+03	1.558e+00	7.851e-02	1.108e+01	3.719e+02	2.501e+02	4.630e+02	7.130e+00	1.400e-02	4.840e+01
4.400e+03	1.558e+00	7.851e-02	1.108e+01	3.719e+02	2.564e+02	4.630e+02	7.130e+00	2.095e-02	5.262e+01
4.500e+03	1.558e+00	7.851e-02	1.108e+01	3.739e+02	2.501e+02	4.630e+02	7.130e+00	2.095e-02	5.450e+01
4.600e+03	1.558e+00	7.851e-02	1.108e+01	3.893e+02	2.564e+02	4.635e+02	7.130e+00	2.095e-02	5.450e+01
4.700e+03	1.558e+00	7.851e-02	1.108e+01	3.893e+02	2.564e+02	4.665e+02	7.130e+00	2.095e-02	5.450e+01
4.800e+03	1.606e+00	1.080e-01	1.275e+01	3.893e+02	2.705e+02	4.665e+02	7.130e+00	2.095e-02	5.889e+01
4.900e+03	1.558e+00	7.851e-02	1.275e+01	3.893e+02	2.705e+02	4.669e+02	9.237e+00	2.095e-02	5.952e+01
5.000e+03	1.558e+00	7.851e-02	1.275e+01	3.893e+02	2.889e+02	4.669e+02	4.069e+00	4.921e-03	5.889e+01
5.100e+03	1.558e+00	1.080e-01	1.275e+01	3.893e+02	2.940e+02	4.670e+02	1.440e+00	0.000e+00	5.889e+01
5.200e+03	1.558e+00	8.552e-02	1.275e+01	4.363e+02	2.940e+02	4.746e+02	9.237e+00	4.921e-03	5.952e+01
5.300e+03	1.558e+00	7.851e-02	1.275e+01	4.363e+02	3.122e+02	4.746e+02	4.069e+00	1.996e-03	6.776e+01
